Orthogroup	s288c	W29	DMKU3-1042
OG0000503	"sp|P38789|SSF1_YEAST, sp|Q12153|SSF2_YEAST"	tr|A0A1D8N4M8|A0A1D8N4M8_YARLL	tr|W0TCM7|W0TCM7_KLUMD
OG0000504	"sp|P11154|PYC1_YEAST, sp|P32327|PYC2_YEAST"	tr|Q5F1U5|Q5F1U5_YARLL	tr|W0T3B0|W0T3B0_KLUMD
OG0000505	"sp|P38142|YB91_YEAST, sp|P53142|VPS73_YEAST"	tr|A0A1H6PH35|A0A1H6PH35_YARLL	tr|W0T642|W0T642_KLUMD
OG0000506	"sp|Q03020|ISU1_YEAST, sp|Q12056|ISU2_YEAST"	tr|A0A1D8N6I9|A0A1D8N6I9_YARLL	tr|W0TAX5|W0TAX5_KLUMD
OG0000507	"sp|P38128|SMP1_YEAST, sp|Q12224|RLM1_YEAST"	tr|A0A1D8NP26|A0A1D8NP26_YARLL	tr|W0T6J1|W0T6J1_KLUMD
OG0000508	sp|P17260|KRE1_YEAST	"tr|A0A1D8NFZ2|A0A1D8NFZ2_YARLL, tr|A0A1D8NNG1|A0A1D8NNG1_YARLL"	tr|W0TH48|W0TH48_KLUMD
OG0000509	"sp|P32857|PTM1_YEAST, sp|P38745|YHB7_YEAST"	tr|A0A1H6PWI1|A0A1H6PWI1_YARLL	tr|W0TD83|W0TD83_KLUMD
OG0000510	"sp|P04385|GAL1_YEAST, sp|P13045|GAL3_YEAST"	tr|A0A1D8NAX2|A0A1D8NAX2_YARLL	tr|W0T7N1|W0T7N1_KLUMD
OG0000511	"sp|P38068|GLRX7_YEAST, sp|Q12438|GLRX6_YEAST"	tr|A0A1H6PN30|A0A1H6PN30_YARLL	tr|W0TH40|W0TH40_KLUMD
OG0000512	"sp|P38704|STP2_YEAST, sp|Q00947|STP1_YEAST"	tr|A0A1D8NJX9|A0A1D8NJX9_YARLL	tr|W0T7B7|W0T7B7_KLUMD
OG0000513	"sp|P38212|RCR1_YEAST, sp|Q03446|RCR2_YEAST"	tr|A0A1D8NIR6|A0A1D8NIR6_YARLL	tr|W0TH30|W0TH30_KLUMD
OG0000514	sp|P32605|RU1A_YEAST	"tr|A0A1H6Q074|A0A1H6Q074_YARLL, tr|A0A1H6Q540|A0A1H6Q540_YARLL"	tr|W0TIG0|W0TIG0_KLUMD
OG0000515	"sp|P39083|RGA1_YEAST, sp|Q06407|RGA2_YEAST"	tr|A0A1H6PVJ0|A0A1H6PVJ0_YARLL	tr|W0TAC8|W0TAC8_KLUMD
OG0000516	"sp|P23594|PP2A1_YEAST, sp|P23595|PP2A2_YEAST"	tr|A0A1D8NNG5|A0A1D8NNG5_YARLL	tr|W0TEM0|W0TEM0_KLUMD
OG0000517	sp|P47137|YJ66_YEAST	"tr|A0A1D8N5J3|A0A1D8N5J3_YARLL, tr|A0A1D8N923|A0A1D8N923_YARLL"	tr|W0TFS3|W0TFS3_KLUMD
OG0000518	"sp|Q03790|NUP53_YEAST, sp|Q05166|NUP59_YEAST"	tr|A0A1D8NDV2|A0A1D8NDV2_YARLL	tr|W0T9T5|W0T9T5_KLUMD
OG0000519	"sp|P24870|CG23_YEAST, sp|P24871|CG24_YEAST"	tr|A0A1D8N8F5|A0A1D8N8F5_YARLL	tr|W0TG84|W0TG84_KLUMD
OG0000520	"sp|P25628|ARE1_YEAST, sp|P53629|ARE2_YEAST"	tr|A0A1D8NMB4|A0A1D8NMB4_YARLL	tr|W0T8N7|W0T8N7_KLUMD
OG0000521	sp|Q03508|YM8F_YEAST	tr|A0A1D8N7V5|A0A1D8N7V5_YARLL	"tr|W0T4I7|W0T4I7_KLUMD, tr|W0T637|W0T637_KLUMD"
OG0000522	sp|P32463|ACPM_YEAST	"tr|A0A1D8NG21|A0A1D8NG21_YARLL, tr|A0A1H6PXT9|A0A1H6PXT9_YARLL"	tr|W0T619|W0T619_KLUMD
OG0000523	"sp|Q03900|YD132_YEAST, sp|Q12259|YL108_YEAST"	tr|A0A1D8NCW3|A0A1D8NCW3_YARLL	tr|W0TBJ9|W0TBJ9_KLUMD
OG0000524	"sp|P38884|AIM18_YEAST, sp|P38885|AIM46_YEAST"	tr|A0A1H6PXM1|A0A1H6PXM1_YARLL	tr|W0TEI9|W0TEI9_KLUMD
OG0000525	"sp|P39935|IF4F1_YEAST, sp|P39936|IF4F2_YEAST"	tr|A0A1D8N9P9|A0A1D8N9P9_YARLL	tr|W0TDC9|W0TDC9_KLUMD
OG0000526	sp|Q04347|BUD22_YEAST	"tr|A0A1D8NBL5|A0A1D8NBL5_YARLL, tr|A0A1D8NNI6|A0A1D8NNI6_YARLL"	tr|W0THV3|W0THV3_KLUMD
OG0000527	"sp|P53155|YGI2_YEAST, sp|Q08930|YP191_YEAST"	tr|A0A1H6PZ55|A0A1H6PZ55_YARLL	tr|W0TDD1|W0TDD1_KLUMD
OG0000528	"sp|P32454|APE2_YEAST, sp|P37898|AAP1_YEAST"	tr|A0A1D8N7T2|A0A1D8N7T2_YARLL	tr|W0T9G9|W0T9G9_KLUMD
OG0000529	"sp|Q02629|NU100_YEAST, sp|Q02630|NU116_YEAST"	tr|A0A1D8NQB3|A0A1D8NQB3_YARLL	tr|W0TE12|W0TE12_KLUMD
OG0000530	"sp|P10664|RL4A_YEAST, sp|P49626|RL4B_YEAST"	tr|A0A1H6PJD4|A0A1H6PJD4_YARLL	tr|W0TFM8|W0TFM8_KLUMD
OG0000531	"sp|P38858|SOL3_YEAST, sp|P53315|SOL4_YEAST"	tr|A0A1D8NI43|A0A1D8NI43_YARLL	tr|W0T4I6|W0T4I6_KLUMD
OG0000532	sp|P08432|DCOR_YEAST	"tr|A0A1D8N700|A0A1D8N700_YARLL, tr|Q8WZM1|Q8WZM1_YARLL"	tr|W0TA90|W0TA90_KLUMD
OG0000533	"sp|P41911|GPD2_YEAST, sp|Q00055|GPD1_YEAST"	tr|A0A1D8N692|A0A1D8N692_YARLL	tr|W0T4T5|W0T4T5_KLUMD
OG0000534	"sp|P40260|MEP1_YEAST, sp|P53390|MEP3_YEAST"	tr|A0A1H6PY57|A0A1H6PY57_YARLL	tr|W0TER2|W0TER2_KLUMD
OG0000535	"sp|P16550|APA1_YEAST, sp|P22108|APA2_YEAST"	tr|A0A1D8NQK3|A0A1D8NQK3_YARLL	tr|W0T264|W0T264_KLUMD
OG0000536	"sp|P26784|RL16A_YEAST, sp|P26785|RL16B_YEAST"	tr|A0A1D8NAB6|A0A1D8NAB6_YARLL	tr|W0TFK8|W0TFK8_KLUMD
OG0000537	"sp|P50111|ZDS1_YEAST, sp|P54786|ZDS2_YEAST"	tr|A0A1D8NN66|A0A1D8NN66_YARLL	tr|W0T5W2|W0T5W2_KLUMD
OG0000538	sp|Q08773|ISW2_YEAST	"tr|A0A1D8NDD5|A0A1D8NDD5_YARLL, tr|A0A1H6Q0W3|A0A1H6Q0W3_YARLL"	tr|W0TDX8|W0TDX8_KLUMD
OG0000539	"sp|P38555|YPT31_YEAST, sp|P51996|YPT32_YEAST"	tr|A0A1D8NEL4|A0A1D8NEL4_YARLL	tr|A0A1L7LMG8|A0A1L7LMG8_KLUMD
OG0000540	"sp|P25300|BUD5_YEAST, sp|P25593|YCG8_YEAST"	tr|A0A1D8NI71|A0A1D8NI71_YARLL	tr|W0T6Q5|W0T6Q5_KLUMD
OG0000541	"sp|P25341|KIN82_YEAST, sp|P53739|FPK1_YEAST"	tr|A0A1H6PXB7|A0A1H6PXB7_YARLL	tr|W0TAI3|W0TAI3_KLUMD
OG0000542	sp|P48743|RFX1_YEAST	"tr|A0A1D8NIA3|A0A1D8NIA3_YARLL, tr|A0A1D8NID9|A0A1D8NID9_YARLL"	tr|W0TA17|W0TA17_KLUMD
OG0000543	sp|P25381|RRT12_YEAST	"tr|A0A1D8N685|A0A1D8N685_YARLL, tr|A0A1D8NPT3|A0A1D8NPT3_YARLL"	tr|W0TDN8|W0TDN8_KLUMD
OG0000544	"sp|P40494|PRK1_YEAST, sp|P53974|ARK1_YEAST"	tr|A0A1D8NJJ8|A0A1D8NJJ8_YARLL	tr|W0TJW0|W0TJW0_KLUMD
OG0000545	"sp|P38426|TPS3_YEAST, sp|P38427|TSL1_YEAST"	tr|A0A1D8NKQ2|A0A1D8NKQ2_YARLL	tr|W0T4J6|W0T4J6_KLUMD
OG0000546	"sp|P35845|OSH1_YEAST, sp|Q12451|OSH2_YEAST"	tr|A0A1D8NNT5|A0A1D8NNT5_YARLL	tr|W0T2L7|W0T2L7_KLUMD
OG0000547	"sp|P40482|SEC24_YEAST, sp|P53953|SFB2_YEAST"	tr|A0A1H6PZH2|A0A1H6PZH2_YARLL	tr|W0TI26|W0TI26_KLUMD
OG0000548	"sp|P32802|TMN1_YEAST, sp|Q04562|TMN2_YEAST"	tr|A0A1D8NI86|A0A1D8NI86_YARLL	tr|W0TAT8|W0TAT8_KLUMD
OG0000549	"sp|Q03944|VPS64_YEAST, sp|Q06001|FAR10_YEAST"	tr|A0A1D8NQ76|A0A1D8NQ76_YARLL	tr|W0TEJ9|W0TEJ9_KLUMD
OG0000550	"sp|P17695|GLRX2_YEAST, sp|P25373|GLRX1_YEAST"	tr|A0A1H6PJK0|A0A1H6PJK0_YARLL	tr|W0T2N8|W0T2N8_KLUMD
OG0000551	"sp|P38181|NU170_YEAST, sp|P40064|NU157_YEAST"	tr|A0A1D8NGW3|A0A1D8NGW3_YARLL	tr|W0TKI2|W0TKI2_KLUMD
OG0000552	"sp|P38314|SDS24_YEAST, sp|P53172|SDS23_YEAST"	tr|A0A1H6PYL6|A0A1H6PYL6_YARLL	tr|W0T2R7|W0T2R7_KLUMD
OG0000553	"sp|P34161|YOX1_YEAST, sp|Q04116|YHP1_YEAST"	tr|A0A1D8NJ94|A0A1D8NJ94_YARLL	tr|W0TB01|W0TB01_KLUMD
OG0000554	sp|Q06325|YPS7_YEAST	"tr|A0A1D8NJZ4|A0A1D8NJZ4_YARLL, tr|A0A1D8NL64|A0A1D8NL64_YARLL"	tr|W0TBV0|W0TBV0_KLUMD
OG0000555	"sp|Q04383|PLM2_YEAST, sp|Q06266|TOS4_YEAST"	tr|A0A1D8NGQ2|A0A1D8NGQ2_YARLL	tr|W0T6I0|W0T6I0_KLUMD
OG0000556	"sp|P13298|PYRE_YEAST, sp|P30402|PYRX_YEAST"	tr|A0A1H6PZ22|A0A1H6PZ22_YARLL	tr|W0T7Y5|W0T7Y5_KLUMD
OG0000557	"sp|P05743|RL26A_YEAST, sp|P53221|RL26B_YEAST"	tr|A0A1H6PQ81|A0A1H6PQ81_YARLL	tr|W0TCV5|W0TCV5_KLUMD
OG0000558	"sp|P39875|EXO1_YEAST, sp|Q12086|DIN7_YEAST"	tr|A0A1D8NIE9|A0A1D8NIE9_YARLL	tr|W0TCN7|W0TCN7_KLUMD
OG0000559	"sp|P11655|SEC12_YEAST, sp|P25365|SED4_YEAST"	tr|A0A1H6PW58|A0A1H6PW58_YARLL	tr|W0T876|W0T876_KLUMD
OG0000560	sp|P53750|YN93_YEAST	"tr|A0A1D8NCE1|A0A1D8NCE1_YARLL, tr|A0A1D8NJ72|A0A1D8NJ72_YARLL, tr|A0A1H6PWZ9|A0A1H6PWZ9_YARLL"	
OG0000561	sp|P53104|ATG1_YEAST	tr|A0A1D8NGA1|A0A1D8NGA1_YARLL	sp|W0T9X4|ATG1_KLUMD
OG0000562	sp|Q02948|BECN1_YEAST	tr|A0A1D8NE81|A0A1D8NE81_YARLL	sp|W0TD11|BECN1_KLUMD
OG0000563	sp|Q12142|ATG9_YEAST	tr|A0A1D8NMK7|A0A1D8NMK7_YARLL	sp|W0TIW1|ATG9_KLUMD
OG0000564	sp|P38862|ATG7_YEAST	tr|A0A1D8NBY3|A0A1D8NBY3_YARLL	sp|W0TA05|ATG7_KLUMD
OG0000565	sp|Q06628|ATG13_YEAST	tr|A0A1H6PME1|A0A1H6PME1_YARLL	sp|W0TA43|ATG13_KLUMD
OG0000566	sp|Q06598|ARR3_YEAST	tr|A0A1D8NA19|A0A1D8NA19_YARLL	tr|W0TI37|W0TI37_KLUMD
OG0000567	sp|P32835|GSP1_YEAST	tr|A0A1D8NM01|A0A1D8NM01_YARLL	tr|W0T2P8|W0T2P8_KLUMD
OG0000568	sp|P61830|H3_YEAST	tr|A0A1H6PYI1|A0A1H6PYI1_YARLL	tr|W0TGF0|W0TGF0_KLUMD
OG0000569	sp|P53630|BIOD_YEAST		"tr|W0T3K2|W0T3K2_KLUMD, tr|W0T7A8|W0T7A8_KLUMD"
OG0000570	sp|P0CY11|HMRA1_YEAST	tr|A0A1D8NIJ8|A0A1D8NIJ8_YARLL	tr|W0T6T9|W0T6T9_KLUMD
OG0000571	sp|Q12380|ATG5_YEAST	tr|A0A1D8NJW0|A0A1D8NJW0_YARLL	sp|W0T4V8|ATG5_KLUMD
OG0000572	sp|P53855|ATG2_YEAST	tr|A0A1D8NHL4|A0A1D8NHL4_YARLL	sp|W0TCD0|ATG2_KLUMD
OG0000573	sp|P53867|ATG4_YEAST	tr|A0A1D8N4P0|A0A1D8N4P0_YARLL	sp|W0TGM7|ATG4_KLUMD
OG0000574	sp|Q06410|ATG17_YEAST	tr|A0A1H6Q0W2|A0A1H6Q0W2_YARLL	sp|W0T3R8|ATG17_KLUMD
OG0000575	sp|P40344|ATG3_YEAST	tr|A0A1D8NJU9|A0A1D8NJU9_YARLL	sp|W0TEF9|ATG3_KLUMD
OG0000576	sp|Q12527|ATG11_YEAST	tr|A0A1D8N6H3|A0A1D8N6H3_YARLL	sp|W0TFN1|ATG11_KLUMD
OG0000577	sp|P38316|ATG12_YEAST	tr|A0A1D8NQG3|A0A1D8NQG3_YARLL	sp|W0T4C1|ATG12_KLUMD
OG0000578	sp|P43601|ATG18_YEAST	tr|A0A1D8NQC5|A0A1D8NQC5_YARLL	sp|W0T5P4|ATG18_KLUMD
OG0000579	sp|P50277|BIOA_YEAST		"tr|W0T697|W0T697_KLUMD, tr|W0TGQ8|W0TGQ8_KLUMD"
OG0000580	sp|P02992|EFTU_YEAST	tr|A0A1D8NPT2|A0A1D8NPT2_YARLL	tr|W0TBJ5|W0TBJ5_KLUMD
OG0000581	sp|P40533|TED1_YEAST	tr|A0A1D8N6E6|A0A1D8N6E6_YARLL	tr|W0T848|W0T848_KLUMD
OG0000582	sp|P39006|PSD1_YEAST	tr|A0A1D8NFL4|A0A1D8NFL4_YARLL	tr|W0TAT2|W0TAT2_KLUMD
OG0000583	sp|P46678|TFC5_YEAST	tr|A0A1D8NJ41|A0A1D8NJ41_YARLL	tr|W0TI08|W0TI08_KLUMD
OG0000584	sp|P32581|IME2_YEAST	tr|A0A1D8NLR0|A0A1D8NLR0_YARLL	tr|W0T8C7|W0T8C7_KLUMD
OG0000585	sp|P32451|BIOB_YEAST	tr|A0A1D8NEP0|A0A1D8NEP0_YARLL	tr|W0T4K8|W0T4K8_KLUMD
OG0000586	sp|P57744|TIM8_YEAST	tr|A0A1D8NE67|A0A1D8NE67_YARLL	tr|W0TA64|W0TA64_KLUMD
OG0000587	sp|P34162|MED20_YEAST	tr|A0A1H6PQH8|A0A1H6PQH8_YARLL	tr|W0TC73|W0TC73_KLUMD
OG0000588	sp|P52491|UBC12_YEAST	tr|A0A1H6PYY8|A0A1H6PYY8_YARLL	tr|W0T9W7|W0T9W7_KLUMD
OG0000589	sp|P40487|DPH1_YEAST	tr|A0A1D8NPK5|A0A1D8NPK5_YARLL	tr|W0TI16|W0TI16_KLUMD
OG0000590	sp|P47002|SSY5_YEAST	tr|Q8WZL2|Q8WZL2_YARLL	tr|W0TDN4|W0TDN4_KLUMD
OG0000591	sp|P08539|GPA1_YEAST	tr|A0A1D8NI31|A0A1D8NI31_YARLL	tr|W0TF76|W0TF76_KLUMD
OG0000592	sp|P47088|GPI14_YEAST	tr|A0A1H6PWR2|A0A1H6PWR2_YARLL	tr|W0T6U1|W0T6U1_KLUMD
OG0000593	sp|P13574|STE12_YEAST	tr|A0A1D8NIQ5|A0A1D8NIQ5_YARLL	tr|W0TEC2|W0TEC2_KLUMD
OG0000594	sp|Q99385|VCX1_YEAST	tr|A0A1D8N733|A0A1D8N733_YARLL	tr|W0TFC6|W0TFC6_KLUMD
OG0000595	sp|P32449|AROG_YEAST	tr|A0A1D8N9Z6|A0A1D8N9Z6_YARLL	tr|W0T5I6|W0T5I6_KLUMD
OG0000596	sp|P53290|GTR2_YEAST	tr|A0A1H6QBS2|A0A1H6QBS2_YARLL	tr|W0TBN6|W0TBN6_KLUMD
OG0000597	sp|P53010|PAN2_YEAST	tr|A0A1H6PP97|A0A1H6PP97_YARLL	tr|W0TDB3|W0TDB3_KLUMD
OG0000598	sp|Q12196|RIO1_YEAST	tr|A0A1D8NC91|A0A1D8NC91_YARLL	tr|W0TI13|W0TI13_KLUMD
OG0000599	sp|Q07979|RSC58_YEAST	tr|A0A1H6Q854|A0A1H6Q854_YARLL	tr|W0T9K4|W0T9K4_KLUMD
OG0000600	sp|P19524|MYO2_YEAST	tr|A0A1H6PSC1|A0A1H6PSC1_YARLL	tr|W0TAV5|W0TAV5_KLUMD
OG0000601	sp|P14682|UBC3_YEAST	tr|A0A1D8N9V7|A0A1D8N9V7_YARLL	tr|W0TAN6|W0TAN6_KLUMD
OG0000602	sp|P06786|TOP2_YEAST	tr|A0A1D8NG10|A0A1D8NG10_YARLL	tr|W0THH3|W0THH3_KLUMD
OG0000603	sp|P32908|SMC1_YEAST	tr|A0A1D8NIK3|A0A1D8NIK3_YARLL	tr|W0T733|W0T733_KLUMD
OG0000604	sp|P38129|TAF5_YEAST	tr|A0A1H6PHY7|A0A1H6PHY7_YARLL	tr|W0T5R7|W0T5R7_KLUMD
OG0000605	sp|P00445|SODC_YEAST	tr|A0A1D8NI72|A0A1D8NI72_YARLL	tr|W0TF05|W0TF05_KLUMD
OG0000606	sp|P41912|ERFD_YEAST	tr|A0A1H6PXU8|A0A1H6PXU8_YARLL	tr|W0T4P8|W0T4P8_KLUMD
OG0000607	sp|Q12146|PSF3_YEAST	tr|A0A1H6Q635|A0A1H6Q635_YARLL	tr|W0T6P7|W0T6P7_KLUMD
OG0000608	sp|Q12463|TRM11_YEAST	tr|A0A1D8NB34|A0A1D8NB34_YARLL	tr|W0THK8|W0THK8_KLUMD
OG0000609	sp|P18496|ATP10_YEAST	tr|A0A1H6PQX1|A0A1H6PQX1_YARLL	tr|W0TIF1|W0TIF1_KLUMD
OG0000610	sp|P38836|ECM14_YEAST	tr|A0A1D8N7M8|A0A1D8N7M8_YARLL	tr|W0TAF6|W0TAF6_KLUMD
OG0000611	sp|Q07878|VPS13_YEAST	tr|A0A1D8NMB8|A0A1D8NMB8_YARLL	tr|W0TI22|W0TI22_KLUMD
OG0000612	sp|P18480|SNF5_YEAST	tr|A0A1D8NI87|A0A1D8NI87_YARLL	tr|W0TDA9|W0TDA9_KLUMD
OG0000613	sp|P00890|CISY1_YEAST	tr|A0A1D8NGX1|A0A1D8NGX1_YARLL	tr|W0T673|W0T673_KLUMD
OG0000614	sp|P48353|HLJ1_YEAST	tr|A0A1D8NCU4|A0A1D8NCU4_YARLL	tr|W0T7S2|W0T7S2_KLUMD
OG0000615	sp|P38148|PPS1_YEAST	tr|A0A1D8N6E8|A0A1D8N6E8_YARLL	tr|W0TD35|W0TD35_KLUMD
OG0000616	sp|P40518|ARPC5_YEAST	tr|A0A1D8NI11|A0A1D8NI11_YARLL	tr|W0TEF5|W0TEF5_KLUMD
OG0000617	sp|Q96VH4|HBN1_YEAST		"tr|W0T298|W0T298_KLUMD, tr|W0T4E1|W0T4E1_KLUMD"
OG0000618	sp|P23291|KC11_YEAST	tr|A0A1D8NK33|A0A1D8NK33_YARLL	tr|W0TEC5|W0TEC5_KLUMD
OG0000619	sp|P32351|IMPX_YEAST	tr|A0A1H6PXS0|A0A1H6PXS0_YARLL	tr|W0TB29|W0TB29_KLUMD
OG0000620	sp|P53077|MTC3_YEAST	tr|A0A1H6PWA8|A0A1H6PWA8_YARLL	tr|W0T9A0|W0T9A0_KLUMD
OG0000621	sp|Q3E833|PCC1_YEAST	tr|A0A1H6Q2F3|A0A1H6Q2F3_YARLL	tr|W0TB25|W0TB25_KLUMD
OG0000622	sp|P41930|SSU1_YEAST	tr|A0A1H6Q240|A0A1H6Q240_YARLL	tr|W0T4T7|W0T4T7_KLUMD
OG0000623	sp|Q92328|MDM12_YEAST	tr|A0A1H6Q2N8|A0A1H6Q2N8_YARLL	tr|W0T2T3|W0T2T3_KLUMD
OG0000624	sp|P38842|YHU0_YEAST	tr|A0A1H6Q2A9|A0A1H6Q2A9_YARLL	tr|W0T842|W0T842_KLUMD
OG0000625	sp|P53732|RT12_YEAST	tr|A0A1D8N3L6|A0A1D8N3L6_YARLL	tr|W0T737|W0T737_KLUMD
OG0000626	sp|Q00776|AP1M1_YEAST	tr|A0A1D8N7F0|A0A1D8N7F0_YARLL	tr|W0TDB9|W0TDB9_KLUMD
OG0000627	sp|Q08490|SGO1_YEAST	tr|A0A1D8NA20|A0A1D8NA20_YARLL	tr|W0T364|W0T364_KLUMD
OG0000628	sp|P32388|RM49_YEAST	tr|A0A1D8NNY0|A0A1D8NNY0_YARLL	tr|W0TDM4|W0TDM4_KLUMD
OG0000629	sp|Q05788|PNPH_YEAST	tr|A0A1D8NQJ6|A0A1D8NQJ6_YARLL	tr|W0TEM5|W0TEM5_KLUMD
OG0000630	sp|P35688|LRG1_YEAST	tr|A0A1D8NNC8|A0A1D8NNC8_YARLL	tr|W0TEQ9|W0TEQ9_KLUMD
OG0000631	sp|P39727|ERV46_YEAST	tr|A0A1D8NAY0|A0A1D8NAY0_YARLL	tr|W0TI96|W0TI96_KLUMD
OG0000632	sp|Q12200|NPC1_YEAST	tr|A0A1D8NC12|A0A1D8NC12_YARLL	tr|W0TC39|W0TC39_KLUMD
OG0000633	sp|P38795|NADE_YEAST	tr|A0A1D8N5L3|A0A1D8N5L3_YARLL	tr|W0TDW1|W0TDW1_KLUMD
OG0000634	sp|P22023|KRE5_YEAST	tr|A0A1D8NAW6|A0A1D8NAW6_YARLL	tr|W0TAU5|W0TAU5_KLUMD
OG0000635	sp|P40015|ISC1_YEAST	tr|A0A1D8NF48|A0A1D8NF48_YARLL	tr|W0T6J2|W0T6J2_KLUMD
OG0000636	sp|P38716|YHR2_YEAST	tr|A0A1D8NC95|A0A1D8NC95_YARLL	tr|W0TGE6|W0TGE6_KLUMD
OG0000637	"sp|P38760|MIP6_YEAST, sp|P39684|PES4_YEAST"		tr|W0T377|W0T377_KLUMD
OG0000638	sp|Q02872|YP108_YEAST	tr|A0A1D8N3G6|A0A1D8N3G6_YARLL	tr|W0T8M8|W0T8M8_KLUMD
OG0000639	sp|P28707|SBA1_YEAST	tr|A0A1H6Q182|A0A1H6Q182_YARLL	tr|W0TAP2|W0TAP2_KLUMD
OG0000640	sp|P53136|NSA1_YEAST	tr|A0A1H6PHM3|A0A1H6PHM3_YARLL	tr|W0T7A0|W0T7A0_KLUMD
OG0000641	sp|P13517|CAPZB_YEAST	tr|A0A1D8NC10|A0A1D8NC10_YARLL	tr|W0TA62|W0TA62_KLUMD
OG0000642	sp|P39986|ATC6_YEAST	tr|A0A1D8NPH9|A0A1D8NPH9_YARLL	tr|W0T427|W0T427_KLUMD
OG0000643	sp|P53090|ARO8_YEAST	tr|A0A1D8NJC6|A0A1D8NJC6_YARLL	tr|W0T517|W0T517_KLUMD
OG0000644	sp|P32767|KA122_YEAST	tr|A0A1D8NKJ1|A0A1D8NKJ1_YARLL	tr|W0TCR2|W0TCR2_KLUMD
OG0000645	sp|P36052|NDUF7_YEAST	tr|A0A1D8NPC8|A0A1D8NPC8_YARLL	tr|W0T801|W0T801_KLUMD
OG0000646	sp|P40009|YND1_YEAST	tr|A0A1H6PQY2|A0A1H6PQY2_YARLL	tr|W0TC99|W0TC99_KLUMD
OG0000647	sp|P38692|KIC1_YEAST	tr|A0A1D8NL60|A0A1D8NL60_YARLL	tr|W0T5J4|W0T5J4_KLUMD
OG0000648	sp|P32464|HYM1_YEAST	tr|A0A1H6PVJ8|A0A1H6PVJ8_YARLL	tr|W0TEM3|W0TEM3_KLUMD
OG0000649	sp|P38719|DBP8_YEAST	tr|A0A1D8NGV1|A0A1D8NGV1_YARLL	tr|W0TEC6|W0TEC6_KLUMD
OG0000650	sp|P35127|UBL1_YEAST	tr|A0A1D8NNM0|A0A1D8NNM0_YARLL	tr|W0T5Z1|W0T5Z1_KLUMD
OG0000651	sp|Q12186|BBP_YEAST	tr|A0A1D8NNZ9|A0A1D8NNZ9_YARLL	tr|W0T903|W0T903_KLUMD
OG0000652	sp|P53688|HST4_YEAST	tr|A0A1D8NCE2|A0A1D8NCE2_YARLL	tr|W0TGI2|W0TGI2_KLUMD
OG0000653	sp|Q03455|MSC2_YEAST	tr|A0A1D8NBP7|A0A1D8NBP7_YARLL	tr|W0TBN0|W0TBN0_KLUMD
OG0000654	sp|P38913|FAD1_YEAST	tr|A0A1D8NG83|A0A1D8NG83_YARLL	tr|W0TF41|W0TF41_KLUMD
OG0000655	sp|Q06651|PIB1_YEAST	tr|A0A1D8NEP9|A0A1D8NEP9_YARLL	tr|W0T8Y3|W0T8Y3_KLUMD
OG0000656	sp|Q02606|YP014_YEAST	tr|A0A1D8NHT1|A0A1D8NHT1_YARLL	tr|W0TAD6|W0TAD6_KLUMD
OG0000657	sp|P36000|AP1B1_YEAST	tr|A0A1H6PNY8|A0A1H6PNY8_YARLL	tr|W0T722|W0T722_KLUMD
OG0000658	sp|P32939|YPT7_YEAST	tr|A0A1D8NPA2|A0A1D8NPA2_YARLL	tr|W0TG78|W0TG78_KLUMD
OG0000659	sp|P05374|CHO2_YEAST	tr|A0A1D8NHB9|A0A1D8NHB9_YARLL	tr|W0T913|W0T913_KLUMD
OG0000660	sp|Q12091|DAP1_YEAST	tr|A0A1D8N5M5|A0A1D8N5M5_YARLL	tr|W0TCC0|W0TCC0_KLUMD
OG0000661	sp|P53741|BRE5_YEAST	tr|A0A1D8NLF0|A0A1D8NLF0_YARLL	tr|W0TAH4|W0TAH4_KLUMD
OG0000662	sp|P38930|CSK2C_YEAST	tr|A0A1H6Q3S7|A0A1H6Q3S7_YARLL	tr|W0T6B2|W0T6B2_KLUMD
OG0000663	sp|Q02100|SKO1_YEAST	tr|A0A1D8NBJ4|A0A1D8NBJ4_YARLL	tr|W0T6G0|W0T6G0_KLUMD
OG0000664	sp|P53617|NRD1_YEAST	tr|A0A1D8NJY3|A0A1D8NJY3_YARLL	tr|W0T3Y1|W0T3Y1_KLUMD
OG0000665	sp|P36070|RRN3_YEAST	tr|A0A1H6Q7G0|A0A1H6Q7G0_YARLL	tr|W0T700|W0T700_KLUMD
OG0000666	sp|P46969|RPE_YEAST	tr|A0A1D8NAR9|A0A1D8NAR9_YARLL	tr|W0TD99|W0TD99_KLUMD
OG0000667	sp|P38110|ATM_YEAST	tr|A0A1D8ND24|A0A1D8ND24_YARLL	tr|W0TED3|W0TED3_KLUMD
OG0000668	sp|Q08826|SNX3_YEAST	tr|A0A1H6Q0P8|A0A1H6Q0P8_YARLL	tr|W0TCQ8|W0TCQ8_KLUMD
OG0000669	sp|P43616|DUG1_YEAST	tr|A0A1D8NNX0|A0A1D8NNX0_YARLL	tr|W0T9A7|W0T9A7_KLUMD
OG0000670	sp|P43609|RSC8_YEAST	tr|A0A1D8NLY3|A0A1D8NLY3_YARLL	tr|W0T7F9|W0T7F9_KLUMD
OG0000671	sp|Q05567|SGPL_YEAST	tr|A0A1D8NKF1|A0A1D8NKF1_YARLL	tr|W0TA77|W0TA77_KLUMD
OG0000672	sp|P40030|ERG28_YEAST	tr|A0A1H6PSG8|A0A1H6PSG8_YARLL	tr|W0T6F4|W0T6F4_KLUMD
