"orthoList$OG_IDs[converted]"	"genes"	"logFC"	"logCPM"	"PValue"	"FDR"	"Portein_names"	"gene_names"	"Funcition"
"OG0002088"	"YIL160C"	1.087874642	3.424802454	1.82707e-08	1.29226e-07	"3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Peroxisomal 3-oxoacyl-CoA thiolase)"	"TY1B-OR YORWTy1-2 POL YOR142W-B O3367 YOR3367W"	"FUNCTION: Capsid protein (CA) is the structural component of the virus-like particle (VLP), forming the shell that encapsulates the retrotransposons dimeric RNA genome. The particles are assembled from trimer-clustered units and there are holes in the capsid shells that allow for the diffusion of macromolecules. CA has also nucleocapsid-like chaperone activity, promoting primer tRNA(i)-Met annealing to the multipartite primer-binding site (PBS), dimerization of Ty1 RNA and initiation of reverse transcription (By similarity). {ECO:0000250}.; FUNCTION: The aspartyl protease (PR) mediates the proteolytic cleavages of the Gag and Gag-Pol polyproteins after assembly of the VLP. {ECO:0000250}.; FUNCTION: Reverse transcriptase/ribonuclease H (RT) is a multifunctional enzyme that catalyzes the conversion of the retro-elements RNA genome into dsDNA within the VLP. The enzyme displays a DNA polymerase activity that can copy either DNA or RNA templates, and a ribonuclease H (RNase H) activity that cleaves the RNA strand of RNA-DNA heteroduplexes during plus-strand synthesis and hydrolyzes RNA primers. The conversion leads to a linear dsDNA copy of the retrotransposon that includes long terminal repeats (LTRs) at both ends (By similarity). {ECO:0000250}.; FUNCTION: Integrase (IN) targets the VLP to the nucleus, where a subparticle preintegration complex (PIC) containing at least integrase and the newly synthesized dsDNA copy of the retrotransposon must transit the nuclear membrane. Once in the nucleus, integrase performs the integration of the dsDNA into the host genome (By similarity). {ECO:0000250}."
"OG0000693"	"YBR231C"	0.703244087	6.573204092	6.29187e-05	0.000222377	"SWR1-complex protein 5"	"MDM38 YOL027C"	"FUNCTION: Involved in mitochondrial potassium homeostasis through the mitochondrial K(+)/H(+) exchange regulation (PubMed:11907266, PubMed:15138253). With MBA1, plays a role in ribosomal translation and protein insertion into the inner membrane (PubMed:20427570). {ECO:0000269|PubMed:11907266, ECO:0000269|PubMed:15138253, ECO:0000269|PubMed:20427570}."
"OG0002546"	"YBR235W"	-0.979552357	6.134511275	1.47642e-08	1.06681e-07	"Vacuolar cation-chloride cotransporter 1 (Vacuolar homolog of CCC family protein 1)"	"SEC23 YPR181C P9705.14"	"FUNCTION: Component of the coat protein complex II (COPII) which promotes the formation of transport vesicles from the endoplasmic reticulum (ER). The coat has two main functions, the physical deformation of the endoplasmic reticulum membrane into vesicles and the selection of cargo molecules. SEC23 interacts with BET3 in order to target TRAPPI complex to COPII involved in internalisation of plasma membrane proteins like the maltose transporter. {ECO:0000269|PubMed:10198022, ECO:0000269|PubMed:10720463, ECO:0000269|PubMed:11086000, ECO:0000269|PubMed:12941276, ECO:0000269|PubMed:14627716, ECO:0000269|PubMed:1498369, ECO:0000269|PubMed:16269340, ECO:0000269|PubMed:17287728, ECO:0000269|PubMed:2188733, ECO:0000269|PubMed:2670558, ECO:0000269|PubMed:3049622, ECO:0000269|PubMed:3293799, ECO:0000269|PubMed:6996832, ECO:0000269|PubMed:7026045, ECO:0000269|PubMed:7925484, ECO:0000269|PubMed:8451644, ECO:0000269|PubMed:8548805, ECO:0000269|PubMed:8909535, ECO:0000269|PubMed:9023343, ECO:0000269|PubMed:9427388, ECO:0000269|PubMed:9428766, ECO:0000269|PubMed:9624457}."
"OG0002669"	"YBR236C"	0.5931812	7.1418693	0.000260116	0.000799202	"mRNA cap guanine-N7 methyltransferase (EC 2.1.1.56) (mRNA (guanine-N(7)-)-methyltransferase) (mRNA cap methyltransferase)"	"FOB1 HRM1 YDR110W YD9727.06"	"FUNCTION: Required for replication fork blocking activity at the replication fork barrier (RFB) site in rDNA and for recombination hot-spot (HOT1) activity, regulating the recombination rate and the number of rDNA copies. Binds directly to two separated sequences in the RFB. {ECO:0000269|PubMed:14645529, ECO:0000269|PubMed:9078378, ECO:0000269|PubMed:9869636}."
"OG0001280"	"YGL106W"	0.811071031	8.301174798	2.57251e-09	2.10094e-08	"Myosin light chain 1 (Calmodulin-like myosin light chain MLC1) (Myosin-2 light chain)"	"TMA20 YER007C-A"	"FUNCTION: Involved in translation."
"OG0001774"	"YER026C"	-0.802946166	8.182665186	5.04852e-06	2.29857e-05	"CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8) (Phosphatidylserine synthase)"	"TOD6 PBF1 YBL054W YBL0509 YBL0513"	"FUNCTION: Component of the RPD3 histone deacetylase complex RPD3C(L) responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4). Histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progression and developmental events. TOD6 binds to sequences containing the core CGATG, which resembles the PAC (Polymerase A and C) motif. {ECO:0000269|PubMed:16544271, ECO:0000269|PubMed:19158363}."
"OG0001055"	"YGL122C"	1.027702235	8.424655252	9.79249e-13	1.23826e-11	"Nuclear polyadenylated RNA-binding protein NAB2"	"YEL077C"	"FUNCTION: Catalyzes DNA unwinding and is involved in telomerase-independent telomere maintenance. {ECO:0000269|PubMed:9837911}."
"OG0001163"	"YGL123W"	-2.430436421	9.291803717	2.7897e-30	1.97543e-28	"40S ribosomal protein S2 (Omnipotent suppressor protein SUP44) (RP12) (S4) (Small ribosomal subunit protein uS5) (YS5)"	"RPL19A RPL23A YL14A YBR084C-A YBR084BC"	"FUNCTION: Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. eL19 may play a role in the last stages of translation initiation, in particular sububit joining and shedding/releasing factors. {ECO:0000305|PubMed:22096102}."
"OG0003178"	"YBR229C"	-1.10673193	6.557068726	1.04385e-12	1.31443e-11	"Glucosidase 2 subunit alpha (EC 3.2.1.84) (Alpha-glucosidase II subunit alpha) (Glucosidase II subunit alpha) (Reversal of TOR2 lethality protein 2)"	"YCR006C YCR044 YCR6C"	""
"OG0002294"	"YGL125W"	-1.500024817	8.710987622	9.41953e-13	1.19612e-11	"Methylenetetrahydrofolate reductase 2 (EC 1.5.1.20) (YmL45)"	""	""
"OG0003474"	"YBR220C"	-1.683231806	5.69013167	6.9768e-18	1.45306e-16	"Uncharacterized membrane protein YBR220C"	"IMD3 YLR432W L9753.4"	"FUNCTION: Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate-limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth. {ECO:0000255|HAMAP-Rule:MF_03156, ECO:0000269|PubMed:12746440, ECO:0000269|PubMed:15292516, ECO:0000269|PubMed:16278936}."
"OG0001300"	"YGL044C"	0.532717681	6.944097384	0.002620572	0.006324468	"mRNA 3'-end-processing protein RNA15"	"COA1 FMP35 YIL157C"	"FUNCTION: Required for efficient assembly of cytochrome c oxidase in the mitochondrial inner membrane. Involved in a step coupling MSS51-dependent cotranslational insertion of COX1 to the addition of its heme A and copper B cofactors. {ECO:0000269|PubMed:17882259, ECO:0000269|PubMed:17882260}."
"OG0003348"	"YGL043W"	1.147399445	7.414090139	3.93298e-13	5.18e-12	"Transcription elongation factor S-II (DNA strand transfer protein alpha) (STP-alpha) (DNA strand transferase 1) (Pyrimidine pathway regulatory protein 2)"	"YFR012W-A"	""
"OG0003353"	"YMR077C"	0.789177909	6.54378324	5.12963e-09	3.99421e-08	"Vacuolar protein sorting-associated protein 20 (Amino acid sensor-independent protein 10) (Charged multivesicular body protein 6) (ESCRT-III complex subunit VPS20) (Vacuolar protein-targeting protein 20)"	"YOR318C 06139"	""
"OG0003480"	"YGL040C"	-0.884959737	7.542450972	3.74238e-08	2.49021e-07	"Delta-aminolevulinic acid dehydratase (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)"	"CBF5 YLR175W L9470.11"	"FUNCTION: Plays a central role in ribosomal RNA processing. Probable catalytic subunit of H/ACA small nucleolar ribonucleoprotein (H/ACA snoRNP) complex, which catalyzes pseudouridylation of rRNA. This involves the isomerization of uridine such that the ribose is subsequently attached to C5, instead of the normal N1. Pseudouridine ('psi') residues may serve to stabilize the conformation of rRNAs. May function as a pseudouridine synthase. Binds in vitro to centromeres and microtubules. It is a centromeric DNA-CBF3-binding factor which is involved in mitotic chromosome segregation. Essential for cell growth. {ECO:0000269|PubMed:10523634, ECO:0000269|PubMed:8336724, ECO:0000269|PubMed:9315678, ECO:0000269|PubMed:9472021, ECO:0000269|PubMed:9848653}."
"OG0002250"	"YGL192W"	-0.626163757	6.502191879	7.43532e-06	3.25241e-05	"N6-adenosine-methyltransferase IME4 (EC 2.1.1.62)"	"BFA1 YJR053W J1667"	"FUNCTION: Part of a checkpoint which monitors spindle integrity and prevents premature exit from mitosis. This cell-cycle arrest depends upon inhibition of the G-protein TEM1 by the BFA1/BUB2 complex."
"OG0002288"	"YGL190C"	0.611500498	7.638526659	3.90467e-06	1.80925e-05	"Protein phosphatase PP2A regulatory subunit B (Cell division control protein 55) (PR55)"	"YGR210C G7748"	""
"OG0001704"	"YFL033C"	0.587663291	7.210726302	4.96756e-06	2.26857e-05	"Serine/threonine-protein kinase RIM15 (EC 2.7.11.1)"	"TY1B-PR3 YPRCTy1-4 POL YPR158C-D P9584.3"	"FUNCTION: Capsid protein (CA) is the structural component of the virus-like particle (VLP), forming the shell that encapsulates the retrotransposons dimeric RNA genome. The particles are assembled from trimer-clustered units and there are holes in the capsid shells that allow for the diffusion of macromolecules. CA has also nucleocapsid-like chaperone activity, promoting primer tRNA(i)-Met annealing to the multipartite primer-binding site (PBS), dimerization of Ty1 RNA and initiation of reverse transcription (By similarity). {ECO:0000250}.; FUNCTION: The aspartyl protease (PR) mediates the proteolytic cleavages of the Gag and Gag-Pol polyproteins after assembly of the VLP. {ECO:0000250}.; FUNCTION: Reverse transcriptase/ribonuclease H (RT) is a multifunctional enzyme that catalyzes the conversion of the retro-elements RNA genome into dsDNA within the VLP. The enzyme displays a DNA polymerase activity that can copy either DNA or RNA templates, and a ribonuclease H (RNase H) activity that cleaves the RNA strand of RNA-DNA heteroduplexes during plus-strand synthesis and hydrolyzes RNA primers. The conversion leads to a linear dsDNA copy of the retrotransposon that includes long terminal repeats (LTRs) at both ends (By similarity). {ECO:0000250}.; FUNCTION: Integrase (IN) targets the VLP to the nucleus, where a subparticle preintegration complex (PIC) containing at least integrase and the newly synthesized dsDNA copy of the retrotransposon must transit the nuclear membrane. Once in the nucleus, integrase performs the integration of the dsDNA into the host genome (By similarity). {ECO:0000250}."
"OG0002332"	"YLR059C"	0.625895738	6.445753699	2.76791e-06	1.31389e-05	"Oligoribonuclease, mitochondrial (EC 3.1.-.-)"	"WTM2 YOR229W YOR50-19"	"FUNCTION: Transcriptional modulator with roles in meiotic regulation and silencing."
"OG0003128"	"YFL031W"	-0.901959312	8.271588211	1.28164e-10	1.2523e-09	"Transcriptional activator HAC1"	"SMP3 LAS2 SAP2 YOR149C"	"FUNCTION: Alpha-1,2-mannosyltransferase involved in glycosylphosphatidylinositol-anchor biosynthesis. Transfers a fourth mannose to trimannosyl-GPIs during GPI precursor assembly. The presence of a fourth mannose in GPI is essential in fungi. Involved in plasmid maintenance with SMP2. {ECO:0000269|PubMed:11356840}."
"OG0001852"	"YFL030W"	-0.657365397	5.092162197	0.001308144	0.00341149	"Alanine--glyoxylate aminotransferase 1 (EC 2.6.1.44)"	"NOP12 YOL041C"	"FUNCTION: Involved in pre-25S rRNA processing. {ECO:0000269|PubMed:11452019}."
"OG0002763"	"YLR057W"	0.640088336	7.043114139	5.8732e-06	2.63812e-05	"Putative endoplasmic reticulum mannosidase MNL2 (EC 3.2.1.-) (Mannosidase-like protein 2)"	"YMR304C-A"	""
"OG0002943"	"YLR056W"	-1.157908312	9.532178077	1.4578e-07	8.71351e-07	"Delta(7)-sterol 5(6)-desaturase (EC 1.14.19.20) (C-5 sterol desaturase) (Ergosterol Delta(5,6) desaturase) (Sterol-C5-desaturase)"	"QDR3 AQR2 YBR043C YBR0413"	"FUNCTION: Multidrug resistance transporter involved in resistance and adaptation to quinidine and to the herbicide barban (4-chloro-2-butynyl [3-chlorophenyl] carbamate). {ECO:0000269|PubMed:15649438}."
"OG0001027"	"YLR055C"	-0.69195456	6.50055394	9.86932e-07	5.11217e-06	"Transcription factor SPT8"	"ECM19 YLR390W"	"FUNCTION: May be involved in cell wall organization and biogenesis."
"OG0002559"	"YOR313C"	-1.424809919	4.393262487	0.001941696	0.00485545	"Sporulation-specific protein 4"	"OSH2 YDL019C D2845"	"FUNCTION: Lipid-binding protein involved in maintenance of intracellular sterol distribution and homeostasis. Binds to phosphoinositides. {ECO:0000269|PubMed:15173322}."
"OG0001025"	"YOR308C"	-0.557356029	6.260585536	0.001662128	0.00422838	"66 kDa U4/U6.U5 small nuclear ribonucleoprotein component"	"PPX1 YHR201C"	"FUNCTION: Degradation of inorganic polyphosphates."
"OG0003583"	"YOR307C"	0.694441229	7.244136478	0.000313364	0.00094496	"Uncharacterized transporter SLY41"	"BDS1 YOL164W"	"FUNCTION: Alkyl/aryl-sulfatase. Enables the use of SDS and 4-nitrocatechol as sulfur source. {ECO:0000269|PubMed:15947202}."
"OG0001746"	"YMR241W"	-0.884926768	8.577003464	1.36643e-06	6.87669e-06	"Citrate/oxoglutarate carrier protein (Coc1p) (Mitochondrial DNA replication protein YHM2)"	"IME4 SPO8 YGL192W G1337"	"FUNCTION: Catalytic component of the MIS complex, a complex that mediates N6-methyladenosine (m6A) methylation on some mRNAs during meiosis and is required for sporulation. M6A, which takes place on the adenosine of 5'-[AG]GAC-3' consensus sites of some mRNAs, is probably required to initiate sporulation. Positive regulator for IME2. {ECO:0000269|PubMed:12384598, ECO:0000269|PubMed:22685417, ECO:0000269|PubMed:24269006}."
"OG0003680"	"YMR240C"	0.549766019	6.561175748	4.29905e-05	0.000158263	"Cold sensitive U2 snRNA suppressor 1"	"TAT1 TAP1 VAP1 YBR069C YBR0710"	"FUNCTION: High-affinity transport of valine and tyrosine. Low-affinity transport of tryptophan. Can also transport L-cysteine. {ECO:0000269|PubMed:10467005}."
"OG0003475"	"YDL040C"	-0.527065026	8.109274034	0.000316205	0.000952571	"N-terminal acetyltransferase A complex subunit NAT1 (NatA complex subunit NAT1) (Amino-terminal, alpha-amino, acetyltransferase 1)"	"RGC1 YPR115W"	"FUNCTION: Positive regulator of FPS1 glycerol channel required for the glycerol efflux. {ECO:0000269|PubMed:12829295, ECO:0000269|PubMed:19956799}."
"OG0002423"	"YBR018C"	2.435560142	3.649032025	2.27331e-10	2.16504e-09	"Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase)"	"SNF6 YHL025W"	"FUNCTION: Involved in transcriptional activation. Component of the SWI/SNF complex, an ATP-dependent chromatin remodeling complex, which is required for the positive and negative regulation of gene expression of a large number of genes. It changes chromatin structure by altering DNA-histone contacts within a nucleosome, leading eventually to a change in nucleosome position, thus facilitating or repressing binding of gene-specific transcription factors."
"OG0000721"	"YPR103W"	0.634528553	9.259707361	2.115e-05	8.32584e-05	"Proteasome subunit beta type-5 (EC 3.4.25.1) (Macropain subunit PRE2) (Multicatalytic endopeptidase complex subunit PRE2) (Proteasome component PRE2) (Proteinase YSCE subunit PRE2)"	"AVT7 YIL088C"	"FUNCTION: Probable amino acid transporter of unknown specificity. {ECO:0000269|PubMed:11274162}."
"OG0001474"	"YAL010C"	0.571493866	6.62822351	0.000212918	0.000669218	"Mitochondrial distribution and morphology protein 10 (Mitochondrial inheritance component MDM10)"	"APE2 LAP1 YKL157W YKL158W YKL611 YKL612"	"FUNCTION: Involved in the cellular supply of leucine from externally offered leucine-containing dipeptide substrates."
"OG0002547"	"YOL033W"	-0.872951034	6.1570773	3.44199e-11	3.64101e-10	"Glutamate--tRNA ligase, mitochondrial (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)"	"MNT4 YNR059W N3514"	""
"OG0000898"	"YOL032W"	3.656679197	7.838277313	1.31025e-18	2.91011e-17	"Protein OPI10 (Overproducer of inositol protein 10)"	"AQR1 YNL065W N2417 YNL2417W"	"FUNCTION: Probable transporter that confers resistance to short-chain monocarboxylic acids and quinidine. {ECO:0000269|PubMed:11922628}."
"OG0002532"	"YAL012W"	0.516248931	9.996769791	0.001661662	0.00422838	"Cystathionine gamma-lyase (EC 4.4.1.1) (Gamma-cystathionase) (Sulfur transfer protein 1)"	"PAN2 YGL094C"	"FUNCTION: Catalytic subunit of the poly(A)-nuclease (PAN) deadenylation complex, one of two cytoplasmic mRNA deadenylases involved in mRNA turnover. PAN specifically shortens poly(A) tails of RNA and the activity is stimulated by poly(A)-binding protein PAB1. PAN deadenylation is followed by rapid degradation of the shortened mRNA tails by the CCR4-NOT complex. Deadenylated mRNAs are then degraded by two alternative mechanisms, namely exosome-mediated 3'-5' exonucleolytic degradation, or deadenlyation-dependent mRNA decaping by DCP1-DCP2 and subsequent 5'-3' exonucleolytic degradation by XRN1. May also be involved in post-transcriptional maturation of mRNA poly(A) tails, trimming the tails from their synthesized length to the slightly shorter, apparently messenger-specific length found on newly exported mRNAs. PAN cooperates with protein kinase DUN1 in the regulation of RAD5 mRNA levels and cell survival in response to replicational stress. {ECO:0000255|HAMAP-Rule:MF_03182, ECO:0000269|PubMed:11239395, ECO:0000269|PubMed:11953437, ECO:0000269|PubMed:1358757, ECO:0000269|PubMed:15630021, ECO:0000269|PubMed:15894541, ECO:0000269|PubMed:24880344, ECO:0000269|PubMed:8550599, ECO:0000269|PubMed:8816488, ECO:0000269|PubMed:9774670}."
"OG0001151"	"YOL040C"	-2.446137929	10.17837169	4.55617e-16	8.36085e-15	"40S ribosomal protein S15 (RIG protein) (RP52) (S21) (Small ribosomal subunit protein uS19) (YS21)"	"YLR152C L9634.9"	""
"OG0000970"	"YAL013W"	0.538770463	7.386809198	0.000403502	0.0011853	"Transcriptional regulatory protein DEP1"	"MRPL36 YBR122C YBR0918"	"FUNCTION: Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane (PubMed:25609543, PubMed:24675956). Overexpression of bL31m suppresses mutations in the COX2 leader peptide-encoding and initiation codon regions (PubMed:11259585, PubMed:15166137). {ECO:0000269|PubMed:11259585, ECO:0000269|PubMed:15166137, ECO:0000305|PubMed:24675956, ECO:0000305|PubMed:25609543}.; FUNCTION: Overexpression suppresses mutations in the COX2 leader peptide-encoding and initiation codon regions. {ECO:0000269|PubMed:11259585, ECO:0000269|PubMed:15166137}."
"OG0002528"	"YAL014C"	0.79600764	6.497043874	1.10979e-09	9.53505e-09	"Syntaxin-8 (SNARE protein related to mammalian syntaxin 8) (ULP1-interacting protein 2)"	"AGP1 YCL025C YCL25C"	"FUNCTION: Broad substrate range permease which transports asparagine and glutamine with intermediate specificity. Also transports Ala, Cys, Gly, Ile, Leu, Met, Phe, Ser, Thr, Tyr and Val. Important for the utilization of amino acids as a nitrogen source. {ECO:0000269|PubMed:10467005, ECO:0000269|PubMed:10654085}."
"OG0003497"	"YAL016W"	0.556808673	7.920302303	0.000364086	0.001082189	"Protein phosphatase PP2A regulatory subunit A (PR65)"	"POL30 YBR088C YBR0811"	"FUNCTION: This protein is an auxiliary protein of DNA polymerase delta and is involved in the control of eukaryotic DNA replication by increasing the polymerase's processibility during elongation of the leading strand. Involved in DNA repair. {ECO:0000269|PubMed:11545742, ECO:0000269|PubMed:12226657}."
"OG0002473"	"YAL019W"	-0.508594108	7.549150797	0.000349091	0.001041735	"ATP-dependent helicase FUN30 (EC 3.6.4.12)"	"HEL1 YKR017C"	"FUNCTION: Probable ubiquitin-protein ligase involved in the degradation-related ubiquitination of histones. Contributes to the post-translational regulation of histone protein levels by polyubiquitination of excess histones for subsequent degradation. {ECO:0000269|PubMed:22570702}."
"OG0003635"	"YPL034W"	0.509746556	4.228826321	0.00219203	0.005398457	"Uncharacterized protein YPL034W"	"CBF2 CBF3A CEP2 CTF14 NDC10 YGR140W"	"FUNCTION: Acts as a component of the centromere DNA-binding protein complex CBF3, which is essential for chromosome segregation and movement of centromeres along microtubules. CBF3 is required for the recruitment of other kinetochore complexes to CEN DNA. It plays a role in the attachment of chromosomes to the spindle and binds selectively to a highly conserved DNA sequence called CDEIII, found in centromers and in several promoters."
"OG0002237"	"YDL087C"	1.090632689	5.5538259	2.86247e-13	3.84357e-12	"Protein LUC7"	"SVS1 YPL163C P2554"	"FUNCTION: Required for vanadate resistance."
"OG0001113"	"YDL089W"	0.670201841	6.479868529	0.015190764	0.029881384	"Nuclear rim protein 1"	"YHR180W"	""
"OG0003117"	"YDL090C"	0.550550422	6.270592792	0.001567063	0.004008566	"Protein farnesyltransferase subunit beta (FTase-beta) (EC 2.5.1.58) (CAAX farnesyltransferase subunit beta) (Ras proteins prenyltransferase subunit beta)"	"AEP1 NCA1 YMR064W YM9916.03"	"FUNCTION: Required for translation of the mitochondrial OLI1 transcript encoding subunit 9 of mitochondrial ATP synthase. {ECO:0000269|PubMed:8358819, ECO:0000269|PubMed:8445655}."
"OG0001659"	"YDL091C"	1.344564952	7.288366322	4.37954e-18	9.24928e-17	"UBX domain-containing protein 3"	"ADE8 YDR408C D9509.26"	""
"OG0000992"	"YNR035C"	0.605881633	8.399017773	0.000753625	0.002083633	"Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)"	"PDB1 YBR221C YBR1511"	"FUNCTION: The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)."
"OG0003256"	"YGL103W"	-3.240867718	6.96144894	2.21061e-83	1.90081e-80	"60S ribosomal protein L28 (L27a) (L29) (Large ribosomal subunit protein uL15) (RP44) (RP62) (YL24)"	"RPL7B RPL6B YL8B YPL198W"	"FUNCTION: Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}."
"OG0001322"	"YGL099W"	-0.929199759	7.005278476	1.07069e-06	5.49873e-06	"Large subunit GTPase 1 (EC 3.6.1.-)"	"SCS2 YER120W"	"FUNCTION: Targets proteins containing a FFAT motif to endoplasmic reticulum membranes. Regulates phospholipid biosynthesis by modulating the subcellular localization of the transcriptional repressor OPI1. {ECO:0000269|PubMed:12727870, ECO:0000269|PubMed:15668246}."
"OG0000893"	"YBR248C"	-1.429380658	8.364949883	3.55497e-18	7.58773e-17	"Imidazole glycerol phosphate synthase hisHF (IGP synthase) (IGPS) (ImGP synthase) [Includes: Glutamine amidotransferase (EC 2.4.2.-); Cyclase (EC 4.1.3.-)]"	"EFM6 YNL024C N2809"	"FUNCTION: S-adenosyl-L-methionine-dependent protein-lysine N-methyltransferase that methylates elongation factor 1-alpha (TEF1 and TEF2) at 'Lys-390'. {ECO:0000269|PubMed:26115316}."
"OG0000955"	"YBR249C"	-2.070513089	8.044376402	7.41202e-05	0.000257283	"Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)"	"COA6 YMR244C-A"	"FUNCTION: Involved in the maturation of the mitochondrial respiratory chain complex IV subunit MT-CO2/COX2. Thereby, may regulate early steps of complex IV assembly. Mitochondrial respiratory chain complex IV or cytochrome c oxidase is the component of the respiratory chain that catalyzes the transfer of electrons from intermembrane space cytochrome c to molecular oxygen in the matrix and as a consequence contributes to the proton gradient involved in mitochondrial ATP synthesis. May also be required for efficient formation of respiratory supercomplexes comprised of complexes III and IV. {ECO:0000269|PubMed:22984289, ECO:0000269|PubMed:24549041}."
"OG0001832"	"YNR006W"	0.875103236	7.283230181	9.62975e-11	9.59627e-10	"Vacuolar protein sorting-associated protein 27 (Golgi retention defective protein 11)"	"YVH1 YIR026C"	"FUNCTION: May be directly involved in signal transduction and/or cell cycle regulation. It is necessary for maintaining growth rate or spore germination. Could show both activity toward tyrosine-protein phosphate as well as with serine-protein phosphate."
"OG0001918"	"YMR201C"	0.715205084	6.825996283	5.08494e-08	3.30521e-07	"DNA repair protein RAD14"	"ISU2 NUA2 YOR226C"	"FUNCTION: Scaffold protein for the de novo synthesis of iron-sulfur (Fe-S) clusters within mitochondria, which is required for maturation of both mitochondrial and cytoplasmic [2Fe-2S] and [4Fe-4S] proteins. First, a [2Fe-2S] cluster is transiently assembled on the scaffold proteins ISU1 and ISU2. In a second step, the cluster is released from ISU1/ISU2, transferred to glutaredoxin GRX5, followed by the formation of mitochondrial [2Fe-2S] proteins, the synthesis of [4Fe-4S] clusters and their target-specific insertion into the recipient apoproteins. Cluster assembly on ISU1/ISU2 depends on the function of the cysteine desulfurase complex NFS1-ISD11, which serves as the sulfur donor for cluster synthesis, the iron-binding protein frataxin (YFH1) as the putative iron donor, and the electron transfer chain comprised of ferredoxin reductase ARH1 and ferredoxin YAH1, which receive their electrons from NADH. Fe-S cluster release from ISU1/ISU2 is achieved by interaction with the Hsp70 chaperone SSQ1, assisted by the DnaJ-like co-chaperone JAC1 and the nucleotide exchange factor MGE1. ISU1 is the major isoform in yeast, while ISU2 is not detectable in cells grown to stationary phase (By similarity). ISU2 is the minor isoform in yeast and is not detectable in cells grown to stationary phase (PubMed:10588895). {ECO:0000250|UniProtKB:Q03020, ECO:0000269|PubMed:10588895}."
"OG0002441"	"YJR101W"	-1.136086673	6.722034166	5.91312e-08	3.79436e-07	"37S ribosomal protein S26, mitochondrial (Mitochondrial small ribosomal subunit protein mS42)"	"UPS3 GEP2 YDR185C"	"FUNCTION: Required for mitochondrial morphology. With UPS1 and UPS2, controls phospholipid metabolism in the mitochondrial intermembrane space. {ECO:0000269|PubMed:19221197, ECO:0000269|PubMed:19506038}."
"OG0003219"	"YER152C"	-1.045213072	5.385322643	0.000982342	0.00263623	"Uncharacterized protein YER152C"	"TUB2 YFL037W"	"FUNCTION: Tubulin is the major constituent of microtubules (PubMed:28013290). It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain. {ECO:0000269|PubMed:28013290}."
