W29_NCBI	CLIB122_UNIPROT	CLIB122_NCBI	Standard_A	Standard_B	Standard_C	Standard_D	HighTemp_A	HighTemp_B	HighTemp_C	LowpH_A	LowpH_B	LowpH_C	LowpH_D	Protein_name	ec_number	Coverage	MW
YALI1_F03908g	Q6C350	YALI0F02629g1_1	0.342715526	5.985430901	5.939306292	13.12902302	9.425319533	8.370109853	9.901962766	7.354454685	11.36164076	7.245414253	6.773894512	"highly similar to uniprot|P07284 Saccharomyces cerevisiae YDR023w SES1 seryl-tRNA synthetase, cytosolic"		53	52
YALI1_C17848g	Q6CC41	YALI0C12661g1_1	0.937542537	0.60448358	0.864368497	0.266114254	0.892680181	1.088014147	1.119618844	2.887539958	1.497252262	1.925352043	2.716385342	uniprot|Q6CC41 Yarrowia lipolytica YALI0C12661g UGT1 UDP-Glucose:glycoprotein glucosyltransferase		27	"165,399,993,896,484"
YALI1_F12138g	Q6C2D9	YALI0F08701g1_1	11.00844046	13.78604344	15.31580284	9.720526591	4.541403268	3.970273699	6.377114253	8.467626315	9.722236403	7.932190789	11.19114131	"uniprot|Q6C2D9 Yarrowia lipolytica YALI0F08701g ERG6 Delta(24)-sterol C-methyltransferase, putative"		39	"425,999,984,741,211"
YALI1_F30754g	Q6C0M3	YALI0F23463g1_1	7.394924146	12.48227553	9.189415092	11.32812969	9.490406874	14.39380798	13.56989037	14.64592887	12.79180097	7.428640604	10.4807069	"similar to uniprot|P47143 Saccharomyces cerevisiae YJR105w ADO1 Adenosine kinase, required for the utilization of S-adenosylmethionine"		53	"375,999,984,741,211"
YALI1_F16656g	Q6C1Y2	YALI0F12463g1_1	1.955039488	1.69900735	2.429459589	2.994884116	5.981755298	5.041940579	7.867116173	2.231918011	3.786285229	1.525867633	1.597172751	similar to uniprot|P33416 Saccharomyces cerevisiae YDR258C HSP78 Oligomeric mitochondrial matrix chaperone		40	"870,999,984,741,211"
YALI1_B26679g	F2Z660	YALI0B20372g1_1	4.231167994	3.677053872	5.257925336	5.035823037	10.54706675	9.095184917	6.810604855	10.42787194	8.194417029	7.621882289	4.659108496	uniprot|F2Z660 Yarrowia lipolytica YALI0B20372g NUBM/NUO51 Central subunit of protein NADH:ubiquinone oxidoreductase (Complex I)	1.6.5.3; 1.6.99.3	46	"535,999,984,741,211"
YALI1_A22073g	B5U8Q6	YALI0A21076g2_1	2.074561105	3.343908407	3.714963043	5.698716655	1.101551481	1.870490449	1.025021343	3.412896004	2.980834252	2.772566701	2.714495402	uniprot|B5U8Q6 Yarrowia lipolytica YALI0A21076g RHF1 Protein required for filamentation		28	"991,999,969,482,422"
YALI1_C09200g	Q6CCS8	YALI0C06864g1_1	12.532022	15.6940486	20.71836319	13.77010864	12.49562432	11.29927067	11.62749253	4.598932267	9.708325459	7.256651703	5.901426641	weakly similar to uniprot|Q6BLL1 Debaryomyces hansenii DEHA2F12606g		36	"400,999,984,741,211"
YALI1_B29419g	Q6CDN8	YALI0B22506g1_1	1.511700757	5.889338454	4.335713912	1.334841884	7.319098197	9.38900241	10.90817771	20.25424256	13.12455487	14.26929232	9.604696411	highly similar to uniprot|Q9Y790 Mycosphaerella graminicola NAD-dependent formate dehydrogenase	1.17.1.9	59	"397,999,992,370,605"
YALI1_A09694g	Q6CHE0	YALI0A09856g1_1	2.290019124	1.147145059	2.111285953	2.02210221	3.290410186	2.06475427	2.422262638	2.315606262	1.538472608	2.377828804	3.921348933	similar to uniprot|P49095 Saccharomyces cerevisiae YMR189w GSD2 glycine decarboxylase P subunit	1.4.4.2	23	"108,400,001,525,879"
YALI1_F07344g	Q8TFK3	YALI0F04730g1_1	28.30717084	20.43383192	26.09783104	31.1037451	28.22495623	19.82948487	22.77659855	10.38800933	21.92904125	16.39123196	17.96712243	uniprot|Q8TFK3 Yarrowia lipolytica YALI0F04730g GSP1/RAN1 GTP-binding protein		72	"241,000,003,814,697"
YALI1_B29133g	F2Z672	YALI0B22308g1_1	7.062851875	7.107906714	7.896630991	5.011778509	5.659325661	8.437418095	7.58869182	3.143183671	3.262156984	2.553457934	1.854768102	uniprot|O74996 Yarrowia lipolytica YALI0B22308g HXK1 Hexokinase	2.7.1.-	46	"632,000,007,629,395"
YALI1_F08705g	Q6C2Q9	YALI0F05874g1_1	10.42000175	5.219717775	5.537519226	9.200931271	16.64068209	16.84703196	11.02173369	5.770449926	7.000328992	6.033689014	4.906859878	similar to uniprot|P31373 Saccharomyces cerevisiae YAL012w CYS3 Cystathionine gamma-lyase		61	"415,999,984,741,211"
YALI1_E15991g			5.94033245	3.830048541	7.049089058	8.401198891	6.611337681	7.718166363	8.087367336	7.731266689	8.535369912	5.509249005	4.852964443	No description in CLIB122		31	"517,000,007,629,395"
YALI1_B19044g	Q6CEM6	YALI0B14487g1_1	11.54297693	9.025372832	8.552115415	12.36048804	9.249162616	8.36363108	16.7167113	2.644765503	7.186025974	8.105629606	4.368189479	weakly similar to uniprot|P25293 Saccharomyces cerevisiae YKR048c NAP1 nucleosome assembly protein I		43	"479,000,015,258,789"
YALI1_A13100g	Q6CH33	YALI0A13101g1_1	2.298848155	1.482189776	2.727925669	3.942707855	2.950267495	3.666193251	2.380767496	2.991921464	2.292174949	1.331145156	3.007967677	weakly similar to uniprot|P34160 Saccharomyces cerevisiae YMR125w GCR3 large subunit of the nuclear cap- binding protein complex CBC		27	"955,999,984,741,211"
YALI1_E30028g	Q6C4N1	YALI0E25091g1_1	40.67481782	23.59536738	30.13570406	35.91613631	32.5919394	32.99609005	30.32761889	21.50976185	21.95958114	23.55270251	15.39250338	weakly similar to uniprot|P38013 Saccharomyces cerevisiae YLR109w AHP1 Alkyl hydroperoxide reductase		56	21
YALI1_E06109g	Q6C6Y6	YALI0E05247g1_1	3.88177849	4.861212363	2.875984062	1.587749653	1.601382283	2.491212031	2.509983849	3.987136024	3.11039827	3.239067512	3.171225372	similar to uniprot|P32319 Saccharomyces cerevisiae YBL017c PEP1 vacuolar protein sorting/targeting protein		29	"919,000,015,258,789"
YALI1_B17493g	Q6CET3	YALI0B13156g1_1	4.274105005	5.35252904	2.028770024	1.943071872	6.25336094	4.960080771	3.786850928	6.280326003	5.485256755	3.185478038	2.590570104	"uniprot|Q6CET3 Yarrowia lipolytica YALI0B13156g CNX1 Calnexin precursor, involved in regulation of secretion"		27	"635,999,984,741,211"
YALI1_E02529g	Q6C7C0	YALI0E02046g1_1	1.419546681	0.915257309	5.867033755	0.64534709	1.821800375	1.459137244	1.932618344	2.335320558	1.821803164	2.557123168	1.492658074	similar to uniprot|Q04439 Saccharomyces cerevisiae YMR109W (ohnolog of YKL129C) MYO5 myosin I		18	"127,5"
YALI1_C22922g	Q6CBS7	YALI0C15895g1_1	54.70222702	68.50446077	19.2639988	32.00832751	11.61847052	18.83942993	17.31584106	16.55339489	14.45778788	26.11958913	53.10332198	highly similar to uniprot|P46990 Saccharomyces cerevisiae YJL177W (ohnolog of YKL180W) RPL20B 60s large subunit ribosomal protein L17.e		54	"20,5"
YALI1_D13298g	Q6C9J8	YALI0D10659g1_1	7.360163014	12.42360041	14.64900407	11.27487983	11.04109683	12.889528	10.27401815	8.402531247	6.175961571	13.25834762	2.605212481	similar to uniprot|Q04869 Saccharomyces cerevisiae YMR315w		52	"37,5"
YALI1_B26153g	Q6CDZ3	YALI0B20020g1_1	9.30009083	5.996263612	2.756184596	6.092632576	1.233288331	1.999785518	2.648703671	4.392758748	5.789727789	2.772566701	9.779076554	"highly similar to uniprot|P14843 Saccharomyces cerevisiae YDR035w ARO3 2-dehydro-3-deoxyphosphoheptonate aldolase, phenylalanine-inhibited"	2.5.1.54	37	"394,000,015,258,789"
YALI1_C09308g	Q6CCS4	YALI0C06952g1_1	1.498272113	1.876309774	1.381333821	2.56965612	0.618094624	3.377182847	3.475283448	5.321085502	3.734760759	3.889258285	2.377427994	"highly similar to uniprot|P32449 Saccharomyces cerevisiae YBR249C ARO4 3-deoxy-D-arabino-heptulosonate-7- phosphate (DAHP) synthase, catalyzes the first step in aromatic amino acid biosynthesis"	2.5.1.54	32	"394,000,015,258,789"
YALI1_C26167g	Q6CBG6	YALI0C19041g1_1	6.23790501	10.05464865	4.266782543	4.086547536	8.005525874	4.877480044	6.460192447	5.283421552	6.219797321	5.785227048	8.162094829	"highly similar to uniprot|P25374 Saccharomyces cerevisiae YCL017c NFS1 regulates Iron-Sulfur cluster proteins, cellular Iron uptake, and Iron distribution"		38	"502,999,992,370,606"
YALI1_E16359g	Q6C612	YALI0E13420g1_1	7.795435066	13.15831866	3.113921542	14.8599405	10.00440966	13.6518007	7.834282941	7.489326033	11.94376449	9.744693996	8.583865683	similar to uniprot|Q9HZP7 Pseudomonas aeruginosa Electron transfer flavoprotein alpha-subunit		58	"344,000,015,258,789"
YALI1_E21406g	Q6C5H4	YALI0E18029g1_1	4.499712704	12.16497856	7.19702861	5.355437772	12.46661684	10.62137063	9.322330553	2.864713171	3.775738756	3.511932118	4.954813828	similar to uniprot|P41921 Saccharomyces cerevisiae YPL091w GLR1 glutathione reductase (NADPH)		51	"510,999,984,741,211"
YALI1_C04401g	Q6CD68	YALI0C03355g1_1	4.168052466	5.219717775	9.606733455	9.200931271	14.97196226	6.330095158	9.667912534	10.53642786	7.000328992	7.508188121	8.512637704	highly similar to uniprot|P38219 Saccharomyces cerevisiae YBR025c strong similarity to Ylf1p		50	"437,000,007,629,395"
YALI1_D33599g	Q6C7U3		4.174990176	2.265315314	10.07696897	1.597271752	7.221921492	5.784264165	5.827849838	10.28941961	7.221932548	7.520685476	4.597248851	No description in CLIB122		38	"557,999,992,370,606"
YALI1_E00869g	Q6C7I9	YALI0E00484g1_1	1.695738165	2.123599622	2.107234851	3.232477471	2.933297416	2.652458223	3.513164671	1.079580803	1.690815695	0.981915069	5.037507066	hypothetical protein conserved in the Yarrowia clade		31	"929,000,015,258,789"
YALI1_B14044g	Q6CF43	YALI0B10406g1_1	12.88980697	16.14210835	14.78790276	8.842928445	12.85237014	6.699080294	10.37143416	8.482202228	8.65958486	7.463826642	8.181415976	uniprot|Q6CF43 Yarrowia lipolytica YALI0B10406g ECH2 Enoyl-CoA hydratase		40	"370,999,984,741,211"
YALI1_C09923g	Q6CCQ4	YALI0C07502g1_1	1.320014237	1.653074626	1.216988752	2.516258919	0.944720587	1.19016693	1.842601882	2.926992675	1.316182436	2.377828804	3.921348933	uniprot|Q6CCQ4 Yarrowia lipolytica YALI0C07502g SLA2 Sla2p cytoskeleton assembly control protein		23	"111,800,003,051,758"
YALI1_D16249g			7.465244827	12.60097345	14.85814943	6.591861136	9.580654165	7.867685585	7.502447227	8.52249506	8.700720309	13.44763843	15.96639715	No description in CLIB122		36	39
YALI1_E05929g	Q6C6Z6	YALI0E05027g1_1	5.012871058	8.080061675	3.428848417	1.422864979	5.579112548	5.817415648	5.986400271	5.722808805	6.433366704	6.699498674	4.095273321	"similar to uniprot|P38708 Saccharomyces cerevisiae YHR020W Conserved protein of unknown function that may interact with ribosomes, putative prolyl-tRNA ligase"		39	"589,000,015,258,789"
YALI1_F18381g	Q6C1S7	YALI0F13717g1_1	0.954064025	1.610414089	1.898882914	1.818671379	1.030405823	1.670810136	1.750733877	1.673646063	1.461767808	0.744627116	0.779424187	similar to uniprot|P24276 Saccharomyces cerevisiae YDR293c SSD1 involved in the tolerance to high concentration of Ca2		16	134
YALI1_F14136g	Q6C266	YALI0F10461g1_1	2.641445833	4.116307186	1.892061989	1.81213858	0.628124141	1.155287714	0.253240378	1.462795427	2.046279191	2.742730801	3.869585187	similar to uniprot|Q03516 Saccharomyces cerevisiae YMR266w		20	102
YALI1_F22993g	F2Z626	YALI0F17248g1_1	7.916313232	7.702337015	5.670438202	8.698396255	3.26578237	6.322009394	3.781530202	8.004764806	3.157372566	5.704141937	6.467245218	uniprot|Q9UUU1 Yarrowia lipolytica YALI0F17248g NUCM Central subunit of protein NADH:ubiquinone oxidoreductase (Complex I)		30	"522,999,992,370,606"
YALI1_A10827g	Q6CHA6	YALI0A10725g1_1	33.80924458	24.40556228	17.96730426	29.8537892	25.01071351	23.68374811	31.36897932	34.1870064	37.74268274	41.03463914	15.92103626	"similar to uniprot|P26786 Saccharomyces cerevisiae YOR096W RPS7A (ohnolog of YNL096C) Protein component of the small (40S) ribosomal subunit, nearly identical to Rps7Bp"		63	"217,000,007,629,395"
YALI1_E27161g	Q6C4X3	YALI0E23001g1_1	23.97762538	15.45965144	22.10620127	10.90058606	15.8429832	16.03944135	14.74229412	17.09079846	20.73342867	26.9675578	19.58856081	"uniprot|Q6C4X3 Yarrowia lipolytica YALI0E23001g RHO11 GTP-binding protein of the rho subfamily of ras-like proteins, putative"		66	"22,5"
YALI1_D01094g	Q6CAP4	YALI0D01045g1_1	17.64678888	9.575002432	21.9290509	10.81323307	19.05884044	18.59810223	14.62415519	13.98022857	17.59556293	22.05939196	14.41657343	uniprot|Q6CAP4 Yarrowia lipolytica YALI0D01045g RHO1 GTP-binding protein of the rho subfamily of ras-like proteins		61	"22,5"
YALI1_E07121g	Q6C6V5	YALI0E05929g1_1	4.609598781	3.60421301	2.653411179	1.885447324	1.901636026	2.594931327	1.769520124	2.849356493	3.693587388	3.236920649	3.026267133	similar to uniprot|P46971 Saccharomyces cerevisiae YJR143c PMT4 dolichyl-phosphate-mannose--protein O- mannosyl transferase		23	"843,000,030,517,578"
YALI1_E37455g	Q6C3W3	YALI0E31691g1_1	33.86698748	9.460834662	21.66757934	12.9568646	24.23825395	13.23016283	25.25162113	14.52734027	21.08373371	16.503322	8.893773959	weakly similar to uniprot|P35192 Saccharomyces cerevisiae YMR021c MAC1 metal binding activator		60	"307,000,007,629,395"
YALI1_B10607g	Q6CFD4	YALI0B08118g1_1	13.52386579	11.75277917	12.46834473	20.71692725	17.35609269	12.19354867	13.59126081	18.04667646	11.34796543	20.50135173	23.85118319	weakly similar to uniprot|C4R5M6 Komagataella pastoris hypothetical protein		39	"25,5"
YALI1_F19249g	Q6C1P8	YALI0F14465g1_1	42.07147036	40.93428771	22.35811294	37.14938985	21.59753488	21.86535134	20.09704911	48.02975745	28.26430751	51.06259031	26.70359616	highly similar to uniprot|P14127 Saccharomyces cerevisiae YDR447C (ohnolog of YML024W) RP51B ribosomal protein S17.e.B		44	"193,999,996,185,303"
YALI1_B13973g	Q6CF45	YALI0B10362g1_1	2.005173327	1.567830984	6.974298045	4.426398687	5.698237485	3.511571374	6.702326421	5.068881517	4.998319456	4.380338613	4.095273321	similar to uniprot|Q9HEG7 Neurospora crassa tom70 Mitochondrial precursor protein import receptor		33	"693,000,030,517,578"
YALI1_B20289g	P38997	YALI0B15444g1_1	9.012975184	8.374055276	6.16495524	7.958517397	8.581695233	10.45951956	9.334152109	8.923153391	7.793510622	3.872015694	9.477173493	uniprot|P38997 Yarrowia lipolytica YALI0B15444g LYS5 Saccharopine dehydrogenase	1.5.1.7	36	"40,5"
YALI1_E35815g	Q6C421	YALI0E30481g1_1	6.884295586	4.438671823	4.70891945	7.824161408	8.835082668	15.51755837	9.37251033	2.526360799	4.285785826	5.130845492	4.172628027	similar to uniprot|P54885 Saccharomyces cerevisiae YOR323c PRO2 gamma-glutamyl phosphate reductase		50	"464,000,015,258,789"
YALI1_B04433g	Q9UVF4	YALI0B02948g1_1	5.90778329	5.134099485	2.359890564	5.216612177	7.581858318	9.240900919	8.246647881	6.744461176	10.21933241	8.955837407	17.55017412	uniprot|Q9UVF4 Yarrowia lipolytica YALI0B02948g GPD1 Glycerol-3- phosphate dehydrogenase [NAD ]		47	"432,999,992,370,606"
YALI1_E24442g	Q6C569	YALI0E20581g1_1	159.4598419	118.5543179	54.49353228	83.59254085	47.36108012	39.53848986	52.36848766	34.7407665	36.79662322	44.05208193	48.28734967	similar to uniprot|P38701 Saccharomyces cerevisiae YHL015w URP2 ribosomal protein		45	"128,999,996,185,303"
YALI1_A19759g	Q6CGJ3	YALI0A18810g1_1	7.218918242	7.02379246	5.170895665	3.674308555	2.313780177	7.287208746	4.181869954	3.997735052	6.375474343	3.247677945	7.338726538	"similar to uniprot|P00729 Saccharomyces cerevisiae YMR297w PRC1 carboxypeptidase y, serine-type protease"	3.4.16.-	25	55
YALI1_B25906g	Q6CE01	YALI0B19800g1_1	5.205159529	6.51850329	1.919585138	3.570949773	1.668337905	1.877278444	1.998142349	2.882543894	2.517623027	4.548363803	7.625296704	similar to uniprot|P19145 Saccharomyces cerevisiae YKR039W GAP1 General amino acid permease		19	"651,999,969,482,422"
YALI1_C20198g	Q6CBY2	YALI0C14498g1_1	6.442104619	11.62560971	8.558740196	11.048723	8.267589058	8.370109853	9.32955197	7.354454685	10.81964589	14.07289795	16.37234811	"highly similar to uniprot|P38988 Saccharomyces cerevisiae YDL198C GGC1 Mitochondrial GTP/GDP transporter, essential for mitochondrial genome maintenance"		53	"325,999,984,741,211"
YALI1_D15734g	Q6C9B1	YALI0D12584g1_1	21.99288324	4.558152569	0	37.71954808	9.072906575	25.52264793	6.263662544	28.62345619	24.99981789	16.39123196	34.89786389	uniprot|Q6C9B1 Yarrowia lipolytica YALI0D12584g ATP1 Alpha subunit of the mitochondrial F1F0 ATP synthase		75	"227,000,007,629,395"
YALI1_E07153g	Q6C6V4	YALI0E05951g1_1	2.976039806	0.831364779	5.923240988	4.558933156	4.464404337	2.683292394	5.461115367	5.220653096	5.147978278	2.989608779	7.563484695	"uniprot|Q6C6V4 Yarrowia lipolytica YALI0E05951g AAL3 Acyl/aryl-CoA ligase, putative"		42	66
YALI1_F29876g	Q6C0Q2	YALI0F22671g1_1	3.739392637	9.095681212	4.968017747	8.25466928	6.915543187	5.679081878	6.435086774	7.190706611	8.256121252	8.168773112	13.69488488	similar to uniprot|O94513 Schizosaccharomyces pombe Eukaryotic translation initiation factor 3 subunit 6 (eIF- 3 p48)		40	"482,000,007,629,395"
YALI1_F21583g	Q6C1H8	YALI0F16115g1_1	3.03744861	1.958404806	3.604385098	1.989879313	5.01734939	3.122161782	3.627339099	3.46762114	2.246985233	4.059426764	4.819762239	similar to uniprot|P06103 Saccharomyces cerevisiae YOR361c PRT1 translation initiation factor eIF3 subunit		29	"82,5"
YALI1_C28513g	Q6CBA9	YALI0C20449g1_1	26.2676469	20.53848918	11.21802495	18.63944347	15.61563182	12.82364223	14.53073794	21.34492104	10.20999676	15.21024817	9.940421746	"similar to uniprot|P42940 Saccharomyces cerevisiae YGR207c ETF-BETA electron-transferring flavoprotein, beta chain"		62	"276,000,003,814,697"
YALI1_F13339g	Q6C292	YALI0F09746g1_1	0.904666073	1.132927577	1.446960737	1.076709376	0.805685024	0.815675781	1.080357576	1.207215168	1.386082807	1.371418324	1.93486726	similar to uniprot|P24583 Saccharomyces cerevisiae YBL105c PKC1 ser/thr protein kinase	2.7.11.13	14	"139,699,996,948,242"
YALI1_C00464g	P18120		8.266756935	16.58118381	7.621546744	5.415679645	6.623991341	9.593536439	5.082695229	3.904678944	3.410359039	4.78685529	6.753540783	No description in CLIB122		43	"417,999,992,370,605"
YALI1_E02377g	Q6C7C8	YALI0E01870g1_1	1.377784189	1.725420848	5.086163082	3.78470496	6.2709934	4.974066598	2.635281028	9.504101266	9.069268081	7.720936899	5.608295828	similar to uniprot|P46680 Saccharomyces cerevisiae YMR092c AIP1 actin cytoskeleton component		44	"620,999,984,741,211"
YALI1_F13170g	Q6C297	YALI0F09603g1_1	8.552862705	7.946559665	5.85023421	5.603111936	2.617758474	5.721297981	8.857643545	7.244159549	6.327072047	6.374423715	5.183960245	similar to uniprot|P32771 Saccharomyces cerevisiae YDL168w SFA1 long-chain alcohol dehydrogenase	1.1.1.284	33	"402,999,992,370,606"
YALI1_B09367g	Q6CFG0	YALI0B07359g1_1	13.67905738	17.13049908	16.2322386	12.0786992	10.96076229	10.69579118	8.410369414	8.040046432	8.515832811	15.38479164	8.290988888	uniprot|Q6CFG0 Yarrowia lipolytica YALI0B07359g NIT3 Nitrilase		57	"30,5"
YALI1_D28825g	Q6C855	YALI0D22572g1_1	1.240385198	1.553353927	1.647929563	2.738137067	1.591870312	1.611610022	1.481275341	3.135572132	3.461692515	3.219827936	1.968218233	similar to uniprot|O14164 Schizosaccharomyces pombe Probable eukaryotic translation initiation factor 3 93 kDa subunit (eIF3 p93)		31	"92,5"
YALI1_B04138g	Q6CFX7	YALI0B02728g1_1	5.07567789	6.356351393	7.494946259	13.9426359	17.57354915	12.34632303	30.20136905	9.280754337	17.94880618	14.64409516	6.641358628	uniprot|Q6CFX7 Yarrowia lipolytica YALI0B02728g GPM1 Tetrameric phosphoglycerate mutase	5.4.2.11	67	"292,999,992,370,605"
YALI1_B01628g	Q6CG46	YALI0B00946g1_1	3.87406816	8.416695121	1.547513923	3.420828108	4.971853986	8.327574404	8.986007835	5.169679714	8.339066759	4.842784067	3.164926405	"highly similar to uniprot|Q12499 Saccharomyces cerevisiae YOR310C NOP58 Protein involved in pre-rRNA processing, 18S rRNA synthesis, and snoRNA synthesis"		44	"570,999,984,741,211"
YALI1_D21120g	Q6C8T3	YALI0D17160g1_1	2.219216835	1.735190104	2.94836881	6.096078786	3.453859313	3.370363942	5.147534593	4.267467665	6.883733561	3.997621818	4.532425889	similar to uniprot|P40053 Saccharomyces cerevisiae YER080w		37	"661,999,969,482,422"
YALI1_E02481g	Q6C7C1	YALI0E02024g1_1	3.573918219	3.766501381	1.427617681	3.688775988	1.240762207	1.210767383	1.154560423	0	0	0	0	hypothetical protein conserved in the Yarrowia clade		18	"105,099,998,474,121"
YALI1_D20329g	Q6C8W2	YALI0D16423g1_1	9.384836946	18.8237912	11.13650658	10.66608459	7.51988708	4.35647953	5.770130457	4.432787308	2.231676153	8.703789568	9.868187377	some similarities with uniprot|Q03362 Saccharomyces cerevisiae YDR476c hypothetical protein		35	"380,999,984,741,211"
YALI1_A20370g	Q6CGH1	YALI0A19426g1_1	20.71020332	13.35297051	14.16596339	18.28724812	10.996714	13.85375266	12.7333672	14.76184173	15.32059534	19.20728646	12.55262412	similar to uniprot|P34227 Saccharomyces cerevisiae YBL064C PRX1 Mitochondrial peroxiredoxin with thioredoxin peroxidase activity		48	"246,000,003,814,697"
YALI1_A09593g	Q6CHE2	YALI0A09812g1_1	6.35003959	4.094208543	11.37115814	5.607127449	10.48918726	5.725398193	5.626126004	5.378398031	6.331606392	5.889224145	3.848811085	similar to uniprot|Q04371 Saccharomyces cerevisiae YMR027w HRT2 high level expression reduced Ty3 transposition		41	"520,999,984,741,211"
YALI1_E17466g	Q6C5W9	YALI0E14465g1_1	16.09051947	10.37441442	4.768603094	2.351402114	20.65005314	18.67297975	19.21539354	11.46901835	20.65008476	14.92284803	9.752595843	similar to uniprot|P25443 Saccharomyces cerevisiae YGL123w SUP44 40S small subunit ribosomal protein		61	"277,999,992,370,605"
YALI1_D20473g	Q6C8V7	YALI0D16643g1_1	5.646098116	3.640340003	6.699936204	3.698845735	5.375926627	4.41474034	8.678445418	3.318568652	5.629708352	4.208020515	4.612589215	"similar to uniprot|P15625 Saccharomyces cerevisiae YFL022c FRS2 phenylalanine--tRNA ligase beta chain, cytosolic"		36	"552,999,992,370,606"
YALI1_F32043g	Q6C0H3	YALI0F24695g1_1	8.078889611	19.65105341	18.62062431	10.27992129	10.36818607	7.284184504	16.2509476	11.18479874	11.60815693	17.64848536	20.53217091	"highly similar to uniprot|P29453 Saccharomyces cerevisiae YLL045C (ohnolog of YHL033C) RPL4B 60s large subunit ribosomal protein L7a.e.B, alternative splicing generates different translational starts"		39	"291,000,003,814,697"
YALI1_D10961g	Q6C9T4	YALI0D08536g1_1	1.197366751	3.748656561	3.434171515	2.643174305	4.301032665	2.096895441	3.166240724	0.853460403	2.643639232	0.432888256	1.899957429	"some similarities with uniprot|P40485 Saccharomyces cerevisiae YIL105C (ohnolog of YNL047C) SLM1 phosphoinositide PI4,5P(2) binding protein, forms a complex with Slm2p"		25	"925,999,984,741,211"
YALI1_C32921g	Q6CAW1	YALI0C23903g1_1	1.149415028	0.741089053	0.545587615	1.971338407	1.09441436	1.333891276	1.190374376	0.312943935	1.651537609	0.342666528	1.823868602	weakly similar to uniprot|P34216 Saccharomyces cerevisiae YBL047c		21	139
YALI1_B18707g	Q6CEP2	YALI0B14146g1_1	15.10964487	23.5461727	10.82300624	7.690556333	6.233307146	6.608497082	5.800248988	11.62224813	10.15090857	13.20308464	9.590391095	highly similar to uniprot|P05317 Saccharomyces cerevisiae YLR340w RPLA0 acidic ribosomal protein L10.e singleton		45	"337,999,992,370,605"
YALI1_D14104g	Q6C9H3	YALI0D11220g1_1	4.946955858	4.813240723	4.56085205	3.393811621	2.539536907	3.465397051	2.865737688	2.259051456	1.973062744	2.864528618	5.029057682	"similar to uniprot|P47079 Saccharomyces cerevisiae YJL008C CCT8 Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo"		27	"665,999,984,741,211"
YALI1_E21097g	Q6C5I6	YALI0E17765g1_1	7.15149969	14.34423823	6.593333952	4.685057466	3.797306842	4.025871114	5.332241634	8.164316401	4.452132483	5.329991933	13.48447753	similar to uniprot|Q9C1M3 Emericella nidulans cdc11p Septin		45	"479,000,015,258,789"
YALI1_B25603g	Q6CE11	YALI0B19580g1_1	1.600206168	2.003963397	2.1259743	2.0361701	5.134068554	4.956799192	4.231483739	3.548288801	1.282216002	2.316464693	3.268187115	similar to uniprot|Q08225 Saccharomyces cerevisiae YOL057W Probable dipeptidyl-peptidase III	3.4.14.4	34	"785,999,984,741,211"
 cytochrome c oxidase subunit 2 (mitochondrion)			28.80132131	22.51955146	32.20135584	20.43733123	9.548264896	8.347469439	11.05617215	10.56934994	7.418409904	16.67736917	10.89923592	No description in CLIB122		19	"27,5"
YALI1_C30130g	Q6CB54	YALI0C21824g1_1	19.82535449	33.46424282	18.27801	17.50592068	14.18880192	17.87517183	19.92415243	34.77819688	30.37538804	11.47984678	11.23940185	similar to uniprot|P20606 Saccharomyces cerevisiae YPL218w SAR1 GTP-binding protein of the ARF family		69	"212,999,992,370,605"
YALI1_E25317g	Q6C540	YALI0E21219g1_1	65.66830167	82.23744884	47.03806375	33.42406639	40.88142964	23.68374811	38.04119793	29.98774939	26.19139592	57.38216565	53.64782791	similar to uniprot|P53221 Saccharomyces cerevisiae YGR034W RPL26B (ohnolog of YLR344W) Protein component of the large (60S) ribosomal subunit		55	"141,000,003,814,697"
YALI1_C29141g	Q6CB88	YALI0C21087g1_1	6.657290746	5.785451381	8.272783715	5.878432276	7.189990371	6.002425634	6.690466777	8.883700416	10.19995833	10.09204478	7.330609401	similar to uniprot|P25342 Saccharomyces cerevisiae YCR002c CDC10 cell division control protein		32	"407,999,992,370,606"
YALI1_E27441g	Q6C4W0	YALI0E23287g1_1	2.082089671	2.6074337	1.919585138	1.147881096	0.858941725	1.508608221	0.49902843	4.616814762	5.810738665	8.304986217	5.291546613	similar to uniprot|P49374 Kluyveromyces lactis High- affinity glucose transporter		18	"670,999,984,741,211"
YALI1_C12333g	Q6CCI8	YALI0C08987g1_1	0.721510166	1.754997963	4.019366046	7.477112627	3.493286439	2.454213571	14.0456922	3.692547721	2.714067006	1.299703903	3.561606774	uniprot|Q6CCI8 Yarrowia lipolytica YALI0C08987g STI1 Hsp90 cochaperone		35	"629,000,015,258,789"
YALI1_C13355g	Q6CCG2	YALI0C09636g1_1	13.52386579	12.56517381	9.250444564	11.94166399	8.935763035	7.613136127	5.19150447	9.639556086	11.69407322	5.809915098	8.196925994	"similar to uniprot|P25605 Saccharomyces cerevisiae YCL009C ILV6 Regulatory subunit of acetolactate synthase, which catalyzes the first step of branched-chain amino acid biosynthesis"		44	"317,000,007,629,395"
