genes	logFC	logCPM	PValue	FDR	Portein_names	gene_names	Funcition
YMR323W	1.922806566	3.338411918	7.75179E-05	0.000268149	Enolase-related protein 3 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	SPO74 YGL170C G1654	FUNCTION: Involved in the pathway that organizes the shaping and sizing of the prospore membrane (PSM) during sporulation. Probable component of a core structural unit of the scaffold that initiates synthesis of the prospore membrane. {ECO:0000269|PubMed:12796288}.
YKR002W	0.523068599	7.327606848	7.76217E-05	0.000268354	Poly(A) polymerase (PAP) (EC 2.7.7.19) (Polynucleotide adenylyltransferase)	IRC15 YPL017C	
YPL003W	0.58226889	5.300811651	7.77351E-05	0.000268592	NEDD8-activating enzyme E1 regulatory subunit (E1 N-terminus-related protein 2) (Ubiquitin-activating enzyme E1-like 1) (Ubiquitin-like activation protein 1)	SFK1 YKL051W YKL303	FUNCTION: May control the production of phosphatidylinositol 4-phosphate (PI4P) by the STT4 PI 4-kinase. Mediates proper localization of STT4 to the plasma membrane. {ECO:0000269|PubMed:12015967}.
YDR420W	-0.729782862	7.187532129	7.89758E-05	0.000272722	Signaling mucin HKR1 (Hansenula MRAKII killer toxin-resistant protein 1)	PLB2 YMR006C YM8270.08C	FUNCTION: Sequentially removes both fatty acyl groups from diacylglycerophospholipids and therefore has both phospholipase A and lysophospholipase activities. Substrate preference is phosphatidylserine > phosphatidylinositol > phosphatidylcholine > phosphatidylethanolamine. {ECO:0000269|PubMed:10497163}.
YMR031C	0.844502338	8.44014978	7.91295E-05	0.000273097	Eisosome protein 1	SSN2 MED13 NUT8 RYE3 SCA1 SRB9 UME2 YDR443C	"FUNCTION: Component of the SRB8-11 complex. The SRB8-11 complex is a regulatory module of the Mediator complex which is itself involved in regulation of basal and activated RNA polymerase II-dependent transcription. The SRB8-11 complex may be involved in the transcriptional repression of a subset of genes regulated by Mediator. It may inhibit the association of the Mediator complex with RNA polymerase II to form the holoenzyme complex. The SRB8-11 complex phosphorylates the C-terminal domain (CTD) of the largest subunit of RNA polymerase II RPB1 at serines 2 and 5. {ECO:0000269|PubMed:12200444, ECO:0000269|PubMed:15225552, ECO:0000269|PubMed:15601835, ECO:0000269|PubMed:16076843, ECO:0000269|PubMed:16109375, ECO:0000269|PubMed:16630888}."
YLL042C	-0.743640748	3.620266447	8.00064E-05	0.000275965	Ubiquitin-like-conjugating enzyme ATG10 (EC 6.3.2.-) (Autophagy-related protein 10)	LHS1 YKL073W YKL355	FUNCTION: Chaperone required for protein translocation and folding in the endoplasmic reticulum. {ECO:0000269|PubMed:14704430}.
YMR134W	-0.737724272	6.245556228	8.01921E-05	0.000276447	Uncharacterized protein YMR134W	SVF1 SGI1 YDR346C	"FUNCTION: Required for survival in response to oxidative stress. Involved in the diauxic shift. {ECO:0000269|PubMed:12244097, ECO:0000269|PubMed:16034825}."
YHR031C	-0.710372489	6.19460074	8.14301E-05	0.000280554	ATP-dependent DNA helicase RRM3 (EC 3.6.4.12) (Regulation of Ty1 transposition protein 104) (rDNA recombination mutation protein 3)	UBC13 YDR092W YD6652.04	FUNCTION: Has a role in the DNA error-free postreplication repair (PRR) pathway. The UBC13/MMS2 heterodimer catalyzes the synthesis of non-canonical poly-ubiquitin chains that are linked through 'Lys-63'.
YBR203W	0.887577665	6.326131155	8.21615E-05	0.00028286	F-box protein COS111 (Ciclopirox olamine sensitivity protein 111)	RBD2 YPL246C	FUNCTION: Probable serine protease. {ECO:0000250}.
YOL013C	0.637855954	6.82359486	8.21933E-05	0.00028286	ERAD-associated E3 ubiquitin-protein ligase HRD1 (EC 2.3.2.27) (HMG-CoA reductase degradation protein 1) (RING-type E3 ubiquitin transferase HRD1)	YML082W	"FUNCTION: Catalyzes the formation of L-cystathionine from O-succinyl-L-homoserine (OSHS) and L-cysteine, via a gamma-replacement reaction. In the absence of thiol, catalyzes gamma-elimination to form 2-oxobutanoate, succinate and ammonia (By similarity). {ECO:0000250}."
YOR284W	-0.604487392	4.843802869	8.22606E-05	0.000282929	Protein HUA2	CHC1 YGL206C	"FUNCTION: Clathrin is the major protein of the polyhedral coat of coated pits and vesicles. In yeast, it is involved in the retention of proteins in an intracellular membrane compartment, presumably the trans-Golgi. {ECO:0000269|PubMed:12686590}."
YCR063W	-0.768967179	3.184167305	8.24342E-05	0.000283365	Pre-mRNA-splicing factor BUD31 (Bud site selection protein 31) (Complexed with CEF1 protein 14)	YSF3 RCP10 YNL138W-A	FUNCTION: Involved in pre-mRNA splicing. Required for the SF3b integrity and prespliceosome assembly. {ECO:0000269|PubMed:16314500}.
YDR242W	-0.669533352	5.189747195	8.29141E-05	0.00028472	Probable amidase (EC 3.5.1.4)	MNS1 YJR131W J2110	"FUNCTION: Involved in glycoprotein quality control as it is important for the targeting of misfolded glycoproteins for degradation. It primarily trims a single alpha-1,2-linked mannose residue from Man(9)GlcNAc(2) to produce Man(8)GlcNAc(2), but at high enzyme concentrations it further trims the carbohydrates to Man(5)GlcNAc(2). {ECO:0000269|PubMed:12090241}."
YDL033C	-0.722679499	5.059155457	8.2923E-05	0.00028472	Mitochondrial tRNA-specific 2-thiouridylase 1 (EC 2.8.1.14) (Mitochondrial translation optimization protein 2) (Synthetic lethal with MSS4 3)	CTF4 CHL15 POB1 YPR135W P9659.7	FUNCTION: Accessory factor for DNA replication. It plays a role in accurately duplicating the genome in vivo.
YER022W	-0.522824605	6.614549739	8.30376E-05	0.00028495	Mediator of RNA polymerase II transcription subunit 17 (Mediator complex subunit 17) (Suppressor of RNA polymerase B 4)	CCR4 YAL021C FUN27	"FUNCTION: Acts as catalytic component of the CCR4-NOT core complex, which in the nucleus seems to be a general transcription factor, and in the cytoplasm the major mRNA deadenylase involved in mRNA turnover. CCR4 has 3'-5' RNase activity with a strong preference for polyadenylated substrates and also low exonuclease activity towards single-stranded DNA. Discovered because of its role in the control of ADH2 gene expression. It is required for the expression of genes involved in non-fermentative growth and it mediates or is required for the action of the SPT6 and SPT10 genes. {ECO:0000269|PubMed:11239395, ECO:0000269|PubMed:11889047, ECO:0000269|PubMed:11889048, ECO:0000269|PubMed:9463387}."
YKL033W	-0.71539244	5.927855535	8.38705E-05	0.000287645	TEL2-interacting protein 1	OPI3 PEM2 YJR073C J1824	"FUNCTION: Catalyzes the second two steps of the methylation pathway of phosphatidylcholine biosynthesis, the SAM-dependent methylation of phosphatidylmonomethylethanolamine (PMME) to phosphatidyldimethylethanolamine (PDME) and of PDME to phosphatidylcholine (PC). Can also catalyze the first methylation reaction of PE to PMME in the absence of PE methyltransferase CHO2. {ECO:0000255|HAMAP-Rule:MF_03216, ECO:0000269|PubMed:2198947, ECO:0000269|PubMed:22001639, ECO:0000269|PubMed:2445736, ECO:0000269|PubMed:2670666, ECO:0000269|PubMed:2684666, ECO:0000269|PubMed:6337128, ECO:0000269|PubMed:6759124, ECO:0000269|PubMed:7047296}."
YPL022W	-0.499751745	7.242767221	8.45365E-05	0.000289764	DNA repair protein RAD1	OXP1 YKL215C	"FUNCTION: Catalyzes the cleavage of 5-oxo-L-proline to form L-glutamate coupled to the hydrolysis of ATP to ADP and inorganic phosphate. {ECO:0000269|PubMed:20349993, ECO:0000269|PubMed:20402795}."
YBR219C	-0.951601042	2.597538409	8.50324E-05	0.000291298	Uncharacterized protein YBR219C	PMI40 YER003C	FUNCTION: Involved in the synthesis of the GDP-mannose and dolichol-phosphate-mannose required for a number of critical mannosyl transfer reactions.
YDL047W	0.545715071	7.7016626	8.54241E-05	0.000292473	Serine/threonine-protein phosphatase PP1-1 (EC 3.1.3.16)	MNN11 YJL183W J0425	"FUNCTION: Required for synthesis of full-length mannan chains. {ECO:0000269|PubMed:10037752}.; FUNCTION: The M-Pol II complex possesses alpha-1,6-mannosyltransferase activity and is probably involved in the elongation of the mannan backbone of N-linked glycans on cell wall and periplasmic proteins. {ECO:0000269|PubMed:10037752}."
YER155C	-0.536518531	7.865633276	8.56384E-05	0.00029304	GTPase-activating protein BEM2/IPL2 (Bud emergence protein 2)	SFI1 YLL003W L1373	"FUNCTION: Component of the spindle pole body (SPB) half-bridge involved in the initial steps of SPB duplication. {ECO:0000269|PubMed:10455233, ECO:0000269|PubMed:14504268, ECO:0000269|PubMed:16785321}."
YKL167C	-0.528571671	6.642889278	8.5794E-05	0.000293406	"54S ribosomal protein MRP49, mitochondrial (Mitochondrial large ribosomal subunit protein mL61)"	YJL120W J0734	
YAR050W	-1.105051528	2.601714337	8.62863E-05	0.000294922	Flocculation protein FLO1 (Flocculin-1)	MSC6 YOR354C	FUNCTION: May be involved in the control of meiotic sister-chromatid recombination. {ECO:0000269|PubMed:10511544}.
YGL107C	-0.870815911	7.323972248	8.6954E-05	0.000297035	"Protein RMD9, mitochondrial (Required for meiotic nuclear division protein 9)"	YHL006W-A	
YLR023C	0.583714075	6.959429073	8.84773E-05	0.000302067	ADIPOR-like receptor IZH3 (Implicated in zinc homeostasis protein 3)	OMS1 YDR316W	"FUNCTION: Mitochondrial methyltransferase which suppresses respiratory defects caused by OXA1 mutations when overexpressed. {ECO:0000269|PubMed:12872006, ECO:0000269|PubMed:15355998}."
YDL215C	-0.49369506	6.923377903	9.05808E-05	0.000309074	NAD-specific glutamate dehydrogenase (NAD-GDH) (EC 1.4.1.2)	SCC2 YDR180W YD9395.14	"FUNCTION: Plays a structural role in chromatin and is involved in sister chromatid cohesion (PubMed:9990856, PubMed:14614819, PubMed:25173104, PubMed:26354421). Forms a complex with SCC4 required for the stable association of the cohesin complex with chromatin, which may act by hydrolyzing ATP from SMC1 and SMC3 heads (PubMed:10882066, PubMed:14614819). Binds to the nucleosome-free promoter regions of ribosomal protein genes and tRNA genes. Involved in transcriptional regulation by cooperating with the RSC complex to maintain nucleosome exhaustion at its binding sites (PubMed:25173104). {ECO:0000269|PubMed:10882066, ECO:0000269|PubMed:14614819, ECO:0000269|PubMed:25173104, ECO:0000269|PubMed:26354421, ECO:0000269|PubMed:9990856}."
YGL237C	0.647509311	6.513134001	9.12691E-05	0.000311246	Transcriptional activator HAP2	PET127 YOR017W OR26.07	FUNCTION: Could be a component of the mitochondrial translation system with a role in promoting accuracy of translational initiation.
YMR009W	0.943508883	7.811869058	9.13481E-05	0.000311339	"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54) (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD) (Fe-ARD)"	COX15 YER141W	"FUNCTION: Required for the assembly of yeast cytochrome oxidase. Involved in the biosynthesis of heme A and the initial step in this pathway, the hydroxylation of heme O, is thought to be catalyzed by a three-component mono-oxygenase consisting of COX15, ferredoxin and ferredoxin reductase. {ECO:0000269|PubMed:11248251, ECO:0000269|PubMed:9228094}."
YDL009C	1.019002139	2.351416335	9.25659E-05	0.000315311	Uncharacterized protein YDL009C	MRI1 YPR118W P9642.7	"FUNCTION: Catalyzes the interconversion of methylthioribose-1-phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1-P). {ECO:0000255|HAMAP-Rule:MF_03119, ECO:0000269|PubMed:15215245, ECO:0000269|PubMed:18625006}."
YOL070C	0.549880506	7.767646799	9.28193E-05	0.000315995	Protein NBA1 (NAP1 and bud neck-associated protein 1)	RSM19 YNR037C N3300	"FUNCTION: Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane. {ECO:0000305|PubMed:25609543, ECO:0000305|PubMed:28154081}."
YPL189W	0.686770016	4.065679449	9.41258E-05	0.00032019	Glycerol uptake protein 2	PRS2 PRPS2 PRS YER099C	"FUNCTION: 5-phosphoribose 1-diphosphate synthase involved in nucleotide, histidine, and tryptophan biosynthesis. Active in heteromultimeric complexes with other 5-phosphoribose 1-diphosphate synthases (PRS2, PRS3, PRS4 and PRS5). {ECO:0000269|PubMed:10212224, ECO:0000269|PubMed:15280369}."
YJL140W	0.610752659	8.302784035	9.41578E-05	0.00032019	DNA-directed RNA polymerase II subunit RPB4 (RNA polymerase II subunit B4) (B32) (DNA-directed RNA polymerase II 32 kDa polypeptide)	SAM37 MAS37 PET3027 TOM37 YMR060C YM9796.13C	"FUNCTION: Component of the mitochondrial outer membrane sorting assembly machinery (SAM or TOB) complex, which is required for the sorting of proteins with complicated topology, such as beta-barrel proteins, to the mitochondrial outer membrane after import by the TOM complex. {ECO:0000269|PubMed:12891361}."
YER007W	-0.989298308	4.806363996	9.44435E-05	0.00032098	Protein PAC2	NUP133 RAT3 YKR082W YKR402	"FUNCTION: Functions as a component of the nuclear pore complex (NPC). NPC components, collectively referred to as nucleoporins (NUPs), can play the role of both NPC structural components and of docking or interaction partners for transiently associated nuclear transport factors. NUP133 is involved in nuclear poly(A)+ RNA, tRNA and pre-ribosome export, in GSP1 nuclear import, in NPC assembly and distribution, as well as in nuclear envelope organization. {ECO:0000269|PubMed:11071906, ECO:0000269|PubMed:11823431, ECO:0000269|PubMed:12730220, ECO:0000269|PubMed:7813444, ECO:0000269|PubMed:7862658, ECO:0000269|PubMed:8524308, ECO:0000269|PubMed:9049242}."
YIR009W	0.679315821	5.443096255	9.46018E-05	0.000321336	U2 small nuclear ribonucleoprotein B'' (U2 snRNP B'')	MAS2 MIF2 YHR024C	"FUNCTION: Cleaves presequences (transit peptides) from mitochondrial protein precursors. The cleavage sites typically contain an arginine at position -2 (in the N-terminal portion) from the scissible peptide bond in addition to other distal basic residues, and an aromatic residue at position +1."
YOL048C	0.686500335	6.093819319	9.48087E-05	0.000321858	Outer spore wall protein RRT8 (Regulator of rDNA transcription protein 8)	SPE2 YOL052C O1275	"FUNCTION: S-adenosylmethionine decarboxylase is essential for normal growth, sporulation, maintenance of ds-RNA virus, biosynthesis of spermine and spermidine."
YDR306C	0.699470011	6.564803447	9.49118E-05	0.000322026	F-box protein YDR306C	EMG1 NEP1 YLR186W L9470.5	"FUNCTION: S-adenosyl-L-methionine-dependent pseudouridine N(1)-methyltransferase that methylates pseudouridine at position 1189 (Psi1189) in 18S rRNA. Involved the biosynthesis of the hypermodified N1-methyl-N3-(3-amino-3-carboxypropyl) pseudouridine (m1acp3-Psi) conserved in eukaryotic 18S rRNA. N1-methylation is independent on acp-modification at the N3-position of U1191. Has also an essential role in 40S ribosomal subunit biogenesis independent on its methyltransferase activity, facilitating the incorporation of ribosomal protein S19 (RPS19A/RPS19B) during the formation of pre-ribosomes. {ECO:0000269|PubMed:11694595, ECO:0000269|PubMed:11935223, ECO:0000269|PubMed:15590835, ECO:0000269|PubMed:20972225, ECO:0000269|PubMed:21087996}."
YKR091W	1.930692338	5.888774411	9.53056E-05	0.00032318	Protein SRL3 (RAD53 lethality suppressor protein 3)	YPL199C	
YDR179C	0.698021481	5.529048425	9.64605E-05	0.000326912	COP9 signalosome complex subunit 9	YOR161C-C	
YPL196W	0.959301314	6.282865237	9.7182E-05	0.000329172	Oxidation resistance protein 1	MRX3 YBL095W YBL0835	"FUNCTION: Component of MIOREX complexes, large expressome-like assemblies of ribosomes with factors involved in all the steps of post-transcriptional gene expression. {ECO:0000269|PubMed:25683707}."
YGL092W	-0.712487282	7.673942398	9.85221E-05	0.000333523	Nucleoporin NUP145 (EC 3.4.21.-) (Nuclear pore protein NUP145) [Cleaved into: Nucleoporin NUP145N (N-NUP145); Nucleoporin NUP145C (C-NUP145)]	TOM5 MOM8A YPR133W-A	FUNCTION: Component of the TOM (translocase of outer membrane) receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. TOM5 is involved in insertion of preproteins into the TOM40 translocation pore. {ECO:0000269|PubMed:9217162}.
YMR226C	0.749830876	8.651762091	9.91519E-05	0.000335467	NADP-dependent 3-hydroxy acid dehydrogenase (L-allo-threonine dehydrogenase) (EC 1.1.1.381)	YOL118C O0573	
YML075C	-0.693224117	8.159184082	9.94265E-05	0.000336207	3-hydroxy-3-methylglutaryl-coenzyme A reductase 1 (HMG-CoA reductase 1) (EC 1.1.1.34)	RAD30 DBH1 YDR419W	"FUNCTION: DNA polymerase specifically involved in DNA repair. Plays an important role in translesion synthesis, where the normal high fidelity DNA polymerases cannot proceed and DNA synthesis stalls. Plays an important role in the repair of UV-induced pyrimidine dimers. Depending on the context, it inserts the correct base, but causes frequent base transitions and transversions. Efficiently incorporates nucleotides opposite to other UV or oxidative DNA damages like O(6)-methylguanine, 7,8-dihydro-8-oxoguanine, 2,6-diamino-4-hydroxy-5-formamidopyrimidine of 2'-deoxyguanosine (FaPydG), or p-benzoquinone DNA adducts. {ECO:0000269|PubMed:10347143, ECO:0000269|PubMed:10601233, ECO:0000269|PubMed:10713149, ECO:0000269|PubMed:10725365, ECO:0000269|PubMed:10924462, ECO:0000269|PubMed:10932195, ECO:0000269|PubMed:11027270, ECO:0000269|PubMed:11054429, ECO:0000269|PubMed:11062246, ECO:0000269|PubMed:11113193, ECO:0000269|PubMed:11238937, ECO:0000269|PubMed:11545742, ECO:0000269|PubMed:11861920, ECO:0000269|PubMed:12110599, ECO:0000269|PubMed:12665597, ECO:0000269|PubMed:12692307, ECO:0000269|PubMed:12888515, ECO:0000269|PubMed:12899630, ECO:0000269|PubMed:14527996, ECO:0000269|PubMed:15024063, ECO:0000269|PubMed:15157108, ECO:0000269|PubMed:15284331, ECO:0000269|PubMed:15333698, ECO:0000269|PubMed:15520252, ECO:0000269|PubMed:15544332, ECO:0000269|PubMed:15743815, ECO:0000269|PubMed:15779911, ECO:0000269|PubMed:16181813, ECO:0000269|PubMed:16366567, ECO:0000269|PubMed:16387871, ECO:0000269|PubMed:16415180, ECO:0000269|PubMed:16866379, ECO:0000269|PubMed:9409821, ECO:0000269|PubMed:9974380}."
YOR348C	-1.817625948	5.345175782	9.96725E-05	0.000336849	Proline-specific permease	SWD3 CPS30 SAF35 YBR175W YBR1237	"FUNCTION: The COMPASS (Set1C) complex specifically mono-, di- and trimethylates histone H3 to form H3K4me1/2/3, which subsequently plays a role in telomere length maintenance and transcription elongation regulation. {ECO:0000269|PubMed:11742990, ECO:0000269|PubMed:11805083}."
YKR068C	0.536630838	7.41462745	0.000101435	0.000342615	Trafficking protein particle complex subunit BET3 (TRAPP subunit BET3) (Transport protein particle 22 kDa subunit)	DRN1 YGR093W	"FUNCTION: Involved in branched RNA metabolism, modulating the turnover of lariat-intron pre-mRNAs by the lariat-debranching enzyme DBR1. Enhances the debranching activity of DBR1 in vitro. {ECO:0000269|PubMed:24919400}."
YFL020C	1.658499589	2.780629499	0.000101963	0.000344205	Seripauperin-5	TIM23 MAS6 MIM23 MPI3 YNR017W N3180	"FUNCTION: Essential component of the TIM23 complex, a complex that mediates the translocation of transit peptide-containing proteins across the mitochondrial inner membrane."
YGR157W	-0.870818732	8.441352988	0.000102779	0.000346764	Phosphatidylethanolamine N-methyltransferase (PE methyltransferase) (PEAMT) (PEMT) (EC 2.1.1.17) (Choline-requiring protein 2)	ERG5 CYP61 YMR015C YM9711.02C	"FUNCTION: Required to form the C-22(23) double bond in the sterol side chain. {ECO:0000269|PubMed:8543054, ECO:0000269|PubMed:8635732}."
YLR348C	-1.045743209	7.627904318	0.000103039	0.000347344	Mitochondrial dicarboxylate transporter (DTP) (Dicarboxylate carrier 1)	AIM11 GEP8 YER093C-A	
YJR038C	1.435734078	1.606109972	0.000103066	0.000347344	Putative uncharacterized protein YJR038C	CAC2 YML102W	"FUNCTION: Acts as a component of chromatin assembly factor 1 (CAF-1), which assembles histone octamers onto replicating DNA in vitro. It performs the first step of the nucleosome assembly process, bringing newly synthesized histones H3 and H4 to replicating DNA; histones H2A/H2B can bind to this chromatin precursor subsequent to DNA replication to complete the histone octamer. p50 and p60 form complexes with newly synthesized histones H3 and acetylated H4 in cell extracts (By similarity). {ECO:0000250}."
YDR379C-A	1.457995839	5.308871736	0.000103128	0.000347358	"Succinate dehydrogenase assembly factor 1, mitochondrial (SDH assembly factor 1) (SDHAF1)"	GTF1 YGR102C	"FUNCTION: Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln). Required for proper protein synthesis within the mitochondrion. {ECO:0000255|HAMAP-Rule:MF_03151, ECO:0000269|PubMed:19417106, ECO:0000269|PubMed:21799017}."
YDL029W	0.601714991	8.023069165	0.000103194	0.000347386	Actin-related protein 2 (Actin-like protein ARP2) (Actin-like protein 2)	NSP1 YJL041W J1207	"FUNCTION: Functions as a component of the nuclear pore complex (NPC). NPC components, collectively referred to as nucleoporins (NUPs), can play the role of both NPC structural components and of docking or interaction partners for transiently associated nuclear transport factors. Active directional transport is assured by both, a Phe-Gly (FG) repeat affinity gradient for these transport factors across the NPC and a transport cofactor concentration gradient across the nuclear envelope (GSP1 and GSP2 GTPases associated predominantly with GTP in the nucleus, with GDP in the cytoplasm). NSP1 plays an important role in several nuclear transport pathways including poly(A)+ RNA, tRNA, pre-ribosome, signal recognition particle (SRP), and protein transport. {ECO:0000269|PubMed:10889207, ECO:0000269|PubMed:10952996, ECO:0000269|PubMed:11352936, ECO:0000269|PubMed:11387327, ECO:0000269|PubMed:11689687, ECO:0000269|PubMed:11739405, ECO:0000269|PubMed:12604785, ECO:0000269|PubMed:15039779, ECO:0000269|PubMed:9017593, ECO:0000269|PubMed:9461539, ECO:0000269|PubMed:9774653, ECO:0000269|PubMed:9843582, ECO:0000269|PubMed:9891088}."
YDR006C	0.579315926	7.747389031	0.000104113	0.000350283	Protein SOK1	TDA9 YML081W	FUNCTION: DNA-binding protein that acts probably as a transcription factor.
YCR048W	-0.655774861	5.219661532	0.000106739	0.000358917	Sterol O-acyltransferase 1 (EC 2.3.1.26) (Sterol-ester synthase 1)	MCR1 YKL150W YKL605	"FUNCTION: The outer membrane form may mediate the reduction of outer membrane cytochrome b5, and the soluble inter-membrane space form may transfer electrons from external NADH to cytochrome c, thereby mediating an antimycin-insensitive, energy-coupled oxidation of external NADH by yeast mitochondria. Involved in the reduction of D-erythroascorbyl free radicals. {ECO:0000269|PubMed:11420140}."
YBR185C	-0.493825507	6.443470449	0.000108498	0.000364628	"Inner membrane mitoribosome receptor MBA1, mitochondrial (Multi-copy bypass of AFG3 protein)"	QCR6 UCR6 YFR033C	"FUNCTION: Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain that generates an electrochemical potential coupled to ATP synthesis. The complex couples electron transfer from ubiquinol to cytochrome c. QCR6 may mediate formation of the complex between cytochromes c and c1."
YBR295W	-0.58545636	5.047672064	0.000110165	0.000370024	P-type cation-transporting ATPase (EC 3.6.3.3) (Cadmium resistance protein 2) (Cadmium-translocating P-type ATPase) (Cd(2+)-exporting ATPase)	GPI13 MPC1 YLL031C	"FUNCTION: Involved in glycosylphosphatidylinositol-anchor biosynthesis. Transfers ethanolamine phosphate to the GPI third mannose which links the GPI-anchor to the C-terminus of the proteins by an amide bond. Involved in cell wall biosynthesis. {ECO:0000269|PubMed:10487931, ECO:0000269|PubMed:10793139, ECO:0000269|PubMed:10823837, ECO:0000269|PubMed:12441642}."
tG(GCC)D2	-1.339409574	-0.016832154	0.000111689	0.000374935		TMA19 MMI1 YKL056C YKL312	"FUNCTION: Involved in protein synthesis. Involved in microtubule stabilization. {ECO:0000269|PubMed:16702403, ECO:0000269|PubMed:16806052}."
YNR026C	0.49376973	6.868161869	0.000112353	0.000376781	Guanine nucleotide-exchange factor SEC12 (Protein transport protein SEC12)	PDR16 SFH3 YNL231C N1158	"FUNCTION: Has phosphatidylinositol transfer activity. Involved in the regulation of the phospholipid composition of plasma- and endomembranes. Altering plasma membrane composition may provide a possible mechanism for multidrug resistance. Involved in the regulation of sterol biosynthesis. Contributes to efficient phospholipase D1 activation in the regulation of phospholipid turnover. {ECO:0000269|PubMed:10848624, ECO:0000269|PubMed:9890948}."
YPL157W	-0.649724758	5.93961089	0.000112364	0.000376781	Trimethylguanosine synthase (EC 2.1.1.-) (Cap-specific guanine-N2 methyltransferase) (snRNA/snoRNA cap hypermethylase)	SBH2 SEB2 YER019C-A YER019BC	"FUNCTION: Part of the Ssh1 complex, which probably is the major component of a channel-forming translocon complex that may function exclusively in the cotranslational pathway of protein endoplasmic reticulum (ER) import."
YGR195W	0.657722036	6.808165284	0.000112435	0.000376807	Exosome complex component SKI6 (Extracellular mutant protein 20) (Ribosomal RNA-processing protein 41) (Superkiller protein 6)	RAD34 YDR314C	FUNCTION: Involved in nucleotide excision repair (NER) of damaged ribosomal DNA (rDNA). Required for the repair of the RNA polymerase I-transcribed strand of rDNA. {ECO:0000269|PubMed:15916602}.
YER148W	0.532361112	6.891379045	0.000113399	0.000379827	TATA-box-binding protein (TATA sequence-binding protein) (TBP) (TATA-binding factor) (TATA-box factor) (Transcription factor D) (Transcription initiation factor TFIID TBP subunit)	YLR046C L2111	
YHR105W	-0.722227388	3.962135123	0.000114049	0.00038179	PX domain-containing protein YPT35	IZH2 PHO36 YOL002C UND327	"FUNCTION: Probable receptor, which is involved in metabolic pathways that regulate lipid metabolism such as fatty acid oxidation. {ECO:0000269|PubMed:11916977}."
YDL192W	-0.716973482	8.279621165	0.000114252	0.000382258	ADP-ribosylation factor 1	MCD1 PDS3 RHC21 SCC1 YDL003W YD8119.04	"FUNCTION: Cleavable component of the cohesin complex involved in chromosome cohesion during cell cycle. The cohesin complex is required for the cohesion of sister chromatids after DNA replication. The cohesin complex apparently forms a large proteinaceous ring within which sister chromatids can be trapped. At metaphase-anaphase transition, this protein is cleaved by ESP1 and dissociates from chromatin, allowing sister chromatids to segregate. {ECO:0000269|PubMed:10403247, ECO:0000269|PubMed:9335333, ECO:0000269|PubMed:9335334, ECO:0000269|PubMed:9491073}."
YMR017W	1.228818674	3.661885191	0.000115069	0.000384777	Sporulation-specific protein 20	YLR099W-A	
YBR182C-A	1.225567103	1.217771245	0.000115782	0.000386948	Uncharacterized protein YBR182C-A	IMP4 YNL075W N2353	"FUNCTION: Required for the early cleavages at sites A0, A1 and A2 during 18S ribosomal pre-RNA processing. {ECO:0000269|PubMed:10409734, ECO:0000269|PubMed:15489263}."
YEL068C	0.526480054	5.779519925	0.000116026	0.000387241	Uncharacterized protein YEL068C	TY1B-DR4 YDRCTy1-3 POL YDR261C-D	"FUNCTION: Capsid protein (CA) is the structural component of the virus-like particle (VLP), forming the shell that encapsulates the retrotransposons dimeric RNA genome. The particles are assembled from trimer-clustered units and there are holes in the capsid shells that allow for the diffusion of macromolecules. CA has also nucleocapsid-like chaperone activity, promoting primer tRNA(i)-Met annealing to the multipartite primer-binding site (PBS), dimerization of Ty1 RNA and initiation of reverse transcription (By similarity). {ECO:0000250}.; FUNCTION: The aspartyl protease (PR) mediates the proteolytic cleavages of the Gag and Gag-Pol polyproteins after assembly of the VLP. {ECO:0000250}.; FUNCTION: Reverse transcriptase/ribonuclease H (RT) is a multifunctional enzyme that catalyzes the conversion of the retro-elements RNA genome into dsDNA within the VLP. The enzyme displays a DNA polymerase activity that can copy either DNA or RNA templates, and a ribonuclease H (RNase H) activity that cleaves the RNA strand of RNA-DNA heteroduplexes during plus-strand synthesis and hydrolyzes RNA primers. The conversion leads to a linear dsDNA copy of the retrotransposon that includes long terminal repeats (LTRs) at both ends (By similarity). {ECO:0000250}.; FUNCTION: Integrase (IN) targets the VLP to the nucleus, where a subparticle preintegration complex (PIC) containing at least integrase and the newly synthesized dsDNA copy of the retrotransposon must transit the nuclear membrane. Once in the nucleus, integrase performs the integration of the dsDNA into the host genome (By similarity). {ECO:0000250}."
