Orthogroup	A_s288c	B_s288c
OG0002462	P40522 VHR1_YEAST Transcription factor VHR1 GN=VHR1 PE=1 SV=1	P40522 VHR1_YEAST Transcription factor VHR1 GN=VHR1 PE=1 SV=1
OG0002463	P40547 VID28_YEAST Vacuolar import and degradation protein 28 GN=VID28 PE=1 SV=1	P40547 VID28_YEAST Vacuolar import and degradation protein 28 GN=VID28 PE=1 SV=1
OG0002464	P43600 YFJ0_YEAST Uncharacterized protein YFR020W GN=YFR020W PE=1 SV=1	P43600 YFJ0_YEAST Uncharacterized protein YFR020W GN=YFR020W PE=1 SV=1
OG0002465	Q3E802 YG006_YEAST Uncharacterized protein YGL006W-A GN=YGL006W-A PE=4 SV=1	Q3E802 YG006_YEAST Uncharacterized protein YGL006W-A GN=YGL006W-A PE=4 SV=1
OG0002466	P53208 YG19_YEAST Uncharacterized abhydrolase domain-containing protein YGR015C GN=YGR015C PE=1 SV=1	P53208 YG19_YEAST Uncharacterized abhydrolase domain-containing protein YGR015C GN=YGR015C PE=1 SV=1
OG0002467	Q04272 VPS20_YEAST Vacuolar protein sorting-associated protein 20 GN=VPS20 PE=1 SV=3	Q04272 VPS20_YEAST Vacuolar protein sorting-associated protein 20 GN=VPS20 PE=1 SV=3
OG0002468	Q12071 VPS54_YEAST Vacuolar protein sorting-associated protein 54 GN=VPS54 PE=1 SV=1	Q12071 VPS54_YEAST Vacuolar protein sorting-associated protein 54 GN=VPS54 PE=1 SV=1
OG0002469	P47111 VPS55_YEAST Vacuolar protein sorting-associated protein 55 GN=VPS55 PE=1 SV=1	P47111 VPS55_YEAST Vacuolar protein sorting-associated protein 55 GN=VPS55 PE=1 SV=1
OG0002470	Q03390 VPS60_YEAST Vacuolar protein-sorting-associated protein 60 GN=VPS60 PE=1 SV=2	Q03390 VPS60_YEAST Vacuolar protein-sorting-associated protein 60 GN=VPS60 PE=1 SV=2
OG0002471	P47061 VPS53_YEAST Vacuolar protein sorting-associated protein 53 GN=VPS53 PE=1 SV=1	P47061 VPS53_YEAST Vacuolar protein sorting-associated protein 53 GN=VPS53 PE=1 SV=1
OG0002472	P32913 VPS17_YEAST Vacuolar protein sorting-associated protein 17 GN=VPS17 PE=1 SV=2	P32913 VPS17_YEAST Vacuolar protein sorting-associated protein 17 GN=VPS17 PE=1 SV=2
OG0002473	Q03897 WDR59_YEAST Maintenance of telomere capping protein 5 GN=MTC5 PE=1 SV=1	Q03897 WDR59_YEAST Maintenance of telomere capping protein 5 GN=MTC5 PE=1 SV=1
OG0002474	P41814 TRM6_YEAST tRNA _adenine_58_-N_1__-methyltransferase non-catalytic subunit TRM6 GN=GCD10 PE=1 SV=1	P41814 TRM6_YEAST tRNA _adenine_58_-N_1__-methyltransferase non-catalytic subunit TRM6 GN=GCD10 PE=1 SV=1
OG0002475	Q03784 TRS23_YEAST Trafficking protein particle complex subunit 23 GN=TRS23 PE=1 SV=1	Q03784 TRS23_YEAST Trafficking protein particle complex subunit 23 GN=TRS23 PE=1 SV=1
OG0002476	P40061 TSC11_YEAST Target of rapamycin complex 2 subunit TSC11 GN=TSC11 PE=1 SV=1	P40061 TSC11_YEAST Target of rapamycin complex 2 subunit TSC11 GN=TSC11 PE=1 SV=1
OG0002477	Q03533 TDA1_YEAST Serine/threonine-protein kinase TDA1 GN=TDA1 PE=1 SV=1	Q03533 TDA1_YEAST Serine/threonine-protein kinase TDA1 GN=TDA1 PE=1 SV=1
OG0002478	P39077 TCPG_YEAST T-complex protein 1 subunit gamma GN=CCT3 PE=1 SV=2	P39077 TCPG_YEAST T-complex protein 1 subunit gamma GN=CCT3 PE=1 SV=2
OG0002479	P38141 THI2_YEAST Thiamine biosynthesis regulatory protein GN=THI2 PE=4 SV=1	P38141 THI2_YEAST Thiamine biosynthesis regulatory protein GN=THI2 PE=4 SV=1
OG0002480	Q08749 TIM18_YEAST Mitochondrial import inner membrane translocase subunit TIM18 GN=TIM18 PE=1 SV=2	Q08749 TIM18_YEAST Mitochondrial import inner membrane translocase subunit TIM18 GN=TIM18 PE=1 SV=2
OG0002481	Q12199 TIP41_YEAST Type 2A phosphatase activator TIP41 GN=TIP41 PE=1 SV=1	Q12199 TIP41_YEAST Type 2A phosphatase activator TIP41 GN=TIP41 PE=1 SV=1
OG0002482	P10863 TIR1_YEAST Cold shock-induced protein TIR1 GN=TIR1 PE=1 SV=1	P10863 TIR1_YEAST Cold shock-induced protein TIR1 GN=TIR1 PE=1 SV=1
OG0002483	Q12328 TIM22_YEAST Mitochondrial import inner membrane translocase subunit TIM22 GN=TIM22 PE=1 SV=1	Q12328 TIM22_YEAST Mitochondrial import inner membrane translocase subunit TIM22 GN=TIM22 PE=1 SV=1
OG0002484	Q3E764 TMA7_YEAST Translation machinery-associated protein 7 GN=TMA7 PE=1 SV=1	Q3E764 TMA7_YEAST Translation machinery-associated protein 7 GN=TMA7 PE=1 SV=1
OG0002485	P07213 TOM70_YEAST Mitochondrial import receptor subunit TOM70 GN=TOM70 PE=1 SV=2	P07213 TOM70_YEAST Mitochondrial import receptor subunit TOM70 GN=TOM70 PE=1 SV=2
OG0002486	P33448 TOM6_YEAST Mitochondrial import receptor subunit TOM6 GN=TOM6 PE=1 SV=1	P33448 TOM6_YEAST Mitochondrial import receptor subunit TOM6 GN=TOM6 PE=1 SV=1
OG0002487	P53378 TBG_YEAST Tubulin gamma chain GN=TUB4 PE=1 SV=1	P53378 TBG_YEAST Tubulin gamma chain GN=TUB4 PE=1 SV=1
OG0002488	P40340 TBP7_YEAST Tat-binding homolog 7 GN=YTA7 PE=1 SV=2	P40340 TBP7_YEAST Tat-binding homolog 7 GN=YTA7 PE=1 SV=2
OG0002489	P48231 TCB2_YEAST Tricalbin-2 GN=TCB2 PE=1 SV=1	P48231 TCB2_YEAST Tricalbin-2 GN=TCB2 PE=1 SV=1
OG0002490	P40413 TCPE_YEAST T-complex protein 1 subunit epsilon GN=CCT5 PE=1 SV=3	P40413 TCPE_YEAST T-complex protein 1 subunit epsilon GN=CCT5 PE=1 SV=3
OG0002491	P38987 TEM1_YEAST Protein TEM1 GN=TEM1 PE=1 SV=1	P38987 TEM1_YEAST Protein TEM1 GN=TEM1 PE=1 SV=1
OG0002492	Q12308 TFC8_YEAST Transcription factor tau 60 kDa subunit GN=TFC8 PE=1 SV=1	Q12308 TFC8_YEAST Transcription factor tau 60 kDa subunit GN=TFC8 PE=1 SV=1
OG0002493	P53215 THG1_YEAST tRNA_His_ guanylyltransferase GN=THG1 PE=1 SV=1	P53215 THG1_YEAST tRNA_His_ guanylyltransferase GN=THG1 PE=1 SV=1
OG0002494	P35202 THI80_YEAST Thiamine pyrophosphokinase GN=THI80 PE=1 SV=1	P35202 THI80_YEAST Thiamine pyrophosphokinase GN=THI80 PE=1 SV=1
OG0002495	Q12043 TGL5_YEAST Lipase 5 GN=TGL5 PE=1 SV=1	Q12043 TGL5_YEAST Lipase 5 GN=TGL5 PE=1 SV=1
OG0002496	P40462 TM108_YEAST Protein TMA108 GN=TMA108 PE=1 SV=1	P40462 TM108_YEAST Protein TMA108 GN=TMA108 PE=1 SV=1
OG0002497	P53507 TOM7_YEAST Mitochondrial import receptor subunit TOM7 GN=TOM7 PE=1 SV=2	P53507 TOM7_YEAST Mitochondrial import receptor subunit TOM7 GN=TOM7 PE=1 SV=2
OG0002498	P36165 TGL4_YEAST Lipase 4 GN=TGL4 PE=1 SV=1	P36165 TGL4_YEAST Lipase 4 GN=TGL4 PE=1 SV=1
OG0002499	Q02776 TIM50_YEAST Mitochondrial import inner membrane translocase subunit TIM50 GN=TIM50 PE=1 SV=1	Q02776 TIM50_YEAST Mitochondrial import inner membrane translocase subunit TIM50 GN=TIM50 PE=1 SV=1
OG0002500	P57744 TIM8_YEAST Mitochondrial import inner membrane translocase subunit TIM8 GN=TIM8 PE=1 SV=1	P57744 TIM8_YEAST Mitochondrial import inner membrane translocase subunit TIM8 GN=TIM8 PE=1 SV=1
OG0002501	P33315 TKT2_YEAST Transketolase 2 GN=TKL2 PE=1 SV=1	P33315 TKT2_YEAST Transketolase 2 GN=TKL2 PE=1 SV=1
OG0002502	P27796 THIK_YEAST 3-ketoacyl-CoA thiolase_ peroxisomal GN=POT1 PE=1 SV=1	P27796 THIK_YEAST 3-ketoacyl-CoA thiolase_ peroxisomal GN=POT1 PE=1 SV=1
OG0002503	Q03525 TMA23_YEAST Protein TMA23 GN=TMA23 PE=1 SV=2	Q03525 TMA23_YEAST Protein TMA23 GN=TMA23 PE=1 SV=2
OG0002504	P16120 THRC_YEAST Threonine synthase GN=THR4 PE=1 SV=1	P16120 THRC_YEAST Threonine synthase GN=THR4 PE=1 SV=1
OG0002505	P87108 TIM10_YEAST Mitochondrial import inner membrane translocase subunit TIM10 GN=TIM10 PE=1 SV=1	P87108 TIM10_YEAST Mitochondrial import inner membrane translocase subunit TIM10 GN=TIM10 PE=1 SV=1
OG0002506	P32830 TIM12_YEAST Mitochondrial import inner membrane translocase subunit TIM12 GN=TIM12 PE=1 SV=1	P32830 TIM12_YEAST Mitochondrial import inner membrane translocase subunit TIM12 GN=TIM12 PE=1 SV=1
OG0002507	P40552 TIR3_YEAST Cell wall protein TIR3 GN=TIR3 PE=2 SV=1	P40552 TIR3_YEAST Cell wall protein TIR3 GN=TIR3 PE=2 SV=1
OG0002508	P53299 TIM13_YEAST Mitochondrial import inner membrane translocase subunit TIM13 GN=TIM13 PE=1 SV=1	P53299 TIM13_YEAST Mitochondrial import inner membrane translocase subunit TIM13 GN=TIM13 PE=1 SV=1
OG0002509	Q03322 TLG1_YEAST t-SNARE affecting a late Golgi compartment protein 1 GN=TLG1 PE=1 SV=1	Q03322 TLG1_YEAST t-SNARE affecting a late Golgi compartment protein 1 GN=TLG1 PE=1 SV=1
OG0002510	P41338 THIL_YEAST Acetyl-CoA acetyltransferase GN=ERG10 PE=1 SV=3	P41338 THIL_YEAST Acetyl-CoA acetyltransferase GN=ERG10 PE=1 SV=3
OG0002511	Q08144 TLG2_YEAST t-SNARE affecting a late Golgi compartment protein 2 GN=TLG2 PE=1 SV=1	Q08144 TLG2_YEAST t-SNARE affecting a late Golgi compartment protein 2 GN=TLG2 PE=1 SV=1
OG0002512	Q12049 THP3_YEAST Protein THP3 GN=THP3 PE=1 SV=1	Q12049 THP3_YEAST Protein THP3 GN=THP3 PE=1 SV=1
OG0002513	P23254 TKT1_YEAST Transketolase 1 GN=TKL1 PE=1 SV=4	P23254 TKT1_YEAST Transketolase 1 GN=TKL1 PE=1 SV=4
OG0002514	P36142 TM184_YEAST Transmembrane protein 184 homolog YKR051W GN=YKR051W PE=1 SV=1	P36142 TM184_YEAST Transmembrane protein 184 homolog YKR051W GN=YKR051W PE=1 SV=1
OG0002515	P89886 TMA20_YEAST Translation machinery-associated protein 20 GN=TMA20 PE=1 SV=1	P89886 TMA20_YEAST Translation machinery-associated protein 20 GN=TMA20 PE=1 SV=1
OG0002516	Q12000 TMA46_YEAST Translation machinery-associated protein 46 GN=TMA46 PE=1 SV=2	Q12000 TMA46_YEAST Translation machinery-associated protein 46 GN=TMA46 PE=1 SV=2
OG0002517	P39548 YAJ8_YEAST DUP240 protein YAR028W GN=YAR028W PE=1 SV=1	P39548 YAJ8_YEAST DUP240 protein YAR028W GN=YAR028W PE=1 SV=1
OG0002518	P34224 YBF9_YEAST Uncharacterized protein YBL059W GN=YBL059W PE=1 SV=1	P34224 YBF9_YEAST Uncharacterized protein YBL059W GN=YBL059W PE=1 SV=1
OG0002519	P38256 YBU6_YEAST Uncharacterized protein YBR096W GN=YBR096W PE=1 SV=1	P38256 YBU6_YEAST Uncharacterized protein YBR096W GN=YBR096W PE=1 SV=1
OG0002520	P38109 YBY9_YEAST Putative serine carboxypeptidase YBR139W GN=YBR139W PE=1 SV=1	P38109 YBY9_YEAST Putative serine carboxypeptidase YBR139W GN=YBR139W PE=1 SV=1
OG0002521	P38215 YBM3_YEAST Putative uncharacterized protein YBR013C GN=YBR013C PE=3 SV=1	P38215 YBM3_YEAST Putative uncharacterized protein YBR013C GN=YBR013C PE=3 SV=1
OG0002522	Q8J0M4 YCB2_YEAST UPF0357 protein YCL012C GN=YCL012C PE=1 SV=2	Q8J0M4 YCB2_YEAST UPF0357 protein YCL012C GN=YCL012C PE=1 SV=2
OG0002523	Q2V2Q3 YB201_YEAST Putative uncharacterized protein YBR201C-A GN=YBR201C-A PE=4 SV=1	Q2V2Q3 YB201_YEAST Putative uncharacterized protein YBR201C-A GN=YBR201C-A PE=4 SV=1
OG0002524	Q3E821 YB008_YEAST Uncharacterized protein YBL008W-A GN=YBL008W-A PE=3 SV=1	Q3E821 YB008_YEAST Uncharacterized protein YBL008W-A GN=YBL008W-A PE=3 SV=1
OG0002525	Q3E778 YB96B_YEAST Uncharacterized protein YBR196C-B GN=YBR196C-B PE=1 SV=1	Q3E778 YB96B_YEAST Uncharacterized protein YBR196C-B GN=YBR196C-B PE=1 SV=1
OG0002526	P38338 YB9F_YEAST Uncharacterized protein YBR259W GN=YBR259W PE=4 SV=1	P38338 YB9F_YEAST Uncharacterized protein YBR259W GN=YBR259W PE=4 SV=1
OG0002527	Q8TGU8 YB071_YEAST Uncharacterized protein YBL071C-B GN=YBL071C-B PE=4 SV=1	Q8TGU8 YB071_YEAST Uncharacterized protein YBL071C-B GN=YBL071C-B PE=4 SV=1
OG0002528	Q3E794 YB072_YEAST Uncharacterized protein YBR072C-A GN=YBR072C-A PE=4 SV=1	Q3E794 YB072_YEAST Uncharacterized protein YBR072C-A GN=YBR072C-A PE=4 SV=1
OG0002529	P38201 YBC9_YEAST Uncharacterized protein YBL029W GN=YBL029W PE=4 SV=1	P38201 YBC9_YEAST Uncharacterized protein YBL029W GN=YBL029W PE=4 SV=1
OG0002530	P32788 YBB0_YEAST Uncharacterized protein YBL010C GN=YBL010C PE=1 SV=1	P32788 YBB0_YEAST Uncharacterized protein YBL010C GN=YBL010C PE=1 SV=1
OG0002531	Q8TGU6 YB182_YEAST Uncharacterized protein YBR182C-A GN=YBR182C-A PE=4 SV=1	Q8TGU6 YB182_YEAST Uncharacterized protein YBR182C-A GN=YBR182C-A PE=4 SV=1
OG0002532	P25620 YCR2_YEAST Uncharacterized protein YCR022C GN=YCR022C PE=4 SV=1	P25620 YCR2_YEAST Uncharacterized protein YCR022C GN=YCR022C PE=4 SV=1
OG0002533	P37265 YCR41_YEAST Uncharacterized protein YCR041W GN=YCR041W PE=3 SV=1	P37265 YCR41_YEAST Uncharacterized protein YCR041W GN=YCR041W PE=3 SV=1
OG0002534	P25606 YCZ0_YEAST Uncharacterized protein YCR100C GN=YCR100C PE=4 SV=1	P25606 YCZ0_YEAST Uncharacterized protein YCR100C GN=YCR100C PE=4 SV=1
OG0002535	P25607 YCZ1_YEAST Uncharacterized protein YCR101C GN=YCR101C PE=4 SV=1	P25607 YCZ1_YEAST Uncharacterized protein YCR101C GN=YCR101C PE=4 SV=1
OG0002536	P0C5M1 YD371_YEAST Uncharacterized protein YDR371C-A GN=YDR371C-A PE=1 SV=1	P0C5M1 YD371_YEAST Uncharacterized protein YDR371C-A GN=YDR371C-A PE=1 SV=1
OG0002537	P25361 YCT3_YEAST Uncharacterized protein YCR043C GN=YCR043C PE=1 SV=1	P25361 YCT3_YEAST Uncharacterized protein YCR043C GN=YCR043C PE=1 SV=1
OG0002538	P39953 YEA6_YEAST Mitochondrial nicotinamide adenine dinucleotide transporter 2 GN=YEA6 PE=1 SV=1	P39953 YEA6_YEAST Mitochondrial nicotinamide adenine dinucleotide transporter 2 GN=YEA6 PE=1 SV=1
OG0002539	Q04408 YD514_YEAST Uncharacterized protein YDR514C GN=YDR514C PE=1 SV=1	Q04408 YD514_YEAST Uncharacterized protein YDR514C GN=YDR514C PE=1 SV=1
OG0002540	P34225 YEL1_YEAST Guanine-nucleotide exchange factor YEL1 GN=YEL1 PE=1 SV=1	P34225 YEL1_YEAST Guanine-nucleotide exchange factor YEL1 GN=YEL1 PE=1 SV=1
OG0002541	P39549 YAJ9_YEAST DUP240 protein YAR029W GN=YAR029W PE=3 SV=1	P39549 YAJ9_YEAST DUP240 protein YAR029W GN=YAR029W PE=3 SV=1
OG0002542	P39711 YAG4_YEAST Putative uncharacterized protein YAL064W GN=YAL064W PE=4 SV=2	P39711 YAG4_YEAST Putative uncharacterized protein YAL064W GN=YAL064W PE=4 SV=2
OG0002543	Q3E776 YB255_YEAST Uncharacterized protein YBR255C-A GN=YBR255C-A PE=4 SV=1	Q3E776 YB255_YEAST Uncharacterized protein YBR255C-A GN=YBR255C-A PE=4 SV=1
OG0002544	Q3E7Y4 YB112_YEAST Putative uncharacterized helicase-like protein YBL112C GN=YBL112C PE=5 SV=1	Q3E7Y4 YB112_YEAST Putative uncharacterized helicase-like protein YBL112C GN=YBL112C PE=5 SV=1
OG0002545	P0C268 YB39B_YEAST Uncharacterized protein YBL039W-B GN=YBL039W-B PE=4 SV=1	P0C268 YB39B_YEAST Uncharacterized protein YBL039W-B GN=YBL039W-B PE=4 SV=1
OG0002546	P38306 YB47_YEAST Uncharacterized protein YBR197C GN=YBR197C PE=1 SV=1	P38306 YB47_YEAST Uncharacterized protein YBR197C GN=YBR197C PE=1 SV=1
OG0002547	P38354 YB8A_YEAST Putative uncharacterized protein YBR285W GN=YBR285W PE=4 SV=2	P38354 YB8A_YEAST Putative uncharacterized protein YBR285W GN=YBR285W PE=4 SV=2
OG0002548	P38223 YBO2_YEAST Uncharacterized protein YBR032W GN=YBR032W PE=4 SV=1	P38223 YBO2_YEAST Uncharacterized protein YBR032W GN=YBR032W PE=4 SV=1
OG0002549	Q3E830 YC075_YEAST Uncharacterized protein YCR075W-A GN=YCR075W-A PE=1 SV=1	Q3E830 YC075_YEAST Uncharacterized protein YCR075W-A GN=YCR075W-A PE=1 SV=1
OG0002550	P25352 YCR5_YEAST Uncharacterized protein YCR025C GN=YCR025C PE=4 SV=2	P25352 YCR5_YEAST Uncharacterized protein YCR025C GN=YCR025C PE=4 SV=2
OG0002551	Q3E820 YB96A_YEAST Uncharacterized protein YBR196C-A GN=YBR196C-A PE=4 SV=1	Q3E820 YB96A_YEAST Uncharacterized protein YBR196C-A GN=YBR196C-A PE=4 SV=1
OG0002552	P38150 YB9Z_YEAST Inactive deaminase YBR284W GN=YBR284W PE=3 SV=1	P38150 YB9Z_YEAST Inactive deaminase YBR284W GN=YBR284W PE=3 SV=1
OG0002553	P38299 YB34_YEAST Uncharacterized protein YBR184W GN=YBR184W PE=4 SV=1	P38299 YB34_YEAST Uncharacterized protein YBR184W GN=YBR184W PE=4 SV=1
OG0002554	P0C5K9 YB39A_YEAST Uncharacterized protein YBL039C-A GN=YBL039C-A PE=1 SV=1	P0C5K9 YB39A_YEAST Uncharacterized protein YBL039C-A GN=YBL039C-A PE=1 SV=1
OG0002555	P38177 YBI6_YEAST Uncharacterized protein YBL086C GN=YBL086C PE=1 SV=1	P38177 YBI6_YEAST Uncharacterized protein YBL086C GN=YBL086C PE=1 SV=1
OG0002556	P25577 YCE9_YEAST Uncharacterized protein YCL049C GN=YCL049C PE=1 SV=2	P25577 YCE9_YEAST Uncharacterized protein YCL049C GN=YCL049C PE=1 SV=2
OG0002557	P38315 YBP1_YEAST YAP1-binding protein 1 GN=YBP1 PE=1 SV=1	P38315 YBP1_YEAST YAP1-binding protein 1 GN=YBP1 PE=1 SV=1
OG0002558	P38235 YBQ3_YEAST Uncharacterized protein YBR053C GN=YBR053C PE=1 SV=1	P38235 YBQ3_YEAST Uncharacterized protein YBR053C GN=YBR053C PE=1 SV=1
OG0002559	P38081 YBQ6_YEAST Uncharacterized glycosyl hydrolase YBR056W GN=YBR056W PE=1 SV=1	P38081 YBQ6_YEAST Uncharacterized glycosyl hydrolase YBR056W GN=YBR056W PE=1 SV=1
OG0002560	P25593 YCG8_YEAST Putative uncharacterized protein YCL068C GN=YCL068C PE=5 SV=2	P25593 YCG8_YEAST Putative uncharacterized protein YCL068C GN=YCL068C PE=5 SV=2
OG0002561	P42937 YCH1_YEAST CDC25-like phosphatase YCH1 GN=YCH1 PE=1 SV=1	P42937 YCH1_YEAST CDC25-like phosphatase YCH1 GN=YCH1 PE=1 SV=1
OG0002562	Q12121 YD211_YEAST Uncharacterized protein YDL211C GN=YDL211C PE=1 SV=1	Q12121 YD211_YEAST Uncharacterized protein YDL211C GN=YDL211C PE=1 SV=1
OG0002563	P38318 YB70_YEAST Uncharacterized membrane protein YBR220C GN=YBR220C PE=1 SV=1	P38318 YB70_YEAST Uncharacterized membrane protein YBR220C GN=YBR220C PE=1 SV=1
OG0002564	P38321 YB75_YEAST Uncharacterized protein YBR225W GN=YBR225W PE=1 SV=1	P38321 YB75_YEAST Uncharacterized protein YBR225W GN=YBR225W PE=1 SV=1
OG0002565	Q3E755 YB200_YEAST Uncharacterized protein YBR200W-A GN=YBR200W-A PE=3 SV=1	Q3E755 YB200_YEAST Uncharacterized protein YBR200W-A GN=YBR200W-A PE=3 SV=1
OG0002566	P38220 YBN7_YEAST Uncharacterized protein YBR027C GN=YBR027C PE=4 SV=1	P38220 YBN7_YEAST Uncharacterized protein YBR027C GN=YBR027C PE=4 SV=1
OG0002567	P25565 YCA2_YEAST Putative uncharacterized protein YCL002C GN=YCL002C PE=4 SV=4	P25565 YCA2_YEAST Putative uncharacterized protein YCL002C GN=YCL002C PE=4 SV=4
OG0002568	P25616 YCQ5_YEAST UPF0655 protein YCR015C GN=YCR015C PE=3 SV=2	P25616 YCQ5_YEAST UPF0655 protein YCR015C GN=YCR015C PE=3 SV=2
OG0002569	P25617 YCQ6_YEAST Uncharacterized protein YCR016W GN=YCR016W PE=1 SV=2	P25617 YCQ6_YEAST Uncharacterized protein YCR016W GN=YCR016W PE=1 SV=2
OG0002570	Q07541 YD121_YEAST Uncharacterized protein YDL121C GN=YDL121C PE=1 SV=1	Q07541 YD121_YEAST Uncharacterized protein YDL121C GN=YDL121C PE=1 SV=1
OG0002571	Q3E7Z7 YD003_YEAST Uncharacterized protein YDR003W-A GN=YDR003W-A PE=1 SV=1	Q3E7Z7 YD003_YEAST Uncharacterized protein YDR003W-A GN=YDR003W-A PE=1 SV=1
OG0002572	P36131 SPC34_YEAST DASH complex subunit SPC34 GN=SPC34 PE=1 SV=1	P36131 SPC34_YEAST DASH complex subunit SPC34 GN=SPC34 PE=1 SV=1
OG0002573	P08458 SPS1_YEAST Sporulation-specific protein 1 GN=SPS1 PE=1 SV=2	P08458 SPS1_YEAST Sporulation-specific protein 1 GN=SPS1 PE=1 SV=2
OG0002574	P41901 SPR3_YEAST Sporulation-regulated protein 3 GN=SPR3 PE=1 SV=1	P41901 SPR3_YEAST Sporulation-regulated protein 3 GN=SPR3 PE=1 SV=1
OG0002575	P35184 SQT1_YEAST Ribosome assembly protein SQT1 GN=SQT1 PE=1 SV=2	P35184 SQT1_YEAST Ribosome assembly protein SQT1 GN=SQT1 PE=1 SV=2
OG0002576	P38687 SRP68_YEAST Signal recognition particle subunit SRP68 GN=SRP68 PE=1 SV=1	P38687 SRP68_YEAST Signal recognition particle subunit SRP68 GN=SRP68 PE=1 SV=1
OG0002577	P25379 STDH_YEAST Catabolic L-serine/threonine dehydratase GN=CHA1 PE=1 SV=2	P25379 STDH_YEAST Catabolic L-serine/threonine dehydratase GN=CHA1 PE=1 SV=2
OG0002578	P06784 STE7_YEAST Serine/threonine-protein kinase STE7 GN=STE7 PE=1 SV=1	P06784 STE7_YEAST Serine/threonine-protein kinase STE7 GN=STE7 PE=1 SV=1
OG0002579	P38869 SVP26_YEAST Protein SVP26 GN=SVP26 PE=1 SV=1	P38869 SVP26_YEAST Protein SVP26 GN=SVP26 PE=1 SV=1
OG0002580	P53032 SUT1_YEAST Sterol uptake protein 1 GN=SUT1 PE=1 SV=1	P53032 SUT1_YEAST Sterol uptake protein 1 GN=SUT1 PE=1 SV=1
OG0002581	Q06707 SWC7_YEAST SWR1-complex protein 7 GN=SWC7 PE=1 SV=1	Q06707 SWC7_YEAST SWR1-complex protein 7 GN=SWC7 PE=1 SV=1
OG0002582	Q12286 SUT2_YEAST Sterol uptake protein 2 GN=SUT2 PE=3 SV=1	Q12286 SUT2_YEAST Sterol uptake protein 2 GN=SUT2 PE=3 SV=1
OG0002583	P15179 SYDM_YEAST Aspartate--tRNA ligase_ mitochondrial GN=MSD1 PE=1 SV=1	P15179 SYDM_YEAST Aspartate--tRNA ligase_ mitochondrial GN=MSD1 PE=1 SV=1
OG0002584	P17649 GABAT_YEAST 4-aminobutyrate aminotransferase GN=UGA1 PE=1 SV=2	P17649 GABAT_YEAST 4-aminobutyrate aminotransferase GN=UGA1 PE=1 SV=2
OG0002585	P28789 HEM3_YEAST Porphobilinogen deaminase GN=HEM3 PE=1 SV=1	P28789 HEM3_YEAST Porphobilinogen deaminase GN=HEM3 PE=1 SV=1
OG0002586	P33893 GATB_YEAST Glutamyl-tRNA_Gln_ amidotransferase subunit B_ mitochondrial GN=PET112 PE=1 SV=3	P33893 GATB_YEAST Glutamyl-tRNA_Gln_ amidotransferase subunit B_ mitochondrial GN=PET112 PE=1 SV=3
OG0002587	P11353 HEM6_YEAST Oxygen-dependent coproporphyrinogen-III oxidase GN=HEM13 PE=1 SV=2	P11353 HEM6_YEAST Oxygen-dependent coproporphyrinogen-III oxidase GN=HEM13 PE=1 SV=2
OG0002588	P48015 GCST_YEAST Aminomethyltransferase_ mitochondrial GN=GCV1 PE=1 SV=2	P48015 GCST_YEAST Aminomethyltransferase_ mitochondrial GN=GCV1 PE=1 SV=2
OG0002589	P28007 GAR1_YEAST H/ACA ribonucleoprotein complex subunit GAR1 GN=GAR1 PE=1 SV=1	P28007 GAR1_YEAST H/ACA ribonucleoprotein complex subunit GAR1 GN=GAR1 PE=1 SV=1
OG0002590	Q06135 GAS2_YEAST 1_3-beta-glucanosyltransferase GAS2 GN=GAS2 PE=1 SV=1	Q06135 GAS2_YEAST 1_3-beta-glucanosyltransferase GAS2 GN=GAS2 PE=1 SV=1
OG0002591	Q03655 GAS3_YEAST Probable 1_3-beta-glucanosyltransferase GAS3 GN=GAS3 PE=1 SV=1	Q03655 GAS3_YEAST Probable 1_3-beta-glucanosyltransferase GAS3 GN=GAS3 PE=1 SV=1
OG0002592	P40569 GAT4_YEAST Protein GAT4 GN=GAT4 PE=4 SV=1	P40569 GAT4_YEAST Protein GAT4 GN=GAT4 PE=4 SV=1
OG0002593	P38011 GBLP_YEAST Guanine nucleotide-binding protein subunit beta-like protein GN=ASC1 PE=1 SV=4	P38011 GBLP_YEAST Guanine nucleotide-binding protein subunit beta-like protein GN=ASC1 PE=1 SV=4
OG0002594	Q08622 GEP3_YEAST Genetic interactor of prohibitins 3_ mitochondrial GN=GEP3 PE=1 SV=1	Q08622 GEP3_YEAST Genetic interactor of prohibitins 3_ mitochondrial GN=GEP3 PE=1 SV=1
OG0002595	P38812 GEP4_YEAST Phosphatidylglycerophosphatase GEP4_ mitochondrial GN=GEP4 PE=1 SV=1	P38812 GEP4_YEAST Phosphatidylglycerophosphatase GEP4_ mitochondrial GN=GEP4 PE=1 SV=1
OG0002596	P38263 GID4_YEAST Vacuolar import and degradation protein 24 GN=VID24 PE=1 SV=1	P38263 GID4_YEAST Vacuolar import and degradation protein 24 GN=VID24 PE=1 SV=1
OG0002597	Q03833 GIS1_YEAST Transcriptional activator/repressor GIS1 GN=GIS1 PE=1 SV=1	Q03833 GIS1_YEAST Transcriptional activator/repressor GIS1 GN=GIS1 PE=1 SV=1
OG0002598	P12709 G6PI_YEAST Glucose-6-phosphate isomerase GN=PGI1 PE=1 SV=3	P12709 G6PI_YEAST Glucose-6-phosphate isomerase GN=PGI1 PE=1 SV=3
