Sequence Name,Annotation GO Term
KMXK0C03020,endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0C04770,endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0C04900,endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0D00250,endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0D02510,endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0D04520,endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0D04530,endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0D05960,endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0D06080,endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0E00940,endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0E04310,endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0E04910,endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0F02710,endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0F04500,endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0G00400,endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0H02360,endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0H02390,endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0H02800,endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0H04150,endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0H04440,endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0B00930,endoplasmic reticulum inheritance
KMXK0D02140,endoplasmic reticulum inheritance
KMXK0E03790,endoplasmic reticulum inheritance
KMXK0E05260,endoplasmic reticulum inheritance
KMXK0G01330,endoplasmic reticulum inheritance
KMXK0G02590,endoplasmic reticulum inheritance
KMXK0H01360,endoplasmic reticulum inheritance
KMXK0H01470,endoplasmic reticulum inheritance
KMXK0A04250,endoplasmic reticulum membrane fusion
KMXK0D02140,endoplasmic reticulum membrane fusion
KMXK0F00780,endoplasmic reticulum membrane fusion
KMXK0D04640,endoplasmic reticulum membrane organization
KMXK0G02160,endoplasmic reticulum membrane organization
KMXK0H01470,endoplasmic reticulum membrane organization
KMXK0A03480,endoplasmic reticulum organization
KMXK0B03640,endoplasmic reticulum organization
KMXK0D01090,endoplasmic reticulum organization
KMXK0C05220,endoplasmic reticulum tubular network maintenance
KMXK0D05320,endoplasmic reticulum tubular network organization
KMXK0B04330,endoplasmic reticulum unfolded protein response
KMXK0B06250,endoplasmic reticulum unfolded protein response
KMXK0C00840,endoplasmic reticulum unfolded protein response
KMXK0C01630,endoplasmic reticulum unfolded protein response
KMXK0D04140,endoplasmic reticulum unfolded protein response
KMXK0F01860,endoplasmic reticulum unfolded protein response
KMXK0G03510,endoplasmic reticulum unfolded protein response
KMXK0H00960,endoplasmic reticulum unfolded protein response
KMXK0C06200,endosomal transport
KMXK0D01530,endosomal transport
KMXK0G01590,endosomal transport
KMXK0B04630,endosome organization
KMXK0D05460,endosome organization
KMXK0F01990,endosome organization
KMXK0G02150,endosome organization
KMXK0H01760,energy reserve metabolic process
KMXK0A01970,entry into host
KMXK0F00420,entry into host
KMXK0A02180,entry into host through natural portals
KMXK0B04570,enzyme active site formation via cysteine modification to L-cysteine persulfide
KMXK0B02170,enzyme-directed rRNA pseudouridine synthesis
KMXK0A06700,ER to Golgi ceramide transport
KMXK0B07910,ER to Golgi ceramide transport
KMXK0E05690,ER to Golgi ceramide transport
KMXK0H02580,ER to Golgi ceramide transport
KMXK0A01110,ER to Golgi vesicle-mediated transport
KMXK0A01980,ER to Golgi vesicle-mediated transport
KMXK0A02170,ER to Golgi vesicle-mediated transport
KMXK0A03500,ER to Golgi vesicle-mediated transport
KMXK0A03710,ER to Golgi vesicle-mediated transport
KMXK0A03880,ER to Golgi vesicle-mediated transport
KMXK0A03940,ER to Golgi vesicle-mediated transport
KMXK0A06190,ER to Golgi vesicle-mediated transport
KMXK0A07380,ER to Golgi vesicle-mediated transport
KMXK0A08020,ER to Golgi vesicle-mediated transport
KMXK0B02590,ER to Golgi vesicle-mediated transport
KMXK0B03380,ER to Golgi vesicle-mediated transport
KMXK0B05150,ER to Golgi vesicle-mediated transport
KMXK0B05320,ER to Golgi vesicle-mediated transport
KMXK0B05790,ER to Golgi vesicle-mediated transport
KMXK0B06640,ER to Golgi vesicle-mediated transport
KMXK0B07110,ER to Golgi vesicle-mediated transport
KMXK0B07580,ER to Golgi vesicle-mediated transport
KMXK0B07750,ER to Golgi vesicle-mediated transport
KMXK0B08160,ER to Golgi vesicle-mediated transport
KMXK0B08430,ER to Golgi vesicle-mediated transport
KMXK0C01420,ER to Golgi vesicle-mediated transport
KMXK0C02000,ER to Golgi vesicle-mediated transport
KMXK0C02490,ER to Golgi vesicle-mediated transport
KMXK0C02720,ER to Golgi vesicle-mediated transport
KMXK0C03690,ER to Golgi vesicle-mediated transport
KMXK0C04250,ER to Golgi vesicle-mediated transport
KMXK0C04810,ER to Golgi vesicle-mediated transport
KMXK0C05140,ER to Golgi vesicle-mediated transport
KMXK0D01020,ER to Golgi vesicle-mediated transport
KMXK0D01540,ER to Golgi vesicle-mediated transport
KMXK0D02110,ER to Golgi vesicle-mediated transport
KMXK0D03640,ER to Golgi vesicle-mediated transport
KMXK0D04700,ER to Golgi vesicle-mediated transport
KMXK0D05870,ER to Golgi vesicle-mediated transport
KMXK0D06350,ER to Golgi vesicle-mediated transport
KMXK0E00490,ER to Golgi vesicle-mediated transport
KMXK0E01700,ER to Golgi vesicle-mediated transport
KMXK0E02680,ER to Golgi vesicle-mediated transport
KMXK0E03300,ER to Golgi vesicle-mediated transport
KMXK0E04000,ER to Golgi vesicle-mediated transport
KMXK0E04210,ER to Golgi vesicle-mediated transport
KMXK0E04640,ER to Golgi vesicle-mediated transport
KMXK0E05370,ER to Golgi vesicle-mediated transport
KMXK0E05640,ER to Golgi vesicle-mediated transport
KMXK0E05840,ER to Golgi vesicle-mediated transport
KMXK0F00590,ER to Golgi vesicle-mediated transport
KMXK0F01920,ER to Golgi vesicle-mediated transport
KMXK0F02780,ER to Golgi vesicle-mediated transport
KMXK0F03350,ER to Golgi vesicle-mediated transport
KMXK0F04980,ER to Golgi vesicle-mediated transport
KMXK0F05600,ER to Golgi vesicle-mediated transport
KMXK0G01570,ER to Golgi vesicle-mediated transport
KMXK0G01930,ER to Golgi vesicle-mediated transport
KMXK0G02560,ER to Golgi vesicle-mediated transport
KMXK0G03760,ER to Golgi vesicle-mediated transport
KMXK0G04140,ER to Golgi vesicle-mediated transport
KMXK0H00260,ER to Golgi vesicle-mediated transport
KMXK0H00300,ER to Golgi vesicle-mediated transport
KMXK0H00720,ER to Golgi vesicle-mediated transport
KMXK0H00880,ER to Golgi vesicle-mediated transport
KMXK0H01440,ER to Golgi vesicle-mediated transport
KMXK0H02910,ER to Golgi vesicle-mediated transport
KMXK0H03970,ER to Golgi vesicle-mediated transport
KMXK0A00310,ER-associated misfolded protein catabolic process
KMXK0A07420,ER-associated misfolded protein catabolic process
KMXK0B06700,ER-associated misfolded protein catabolic process
KMXK0C02330,ER-associated misfolded protein catabolic process
KMXK0F00780,ER-associated misfolded protein catabolic process
KMXK0A07320,ER-dependent peroxisome organization
KMXK0F04700,ER-dependent peroxisome organization
KMXK0A04730,ergosterol biosynthetic process
KMXK0A05500,ergosterol biosynthetic process
KMXK0B03240,ergosterol biosynthetic process
KMXK0B04790,ergosterol biosynthetic process
KMXK0B05420,ergosterol biosynthetic process
KMXK0B05660,ergosterol biosynthetic process
KMXK0B07370,ergosterol biosynthetic process
KMXK0B07400,ergosterol biosynthetic process
KMXK0C02060,ergosterol biosynthetic process
KMXK0C03350,ergosterol biosynthetic process
KMXK0C06700,ergosterol biosynthetic process
KMXK0D00400,ergosterol biosynthetic process
KMXK0D01900,ergosterol biosynthetic process
KMXK0D04420,ergosterol biosynthetic process
KMXK0D04580,ergosterol biosynthetic process
KMXK0D04670,ergosterol biosynthetic process
KMXK0E02880,ergosterol biosynthetic process
KMXK0E05050,ergosterol biosynthetic process
KMXK0F01060,ergosterol biosynthetic process
KMXK0F01510,ergosterol biosynthetic process
KMXK0F01890,ergosterol biosynthetic process
KMXK0G02870,ergosterol biosynthetic process
KMXK0C04820,ergosterol metabolic process
KMXK0A06110,error-free postreplication DNA repair
KMXK0A06110,error-free translesion synthesis
KMXK0C03860,error-free translesion synthesis
KMXK0C04500,error-free translesion synthesis
KMXK0C06650,error-free translesion synthesis
KMXK0F03560,error-free translesion synthesis
KMXK0A06110,error-prone translesion synthesis
KMXK0A07370,error-prone translesion synthesis
KMXK0B05160,error-prone translesion synthesis
KMXK0C03860,error-prone translesion synthesis
KMXK0C04500,error-prone translesion synthesis
KMXK0C06650,error-prone translesion synthesis
KMXK0D00880,error-prone translesion synthesis
KMXK0D01750,error-prone translesion synthesis
KMXK0F03560,error-prone translesion synthesis
KMXK0A02600,establishment of cell polarity
KMXK0A06270,establishment of cell polarity
KMXK0B00860,establishment of cell polarity
KMXK0B04470,establishment of cell polarity
KMXK0C01630,establishment of cell polarity
KMXK0C04900,establishment of cell polarity
KMXK0D00620,establishment of cell polarity
KMXK0E00350,establishment of cell polarity
KMXK0E01350,establishment of cell polarity
KMXK0E02750,establishment of cell polarity
KMXK0E04120,establishment of cell polarity
KMXK0F04250,establishment of cell polarity
KMXK0G01150,establishment of cell polarity
KMXK0G01770,establishment of cell polarity
KMXK0G02180,establishment of cell polarity
KMXK0H01510,establishment of cell polarity
KMXK0B07190,establishment of chromatin silencing
KMXK0A06290,establishment of chromatin silencing at telomere
KMXK0E01440,establishment of chromatin silencing at telomere
KMXK0E06000,establishment of chromatin silencing at telomere
KMXK0G00280,establishment of localization in cell
KMXK0A06820,establishment of mitochondrion localization
KMXK0B03630,establishment of mitochondrion localization
KMXK0E02760,establishment of mitochondrion localization
KMXK0H01090,establishment of mitochondrion localization
KMXK0C04680,establishment of mitotic sister chromatid cohesion
KMXK0D00490,establishment of mitotic sister chromatid cohesion
KMXK0D03040,establishment of mitotic sister chromatid cohesion
KMXK0D03240,establishment of mitotic sister chromatid cohesion
KMXK0E05510,establishment of mitotic sister chromatid cohesion
KMXK0D06420,establishment of mitotic spindle localization
KMXK0F01120,establishment of mitotic spindle localization
KMXK0A01040,establishment of mitotic spindle orientation
KMXK0A03470,establishment of mitotic spindle orientation
KMXK0A07490,establishment of mitotic spindle orientation
KMXK0C06760,establishment of mitotic spindle orientation
KMXK0D04400,establishment of mitotic spindle orientation
KMXK0E01220,establishment of mitotic spindle orientation
KMXK0H00490,establishment of mitotic spindle orientation
KMXK0G00280,establishment of organelle localization
KMXK0A03850,establishment of protein localization
KMXK0A04830,establishment of protein localization
KMXK0D02800,establishment of protein localization
KMXK0D04200,establishment of protein localization
KMXK0E05060,establishment of protein localization
KMXK0A06290,establishment of protein localization to chromatin
KMXK0B00320,establishment of protein localization to chromatin
KMXK0E01440,establishment of protein localization to chromatin
KMXK0E05510,establishment of protein localization to chromatin
KMXK0E06000,establishment of protein localization to chromatin
KMXK0A04390,establishment of protein localization to membrane
KMXK0A06290,establishment of protein localization to telomere
KMXK0E01440,establishment of protein localization to telomere
KMXK0E06000,establishment of protein localization to telomere
KMXK0D03450,establishment of sister chromatid cohesion
KMXK0H02900,establishment of sister chromatid cohesion
KMXK0B04330,establishment or maintenance of actin cytoskeleton polarity
KMXK0B04920,establishment or maintenance of actin cytoskeleton polarity
KMXK0B05260,establishment or maintenance of actin cytoskeleton polarity
KMXK0B07770,establishment or maintenance of actin cytoskeleton polarity
KMXK0F04290,establishment or maintenance of actin cytoskeleton polarity
KMXK0G01590,establishment or maintenance of actin cytoskeleton polarity
KMXK0G01770,establishment or maintenance of actin cytoskeleton polarity
KMXK0G03570,establishment or maintenance of actin cytoskeleton polarity
KMXK0C02930,establishment or maintenance of cell polarity
KMXK0H00550,establishment or maintenance of cell polarity
KMXK0D02430,ethanol biosynthetic process involved in glucose fermentation to ethanol
KMXK0A00970,ethanol catabolic process
KMXK0D04260,ethanol catabolic process
KMXK0D03170,ethanol metabolic process
KMXK0E00190,ethanol metabolic process
KMXK0E03200,ethanol oxidation
KMXK0C05050,ethanolamine transport
KMXK0H03050,ethanolamine transport
KMXK0C03430,evasion or tolerance of defenses of other organism involved in symbiotic interaction
KMXK0F00420,evasion or tolerance of host immune response
KMXK0A06640,exit from mitosis
KMXK0B01210,exit from mitosis
KMXK0D02340,exit from mitosis
KMXK0B00900,exocyst assembly
KMXK0C01730,exocyst assembly
KMXK0E03790,exocyst assembly
KMXK0E05260,exocyst assembly
KMXK0B00900,exocyst localization
KMXK0C01730,exocyst localization
KMXK0E03790,exocyst localization
KMXK0H01660,exocyst localization
KMXK0A01280,exocytosis
KMXK0A02450,exocytosis
KMXK0A04400,exocytosis
KMXK0A05820,exocytosis
KMXK0A06700,exocytosis
KMXK0A07060,exocytosis
KMXK0A07500,exocytosis
KMXK0B07910,exocytosis
KMXK0C01120,exocytosis
KMXK0C01300,exocytosis
KMXK0C06100,exocytosis
KMXK0C06250,exocytosis
KMXK0D01800,exocytosis
KMXK0D06470,exocytosis
KMXK0F04250,exocytosis
KMXK0H00490,exocytosis
KMXK0H01280,exocytosis
KMXK0H02050,exocytosis
KMXK0H02580,exocytosis
KMXK0A03080,exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0A06330,exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0A06970,exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0B03170,exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0B06370,exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0B07040,exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0C03970,exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0D01270,exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0D01970,exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0E00630,exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0E01420,exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0E04330,exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0E06180,exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0F04680,exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0G00510,exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0G01000,exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0H03690,exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0B04950,exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
KMXK0D01620,extrachromosomal circular DNA accumulation involved in cell aging
KMXK0H04010,FAD biosynthetic process
KMXK0C06000,FAD transport
KMXK0D05890,FAD transport
KMXK0A04730,farnesyl diphosphate biosynthetic process
KMXK0E00420,farnesyl diphosphate biosynthetic process
KMXK0A05500,farnesyl diphosphate biosynthetic process, mevalonate pathway
KMXK0D04420,farnesyl diphosphate biosynthetic process, mevalonate pathway
KMXK0A06440,fatty acid beta-oxidation
KMXK0B02340,fatty acid beta-oxidation
KMXK0D00690,fatty acid beta-oxidation
KMXK0D01320,fatty acid beta-oxidation
KMXK0F04900,fatty acid beta-oxidation
KMXK0H03010,fatty acid beta-oxidation
KMXK0H04250,fatty acid beta-oxidation
KMXK0B02780,fatty acid beta-oxidation using acyl-CoA oxidase
KMXK0A02620,fatty acid biosynthetic process
KMXK0B02100,fatty acid biosynthetic process
KMXK0B03240,fatty acid biosynthetic process
KMXK0C04150,fatty acid biosynthetic process
KMXK0C04270,fatty acid biosynthetic process
KMXK0D01330,fatty acid biosynthetic process
KMXK0D05520,fatty acid biosynthetic process
KMXK0E02880,fatty acid biosynthetic process
KMXK0F01970,fatty acid biosynthetic process
KMXK0F03040,fatty acid biosynthetic process
KMXK0F05680,fatty acid biosynthetic process
KMXK0H02200,fatty acid biosynthetic process
KMXK0E05830,fatty acid catabolic process
KMXK0A06960,fatty acid elongation
KMXK0A08140,fatty acid elongation
KMXK0C03510,fatty acid elongation
KMXK0E02740,fatty acid elongation
KMXK0B08090,fatty acid metabolic process
KMXK0C01610,fatty acid metabolic process
KMXK0D01080,fatty acid metabolic process
KMXK0D06170,fatty acid metabolic process
KMXK0E01950,fatty acid metabolic process
KMXK0E03040,fatty acid metabolic process
KMXK0F00780,fatty acid metabolic process
KMXK0G02340,fatty acid metabolic process
KMXK0G02670,fatty acid metabolic process
KMXK0H01840,fatty acid metabolic process
KMXK0B06470,fatty acid oxidation
KMXK0D05600,fatty acid transmembrane transport
KMXK0B02070,fatty acid transport
KMXK0C02470,fatty acid transport
KMXK0D02880,fatty acid transport
KMXK0B00140,fermentation
KMXK0G03150,fermentation
KMXK0B01400,ferrous iron transport
KMXK0A00320,filamentous growth
KMXK0A04080,filamentous growth
KMXK0A05320,filamentous growth
KMXK0A05820,filamentous growth
KMXK0A06710,filamentous growth
KMXK0A06930,filamentous growth
KMXK0A08190,filamentous growth
KMXK0B04680,filamentous growth
KMXK0B05410,filamentous growth
KMXK0B08100,filamentous growth
KMXK0C03430,filamentous growth
KMXK0C06340,filamentous growth
KMXK0E02240,filamentous growth
KMXK0G02060,filamentous growth
KMXK0A01230,filamentous growth of a population of unicellular organisms
KMXK0B04540,filamentous growth of a population of unicellular organisms
KMXK0E00660,filamentous growth of a population of unicellular organisms
KMXK0E04790,filamentous growth of a population of unicellular organisms
KMXK0G01310,filamentous growth of a population of unicellular organisms
KMXK0A06820,filamentous growth of a population of unicellular organisms in response to biotic stimulus
KMXK0C03460,filamentous growth of a population of unicellular organisms in response to biotic stimulus
KMXK0D04650,filamentous growth of a population of unicellular organisms in response to biotic stimulus
KMXK0E01310,filamentous growth of a population of unicellular organisms in response to biotic stimulus
KMXK0E01890,filamentous growth of a population of unicellular organisms in response to biotic stimulus
KMXK0E04090,filamentous growth of a population of unicellular organisms in response to biotic stimulus
KMXK0F00240,filamentous growth of a population of unicellular organisms in response to biotic stimulus
KMXK0F03700,filamentous growth of a population of unicellular organisms in response to biotic stimulus
KMXK0G03460,filamentous growth of a population of unicellular organisms in response to biotic stimulus
KMXK0C00430,filamentous growth of a population of unicellular organisms in response to neutral pH
KMXK0C03460,filamentous growth of a population of unicellular organisms in response to neutral pH
KMXK0D01030,filamentous growth of a population of unicellular organisms in response to neutral pH
KMXK0A02830,filamentous growth of a population of unicellular organisms in response to starvation
KMXK0A06820,filamentous growth of a population of unicellular organisms in response to starvation
KMXK0D04650,filamentous growth of a population of unicellular organisms in response to starvation
KMXK0E01310,filamentous growth of a population of unicellular organisms in response to starvation
KMXK0E01890,filamentous growth of a population of unicellular organisms in response to starvation
KMXK0E04090,filamentous growth of a population of unicellular organisms in response to starvation
KMXK0F03700,filamentous growth of a population of unicellular organisms in response to starvation
KMXK0G03460,filamentous growth of a population of unicellular organisms in response to starvation
KMXK0A06590,flocculation
KMXK0B00110,flocculation
KMXK0B04410,flocculation
KMXK0C00100,flocculation
KMXK0D06590,flocculation
KMXK0E04130,flocculation
KMXK0F05740,flocculation
KMXK0G00120,flocculation
KMXK0G00130,flocculation
KMXK0G04270,flocculation
KMXK0H02550,flocculation
KMXK0C05170,FMN biosynthetic process
KMXK0A03520,folic acid biosynthetic process
KMXK0H03560,folic acid biosynthetic process
KMXK0A03280,folic acid-containing compound biosynthetic process
KMXK0A03580,folic acid-containing compound biosynthetic process
KMXK0A04190,folic acid-containing compound biosynthetic process
KMXK0F04890,folic acid-containing compound biosynthetic process
KMXK0E00910,formaldehyde catabolic process
KMXK0E03200,formaldehyde catabolic process
KMXK0B00870,formation of cytoplasmic translation initiation complex
KMXK0F03610,formation of cytoplasmic translation initiation complex
KMXK0H01120,formation of cytoplasmic translation initiation complex
KMXK0A07140,formation of translation preinitiation complex
KMXK0B00870,formation of translation preinitiation complex
KMXK0B03910,formation of translation preinitiation complex
KMXK0B07340,formation of translation preinitiation complex
KMXK0C05490,formation of translation preinitiation complex
KMXK0C05920,formation of translation preinitiation complex
KMXK0D06390,formation of translation preinitiation complex
KMXK0E03070,formation of translation preinitiation complex
KMXK0F01210,formation of translation preinitiation complex
KMXK0G00660,formation of translation preinitiation complex
KMXK0G01970,formation of translation preinitiation complex
KMXK0A04400,formin-nucleated actin cable assembly
KMXK0A07490,formin-nucleated actin cable assembly
KMXK0B02330,formin-nucleated actin cable assembly
KMXK0B00400,free ubiquitin chain depolymerization
KMXK0G03660,free ubiquitin chain depolymerization
KMXK0C00630,free ubiquitin chain polymerization
KMXK0C02940,free ubiquitin chain polymerization
KMXK0D00880,free ubiquitin chain polymerization
KMXK0F02140,free ubiquitin chain polymerization
KMXK0F05730,free ubiquitin chain polymerization
KMXK0A03230,fructan catabolic process
KMXK0E01980,fructose 2,6-bisphosphate metabolic process
KMXK0E02610,fructose 2,6-bisphosphate metabolic process
KMXK0G01620,fructose 2,6-bisphosphate metabolic process
KMXK0H01570,fructose 2,6-bisphosphate metabolic process
KMXK0H03030,fructose 2,6-bisphosphate metabolic process
KMXK0A05230,fructose 6-phosphate metabolic process
KMXK0F01020,fructose 6-phosphate metabolic process
KMXK0F01580,fructose import
KMXK0E01980,fructose metabolic process
KMXK0E02610,fructose metabolic process
KMXK0F01580,fructose metabolic process
KMXK0G01620,fructose metabolic process
KMXK0H01570,fructose metabolic process
KMXK0H03030,fructose metabolic process
KMXK0F00570,fructose transmembrane transport
KMXK0G00370,fumarate metabolic process
KMXK0G01870,fumarate transport
KMXK0C05820,fungal-type cell wall assembly
KMXK0A01520,fungal-type cell wall biogenesis
KMXK0A04410,fungal-type cell wall biogenesis
KMXK0A04950,fungal-type cell wall biogenesis
KMXK0B00590,fungal-type cell wall biogenesis
KMXK0B01780,fungal-type cell wall biogenesis
KMXK0B04330,fungal-type cell wall biogenesis
KMXK0B04520,fungal-type cell wall biogenesis
KMXK0C06000,fungal-type cell wall biogenesis
KMXK0D04040,fungal-type cell wall biogenesis
KMXK0D05890,fungal-type cell wall biogenesis
KMXK0F02860,fungal-type cell wall biogenesis
KMXK0F05620,fungal-type cell wall biogenesis
KMXK0H03260,fungal-type cell wall biogenesis
KMXK0A01840,fungal-type cell wall chitin biosynthetic process
KMXK0B01430,fungal-type cell wall chitin biosynthetic process
KMXK0B01680,fungal-type cell wall chitin biosynthetic process
KMXK0B07750,fungal-type cell wall chitin biosynthetic process
KMXK0C01590,fungal-type cell wall chitin biosynthetic process
KMXK0D04850,fungal-type cell wall chitin biosynthetic process
KMXK0F02850,fungal-type cell wall chitin biosynthetic process
KMXK0G00340,fungal-type cell wall chitin biosynthetic process
KMXK0G03630,fungal-type cell wall chitin biosynthetic process
KMXK0A01550,fungal-type cell wall organization
KMXK0A01790,fungal-type cell wall organization
KMXK0A02030,fungal-type cell wall organization
KMXK0A02190,fungal-type cell wall organization
KMXK0A02360,fungal-type cell wall organization
KMXK0A02830,fungal-type cell wall organization
KMXK0A02910,fungal-type cell wall organization
KMXK0A03710,fungal-type cell wall organization
KMXK0A04840,fungal-type cell wall organization
KMXK0A06250,fungal-type cell wall organization
KMXK0A06790,fungal-type cell wall organization
KMXK0B01090,fungal-type cell wall organization
KMXK0B04400,fungal-type cell wall organization
KMXK0B04920,fungal-type cell wall organization
KMXK0B05490,fungal-type cell wall organization
KMXK0B05640,fungal-type cell wall organization
KMXK0B06230,fungal-type cell wall organization
KMXK0B07030,fungal-type cell wall organization
KMXK0C00590,fungal-type cell wall organization
KMXK0C01120,fungal-type cell wall organization
KMXK0C02810,fungal-type cell wall organization
KMXK0C03430,fungal-type cell wall organization
KMXK0C05240,fungal-type cell wall organization
KMXK0C06090,fungal-type cell wall organization
KMXK0D00620,fungal-type cell wall organization
KMXK0D01030,fungal-type cell wall organization
KMXK0D02020,fungal-type cell wall organization
KMXK0D02380,fungal-type cell wall organization
KMXK0D04030,fungal-type cell wall organization
KMXK0D05500,fungal-type cell wall organization
KMXK0D05590,fungal-type cell wall organization
KMXK0E01880,fungal-type cell wall organization
KMXK0E02190,fungal-type cell wall organization
KMXK0E02560,fungal-type cell wall organization
KMXK0E02570,fungal-type cell wall organization
KMXK0E04120,fungal-type cell wall organization
KMXK0F00240,fungal-type cell wall organization
KMXK0F01150,fungal-type cell wall organization
KMXK0F01860,fungal-type cell wall organization
KMXK0F02270,fungal-type cell wall organization
KMXK0F02520,fungal-type cell wall organization
KMXK0F03140,fungal-type cell wall organization
KMXK0F04290,fungal-type cell wall organization
KMXK0F04550,fungal-type cell wall organization
KMXK0G01960,fungal-type cell wall organization
KMXK0G02050,fungal-type cell wall organization
KMXK0G02060,fungal-type cell wall organization
KMXK0G02180,fungal-type cell wall organization
KMXK0G03570,fungal-type cell wall organization
KMXK0G03670,fungal-type cell wall organization
KMXK0G03980,fungal-type cell wall organization
KMXK0H00590,fungal-type cell wall organization
