W29 Uniprot	Annotation GO ID	Annotation GO Term	Annotation GO Category
A0A1D8NHK1	GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	Biological Process
A0A1D8NHK1	GO:0016787	hydrolase activity	Molecular Function
A0A1D8NHK1	GO:0050896	response to stimulus	Biological Process
A0A1D8N367			
A0A1D8N368			
A0A1D8N480	GO:0016255	attachment of GPI anchor to protein	Biological Process
A0A1D8N480	GO:0042765	GPI-anchor transamidase complex	Cellular Component
A0A1D8NDA7	GO:0003677	DNA binding	Molecular Function
A0A1D8NDA7	GO:0003887	DNA-directed DNA polymerase activity	Molecular Function
A0A1D8NDA7	GO:0005829	cytosol	Cellular Component
A0A1D8NDA7	GO:0006278	RNA-dependent DNA biosynthetic process	Biological Process
A0A1D8NDA7	GO:0006279	premeiotic DNA replication	Biological Process
A0A1D8NDA7	GO:0043137	DNA replication, removal of RNA primer	Biological Process
A0A1D8NDA7	GO:0043625	delta DNA polymerase complex	Cellular Component
A0A1D8NDA7	GO:1904161	DNA synthesis involved in UV-damage excision repair	Biological Process
A0A1D8N5T8	GO:0005737	cytoplasm	Cellular Component
A0A1D8N5T8	GO:0006811	ion transport	Biological Process
A0A1D8N5T8	GO:0009987	cellular process	Biological Process
A0A1D8N5T8	GO:0016887	ATPase activity	Molecular Function
A0A1D8N5T8	GO:0032555	purine ribonucleotide binding	Molecular Function
A0A1D8N5T8	GO:0035639	purine ribonucleoside triphosphate binding	Molecular Function
A0A1D8N5T8	GO:0044425	membrane part	Cellular Component
A0A1D8N5T8	GO:0048878	chemical homeostasis	Biological Process
A0A1D8N6T2			
A0A1H6PNH8	GO:0000287	magnesium ion binding	Molecular Function
A0A1H6PNH8	GO:0002189	ribose phosphate diphosphokinase complex	Cellular Component
A0A1H6PNH8	GO:0004749	ribose phosphate diphosphokinase activity	Molecular Function
A0A1H6PNH8	GO:0005515	protein binding	Molecular Function
A0A1H6PNH8	GO:0005524	ATP binding	Molecular Function
A0A1H6PNH8	GO:0005737	cytoplasm	Cellular Component
A0A1H6PNH8	GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process	Biological Process
A0A1H6PNH8	GO:0009116	nucleoside metabolic process	Biological Process
A0A1H6PNH8	GO:0009156	ribonucleoside monophosphate biosynthetic process	Biological Process
A0A1H6PNH8	GO:0009165	nucleotide biosynthetic process	Biological Process
A0A1H6PNH8	GO:0016301	kinase activity	Molecular Function
A0A1H6PNH8	GO:0016310	phosphorylation	Biological Process
A0A1H6PNH8	GO:0031505	fungal-type cell wall organization	Biological Process
A0A1D8N4U3			
A0A1D8NKB9	GO:0005743	mitochondrial inner membrane	Cellular Component
A0A1D8NKB9	GO:0006839	mitochondrial transport	Biological Process
A0A1D8NKB9	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NKB9	GO:0022857	transmembrane transporter activity	Molecular Function
A0A1D8NKB9	GO:0055085	transmembrane transport	Biological Process
A0A1H6PT53	GO:0006974	cellular response to DNA damage stimulus	Biological Process
A0A1H6PT53	GO:0017108	5'-flap endonuclease activity	Molecular Function
A0A1H6PT53	GO:0033567	DNA replication, Okazaki fragment processing	Biological Process
A0A1H6PT53	GO:0043142	single-stranded DNA-dependent ATPase activity	Molecular Function
A0A1H6PT53	GO:0044424	intracellular part	Cellular Component
A0A1D8N5J1			
A0A1D8N4R2			
A0A1D8N8C7			
A0A1D8NAZ0			
A0A1D8ND57	GO:0000139	Golgi membrane	Cellular Component
A0A1D8ND57	GO:0015031	protein transport	Biological Process
A0A1H6PNH2	GO:0000151	ubiquitin ligase complex	Cellular Component
A0A1H6PNH2	GO:0031624	ubiquitin conjugating enzyme binding	Molecular Function
A0A1H6PNH2	GO:0032182	ubiquitin-like protein binding	Molecular Function
A0A1H6PNH2	GO:0045116	protein neddylation	Biological Process
A0A1H6PNH2	GO:0051443	positive regulation of ubiquitin-protein transferase activity	Biological Process
A0A1H6PNH2	GO:0097602	cullin family protein binding	Molecular Function
A0A1D8NPU2	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NCP5	GO:0005096	GTPase activator activity	Molecular Function
A0A1D8NCP5	GO:0010506	regulation of autophagy	Biological Process
A0A1D8NCP5	GO:0032007	negative regulation of TOR signaling	Biological Process
A0A1D8NCP5	GO:0034198	cellular response to amino acid starvation	Biological Process
A0A1D8NCP5	GO:0043547	positive regulation of GTPase activity	Biological Process
A0A1D8NCP5	GO:0097042	extrinsic component of fungal-type vacuolar membrane	Cellular Component
A0A1D8NCP5	GO:1990130	GATOR1 complex	Cellular Component
A0A1H6PRL1			
A0A1D8NC12	GO:0000329	fungal-type vacuole membrane	Cellular Component
A0A1D8NC12	GO:0006665	sphingolipid metabolic process	Biological Process
A0A1D8NC12	GO:0006869	lipid transport	Biological Process
A0A1D8NC12	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NC12	GO:0046624	sphingolipid transporter activity	Molecular Function
A0A1D8N464	GO:0005622	intracellular	Cellular Component
A0A1D8N464	GO:0032366	intracellular sterol transport	Biological Process
A0A1D8N5S2			
A0A1D8NFU4			
A0A1H6PM31	GO:0003735	structural constituent of ribosome	Molecular Function
A0A1H6PM31	GO:0006412	translation	Biological Process
A0A1H6PM31	GO:0022627	cytosolic small ribosomal subunit	Cellular Component
A0A1D8NGB0			
A0A1D8NEJ4	GO:0005886	plasma membrane	Cellular Component
A0A1D8NEJ4	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NHP4	GO:0005247	voltage-gated chloride channel activity	Molecular Function
A0A1D8NHP4	GO:0005887	integral component of plasma membrane	Cellular Component
A0A1D8NHP4	GO:1902476	chloride transmembrane transport	Biological Process
A0A1D8NIQ0	GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	Biological Process
A0A1D8NIQ0	GO:0031942	i-AAA complex	Cellular Component
A0A1D8NIQ0	GO:0051787	misfolded protein binding	Molecular Function
A0A1H6PS11	GO:0035241	protein-arginine omega-N monomethyltransferase activity	Molecular Function
A0A1H6PS11	GO:0035247	peptidyl-arginine omega-N-methylation	Biological Process
A0A1H6PX68	GO:0003723	RNA binding	Molecular Function
A0A1D8N6N8	GO:0005743	mitochondrial inner membrane	Cellular Component
A0A1D8N6N8	GO:0006839	mitochondrial transport	Biological Process
A0A1D8N6N8	GO:0022857	transmembrane transporter activity	Molecular Function
A0A1D8N6N8	GO:0031307	integral component of mitochondrial outer membrane	Cellular Component
A0A1D8N6N8	GO:0055085	transmembrane transport	Biological Process
A0A1D8N728	GO:0003723	RNA binding	Molecular Function
A0A1D8N728	GO:0003735	structural constituent of ribosome	Molecular Function
A0A1D8N728	GO:0006412	translation	Biological Process
A0A1D8N728	GO:0022625	cytosolic large ribosomal subunit	Cellular Component
A0A1D8NBD3			
A0A1H6PME7	GO:0005635	nuclear envelope	Cellular Component
A0A1H6PME7	GO:0016021	integral component of membrane	Cellular Component
A0A1H6PME7	GO:0016192	vesicle-mediated transport	Biological Process
A0A1H6PME7	GO:0032153	cell division site	Cellular Component
A0A1H6PME7	GO:0032541	cortical endoplasmic reticulum	Cellular Component
A0A1H6PME7	GO:0032581	ER-dependent peroxisome organization	Biological Process
A0A1H6PME7	GO:0034976	response to endoplasmic reticulum stress	Biological Process
A0A1H6PME7	GO:0048309	endoplasmic reticulum inheritance	Biological Process
A0A1H6PME7	GO:0051292	nuclear pore complex assembly	Biological Process
A0A1H6PME7	GO:1990809	endoplasmic reticulum tubular network membrane organization	Biological Process
A0A1H6Q7H8	GO:0006021	inositol biosynthetic process	Biological Process
A0A1H6Q7H8	GO:0007165	signal transduction	Biological Process
A0A1H6Q7H8	GO:0008934	inositol monophosphate 1-phosphatase activity	Molecular Function
A0A1H6Q7H8	GO:0046854	phosphatidylinositol phosphorylation	Biological Process
A0A1H6Q7H8	GO:0046855	inositol phosphate dephosphorylation	Biological Process
A0A1H6Q7H8	GO:0046872	metal ion binding	Molecular Function
A0A1H6Q7H8	GO:0052832	inositol monophosphate 3-phosphatase activity	Molecular Function
A0A1H6Q7H8	GO:0052833	inositol monophosphate 4-phosphatase activity	Molecular Function
A0A1H6PX44	GO:0001732	formation of cytoplasmic translation initiation complex	Biological Process
A0A1H6PX44	GO:0003743	translation initiation factor activity	Molecular Function
A0A1H6PX44	GO:0016282	eukaryotic 43S preinitiation complex	Cellular Component
A0A1H6PX44	GO:0033290	eukaryotic 48S preinitiation complex	Cellular Component
A0A1H6PX44	GO:0034399	nuclear periphery	Cellular Component
A0A1H6PX44	GO:0071470	cellular response to osmotic stress	Biological Process
A0A1H6PX44	GO:0071540	eukaryotic translation initiation factor 3 complex, eIF3e	Cellular Component
A0A1H6PX44	GO:0071541	eukaryotic translation initiation factor 3 complex, eIF3m	Cellular Component
A0A1D8NDL4	GO:0004725	protein tyrosine phosphatase activity	Molecular Function
A0A1D8NDL4	GO:0005737	cytoplasm	Cellular Component
A0A1D8NDL4	GO:0006897	endocytosis	Biological Process
A0A1D8NDL4	GO:0007015	actin filament organization	Biological Process
A0A1D8NDL4	GO:0035335	peptidyl-tyrosine dephosphorylation	Biological Process
A0A1D8NEC3	GO:0044429	mitochondrial part	Cellular Component
A0A1H6Q4X8	GO:0016021	integral component of membrane	Cellular Component
A0A1D8N3Q5			
A0A1D8NAZ1	GO:0046983	protein dimerization activity	Molecular Function
A0A1H6PPZ3	GO:0003723	RNA binding	Molecular Function
A0A1H6PPZ3	GO:0005515	protein binding	Molecular Function
A0A1H6PPZ3	GO:0005634	nucleus	Cellular Component
A0A1H6PPZ3	GO:0006397	mRNA processing	Biological Process
A0A1H6PPZ3	GO:1990446	U1 snRNP binding	Molecular Function
A0A1D8N3Y6	GO:0000307	cyclin-dependent protein kinase holoenzyme complex	Cellular Component
A0A1D8N3Y6	GO:0005634	nucleus	Cellular Component
A0A1D8N3Y6	GO:0016538	cyclin-dependent protein serine/threonine kinase regulator activity	Molecular Function
A0A1D8N3Y6	GO:0045737	positive regulation of cyclin-dependent protein serine/threonine kinase activity	Biological Process
A0A1D8N3Y6	GO:0045944	positive regulation of transcription by RNA polymerase II	Biological Process
A0A1D8N3Y6	GO:1901409	positive regulation of phosphorylation of RNA polymerase II C-terminal domain	Biological Process
A0A1H6PNF8	GO:0004418	hydroxymethylbilane synthase activity	Molecular Function
A0A1H6PNF8	GO:0005737	cytoplasm	Cellular Component
A0A1H6PNF8	GO:0006782	protoporphyrinogen IX biosynthetic process	Biological Process
A0A1H6PNF8	GO:0018160	peptidyl-pyrromethane cofactor linkage	Biological Process
A0A1H6PYT0	GO:0004001	adenosine kinase activity	Molecular Function
A0A1H6PYT0	GO:0006166	purine ribonucleoside salvage	Biological Process
A0A1H6PYT0	GO:0006167	AMP biosynthetic process	Biological Process
A0A1H6PYT0	GO:0035690	cellular response to drug	Biological Process
A0A1H6PYT0	GO:0062040	fungal biofilm matrix	Cellular Component
A0A1D8N519	GO:0004022	alcohol dehydrogenase (NAD) activity	Molecular Function
A0A1D8N519	GO:0005737	cytoplasm	Cellular Component
A0A1D8N519	GO:0006067	ethanol metabolic process	Biological Process
A0A1D8N519	GO:0006116	NADH oxidation	Biological Process
A0A1D8N519	GO:0008270	zinc ion binding	Molecular Function
A0A1D8N6C2	GO:0005737	cytoplasm	Cellular Component
A0A1D8N6C2	GO:0034599	cellular response to oxidative stress	Biological Process
A0A1D8NAB1	GO:0003746	translation elongation factor activity	Molecular Function
A0A1D8NAB1	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	Molecular Function
A0A1D8NAB1	GO:0003924	GTPase activity	Molecular Function
A0A1D8NAB1	GO:0005525	GTP binding	Molecular Function
A0A1D8NAB1	GO:0005737	cytoplasm	Cellular Component
A0A1D8NAB1	GO:0006351	transcription, DNA-templated	Biological Process
A0A1D8NAB1	GO:0006414	translational elongation	Biological Process
A0A1D8NAB1	GO:0008270	zinc ion binding	Molecular Function
A0A1D8NIV2	GO:0000281	mitotic cytokinesis	Biological Process
A0A1D8NIV2	GO:0000921	septin ring assembly	Biological Process
A0A1D8NIV2	GO:0005525	GTP binding	Molecular Function
A0A1D8NIV2	GO:0032151	mitotic septin complex	Cellular Component
A0A1D8NIV2	GO:0036391	medial cortex septin ring	Cellular Component
A0A1D8NIV2	GO:0120104	actomyosin contractile ring, proximal layer	Cellular Component
A0A1H6Q6B6	GO:0004375	glycine dehydrogenase (decarboxylating) activity	Molecular Function
A0A1H6Q6B6	GO:0005739	mitochondrion	Cellular Component
A0A1H6Q6B6	GO:0005960	glycine cleavage complex	Cellular Component
A0A1H6Q6B6	GO:0006730	one-carbon metabolic process	Biological Process
A0A1H6Q6B6	GO:0009249	protein lipoylation	Biological Process
A0A1H6Q6B6	GO:0019464	glycine decarboxylation via glycine cleavage system	Biological Process
A0A1H6Q6B6	GO:0055114	oxidation-reduction process	Biological Process
A0A1D8N784	GO:0001522	pseudouridine synthesis	Biological Process
A0A1D8N784	GO:0042254	ribosome biogenesis	Biological Process
A0A1D8NPX8			
A0A1D8NEX5	GO:0003729	mRNA binding	Molecular Function
A0A1D8NEX5	GO:0010494	cytoplasmic stress granule	Cellular Component
A0A1D8NEX5	GO:0010629	negative regulation of gene expression	Biological Process
A0A1D8NEX5	GO:0022626	cytosolic ribosome	Cellular Component
A0A1D8NEX5	GO:0035551	protein initiator methionine removal involved in protein maturation	Biological Process
A0A1D8NEX5	GO:0046872	metal ion binding	Molecular Function
A0A1D8NEX5	GO:0070006	metalloaminopeptidase activity	Molecular Function
A0A1D8NCQ1	GO:0004072	aspartate kinase activity	Molecular Function
A0A1D8NCQ1	GO:0004412	homoserine dehydrogenase activity	Molecular Function
A0A1D8NCQ1	GO:0005737	cytoplasm	Cellular Component
A0A1D8NCQ1	GO:0009086	methionine biosynthetic process	Biological Process
A0A1D8NCQ1	GO:0009088	threonine biosynthetic process	Biological Process
A0A1D8NCQ1	GO:0009090	homoserine biosynthetic process	Biological Process
A0A1D8NCQ1	GO:0009097	isoleucine biosynthetic process	Biological Process
A0A1D8NCQ1	GO:0016310	phosphorylation	Biological Process
A0A1D8NCQ1	GO:0050661	NADP binding	Molecular Function
A0A1D8NCQ1	GO:0055114	oxidation-reduction process	Biological Process
A0A1D8NFM2	GO:0005739	mitochondrion	Cellular Component
A0A1D8NFW2	GO:0005654	nucleoplasm	Cellular Component
A0A1D8NFW2	GO:0034080	CENP-A containing nucleosome assembly	Biological Process
A0A1D8NFW2	GO:0070827	chromatin maintenance	Biological Process
A0A1D8NKP9	GO:0003677	DNA binding	Molecular Function
A0A1D8NKP9	GO:0005634	nucleus	Cellular Component
A0A1D8NKP9	GO:0006351	transcription, DNA-templated	Biological Process
A0A1D8NKP9	GO:0008270	zinc ion binding	Molecular Function
A0A1D8N5M7	GO:0009987	cellular process	Biological Process
A0A1D8N5M7	GO:0043229	intracellular organelle	Cellular Component
A0A1H6Q1Y3	GO:0005743	mitochondrial inner membrane	Cellular Component
A0A1H6Q1Y3	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NMT8	GO:0003735	structural constituent of ribosome	Molecular Function
A0A1D8NMT8	GO:0005763	mitochondrial small ribosomal subunit	Cellular Component
A0A1D8NMT8	GO:0032543	mitochondrial translation	Biological Process
A0A1D8NG86	GO:0046872	metal ion binding	Molecular Function
A0A1D8NG86	GO:0048188	Set1C/COMPASS complex	Cellular Component
A0A1D8NJK7			
A0A1D8NQL2	GO:0016779	nucleotidyltransferase activity	Molecular Function
A0A1D8NJM3			
A0A1H6PTX4	GO:0000398	mRNA splicing, via spliceosome	Biological Process
A0A1H6PTX4	GO:0000974	Prp19 complex	Cellular Component
A0A1H6PTX4	GO:0071013	catalytic step 2 spliceosome	Cellular Component
A0A1H6PTX4	GO:0071014	post-mRNA release spliceosomal complex	Cellular Component
A0A1H6PQ19	GO:0000287	magnesium ion binding	Molecular Function
A0A1H6PQ19	GO:0003723	RNA binding	Molecular Function
A0A1H6PQ19	GO:0004826	phenylalanine-tRNA ligase activity	Molecular Function
A0A1H6PQ19	GO:0005524	ATP binding	Molecular Function
A0A1H6PQ19	GO:0006432	phenylalanyl-tRNA aminoacylation	Biological Process
A0A1H6PQ19	GO:0009328	phenylalanine-tRNA ligase complex	Cellular Component
A0A1H6PQ19	GO:0035690	cellular response to drug	Biological Process
A0A1D8NFB2	GO:0016740	transferase activity	Molecular Function
A0A1H6PUX5	GO:0005506	iron ion binding	Molecular Function
A0A1H6PUX5	GO:0016021	integral component of membrane	Cellular Component
A0A1H6PUX5	GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	Molecular Function
A0A1H6PUX5	GO:0020037	heme binding	Molecular Function
A0A1H6PUX5	GO:0055114	oxidation-reduction process	Biological Process
A0A1D8N3P7			
A0A1D8NKK6	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	Biological Process
A0A1D8NKK6	GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	Biological Process
A0A1D8NKK6	GO:0003723	RNA binding	Molecular Function
A0A1D8NKK6	GO:0005730	nucleolus	Cellular Component
A0A1D8NKK6	GO:0006397	mRNA processing	Biological Process
A0A1D8NKK6	GO:0032040	small-subunit processome	Cellular Component
A0A1D8N4C9	GO:0003934	GTP cyclohydrolase I activity	Molecular Function
A0A1D8N4C9	GO:0005525	GTP binding	Molecular Function
A0A1D8N4C9	GO:0005737	cytoplasm	Cellular Component
A0A1D8N4C9	GO:0006729	tetrahydrobiopterin biosynthetic process	Biological Process
A0A1D8N4C9	GO:0008270	zinc ion binding	Molecular Function
A0A1D8N4C9	GO:0046654	tetrahydrofolate biosynthetic process	Biological Process
A0A1D8NKD0	GO:0000166	nucleotide binding	Molecular Function
A0A1D8NKD0	GO:0003723	RNA binding	Molecular Function
A0A1D8NKD0	GO:0004518	nuclease activity	Molecular Function
A0A1D8NKD0	GO:0005634	nucleus	Cellular Component
A0A1D8NKD0	GO:0006353	DNA-templated transcription, termination	Biological Process
A0A1D8NKD0	GO:0006355	regulation of transcription, DNA-templated	Biological Process
A0A1D8NKD0	GO:0006364	rRNA processing	Biological Process
A0A1D8NKD0	GO:0006397	mRNA processing	Biological Process
A0A1D8NKD0	GO:0006401	RNA catabolic process	Biological Process
A0A1D8NKD0	GO:0046872	metal ion binding	Molecular Function
A0A1D8NKD0	GO:0090305	nucleic acid phosphodiester bond hydrolysis	Biological Process
A0A1D8NGK7	GO:0003723	RNA binding	Molecular Function
A0A1D8NGK7	GO:0003735	structural constituent of ribosome	Molecular Function
A0A1D8NGK7	GO:0006412	translation	Biological Process
A0A1D8NGK7	GO:0022625	cytosolic large ribosomal subunit	Cellular Component
A0A1D8NGK7	GO:0042273	ribosomal large subunit biogenesis	Biological Process
A0A1D8NDH8	GO:0000176	nuclear exosome (RNase complex)	Cellular Component
A0A1D8NDH8	GO:0000177	cytoplasmic exosome (RNase complex)	Cellular Component
A0A1D8NDH8	GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	Biological Process
A0A1D8NDH8	GO:0000790	nuclear chromatin	Cellular Component
A0A1D8NDH8	GO:0005730	nucleolus	Cellular Component
A0A1D8NDH8	GO:0005840	ribosome	Cellular Component
A0A1D8NDH8	GO:0016075	rRNA catabolic process	Biological Process
A0A1D8NDH8	GO:0030847	termination of RNA polymerase II transcription, exosome-dependent	Biological Process
A0A1D8NDH8	GO:0034473	U1 snRNA 3'-end processing	Biological Process
A0A1D8NDH8	GO:0034475	U4 snRNA 3'-end processing	Biological Process
A0A1D8NDH8	GO:0034476	U5 snRNA 3'-end processing	Biological Process
A0A1D8NDH8	GO:0070478	nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay	Biological Process
A0A1D8NDH8	GO:0071031	nuclear mRNA surveillance of mRNA 3'-end processing	Biological Process
A0A1D8NDH8	GO:0071038	nuclear polyadenylation-dependent tRNA catabolic process	Biological Process
A0A1D8NDH8	GO:0071039	nuclear polyadenylation-dependent CUT catabolic process	Biological Process
A0A1D8NDH8	GO:0071051	polyadenylation-dependent snoRNA 3'-end processing	Biological Process
A0A1D8N4S4			
A0A1D8N7Q4			
A0A1D8NMK5	GO:0004596	peptide alpha-N-acetyltransferase activity	Molecular Function
A0A1D8NMK5	GO:0006474	N-terminal protein amino acid acetylation	Biological Process
A0A1D8NMK5	GO:0031417	NatC complex	Cellular Component
A0A1H6PVI8	GO:0003676	nucleic acid binding	Molecular Function
A0A1D8N3Y4			
A0A1D8NEH0			
A0A1H6PS76	GO:0003677	DNA binding	Molecular Function
A0A1H6PS76	GO:0005634	nucleus	Cellular Component
A0A1H6PS76	GO:0006351	transcription, DNA-templated	Biological Process
A0A1H6PS76	GO:0008270	zinc ion binding	Molecular Function
A0A1D8N587	GO:0000055	ribosomal large subunit export from nucleus	Biological Process
A0A1D8N587	GO:0000056	ribosomal small subunit export from nucleus	Biological Process
A0A1D8N587	GO:0003723	RNA binding	Molecular Function
A0A1D8N587	GO:0005643	nuclear pore	Cellular Component
A0A1D8N587	GO:0005730	nucleolus	Cellular Component
A0A1D8N587	GO:0005737	cytoplasm	Cellular Component
A0A1D8N587	GO:0016973	poly(A)+ mRNA export from nucleus	Biological Process
A0A1D8N587	GO:0042272	nuclear RNA export factor complex	Cellular Component
A0A1D8NDH4			
A0A1H6PPY5	GO:0003735	structural constituent of ribosome	Molecular Function
A0A1H6PPY5	GO:0005840	ribosome	Cellular Component
A0A1H6PPY5	GO:0006412	translation	Biological Process
A0A1H6PVK8	GO:0000778	condensed nuclear chromosome kinetochore	Cellular Component
A0A1H6PVK8	GO:0032091	negative regulation of protein binding	Biological Process
A0A1H6PVK8	GO:0033597	mitotic checkpoint complex	Cellular Component
A0A1H6PVK8	GO:0034613	cellular protein localization	Biological Process
A0A1H6PVK8	GO:0043130	ubiquitin binding	Molecular Function
A0A1H6PVK8	GO:0072480	signal transduction involved in mitotic spindle assembly checkpoint	Biological Process
A0A1H6PVK8	GO:1990298	bub1-bub3 complex	Cellular Component
A0A1D8NBB6			
A0A1D8NHE9	GO:0000049	tRNA binding	Molecular Function
A0A1D8NHE9	GO:0002127	tRNA wobble base cytosine methylation	Biological Process
A0A1D8NHE9	GO:0005634	nucleus	Cellular Component
A0A1D8NHE9	GO:0005737	cytoplasm	Cellular Component
A0A1D8NHE9	GO:0016428	tRNA (cytosine-5-)-methyltransferase activity	Molecular Function
A0A1D8NHE9	GO:0070301	cellular response to hydrogen peroxide	Biological Process
A0A1D8NIS3			
A0A1D8NBN8			
A0A1D8NNG3	GO:0000028	ribosomal small subunit assembly	Biological Process
A0A1D8NNG3	GO:0003735	structural constituent of ribosome	Molecular Function
A0A1D8NNG3	GO:0006412	translation	Biological Process
A0A1D8NNG3	GO:0022627	cytosolic small ribosomal subunit	Cellular Component
A0A1D8N796	GO:0004497	monooxygenase activity	Molecular Function
A0A1D8N796	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	Molecular Function
A0A1D8N796	GO:0055114	oxidation-reduction process	Biological Process
A0A1D8NAN2			
A0A1D8NED2			
A0A1D8N3X4			
A0A1D8NA43			
A0A1D8NC27	GO:0000281	mitotic cytokinesis	Biological Process
A0A1D8NC27	GO:0000921	septin ring assembly	Biological Process
A0A1D8NC27	GO:0005525	GTP binding	Molecular Function
A0A1D8NC27	GO:0016787	hydrolase activity	Molecular Function
A0A1D8NC27	GO:0030428	cell septum	Cellular Component
A0A1D8NC27	GO:0032151	mitotic septin complex	Cellular Component
A0A1D8NC27	GO:0036391	medial cortex septin ring	Cellular Component
A0A1D8NC27	GO:0070583	spore membrane bending pathway	Biological Process
A0A1D8NC27	GO:0120104	actomyosin contractile ring, proximal layer	Cellular Component
A0A1D8NCD7			
A0A1D8NQH8	GO:0005730	nucleolus	Cellular Component
A0A1D8NQH8	GO:0016433	rRNA (adenine) methyltransferase activity	Molecular Function
A0A1D8NQH8	GO:0031167	rRNA methylation	Biological Process
A0A1H6PXL3	GO:0000139	Golgi membrane	Cellular Component
A0A1H6PXL3	GO:0006487	protein N-linked glycosylation	Biological Process
A0A1H6PXL3	GO:0009272	fungal-type cell wall biogenesis	Biological Process
A0A1H6PXL3	GO:0016021	integral component of membrane	Cellular Component
A0A1H6PXL3	GO:0031278	alpha-1,2-galactosyltransferase activity	Molecular Function
A0A1H6PXL3	GO:0042125	protein galactosylation	Biological Process
A0A1D8N5N2			
A0A1D8N6L5	GO:0003676	nucleic acid binding	Molecular Function
A0A1D8NBP0			
A0A1D8N8Y0	GO:0016021	integral component of membrane	Cellular Component
A0A1H6PVA9	GO:0000502	proteasome complex	Cellular Component
A0A1H6PVA9	GO:0005634	nucleus	Cellular Component
A0A1H6PVA9	GO:0005829	cytosol	Cellular Component
A0A1H6PVA9	GO:0043248	proteasome assembly	Biological Process
A0A1D8NB39	GO:0005743	mitochondrial inner membrane	Cellular Component
A0A1D8NB39	GO:0007007	inner mitochondrial membrane organization	Biological Process
A0A1D8NB39	GO:0008654	phospholipid biosynthetic process	Biological Process
A0A1D8NB39	GO:0031307	integral component of mitochondrial outer membrane	Cellular Component
A0A1D8NB39	GO:0035965	cardiolipin acyl-chain remodeling	Biological Process
A0A1D8NB39	GO:0042775	mitochondrial ATP synthesis coupled electron transport	Biological Process
A0A1D8NB39	GO:0047184	1-acylglycerophosphocholine O-acyltransferase activity	Molecular Function
A0A1D8NB39	GO:0097250	mitochondrial respiratory chain supercomplex assembly	Biological Process
A0A1D8N6I8	GO:0004674	protein serine/threonine kinase activity	Molecular Function
A0A1D8N6I8	GO:0005524	ATP binding	Molecular Function
A0A1D8N6I8	GO:0005773	vacuole	Cellular Component
A0A1D8N6I8	GO:0006468	protein phosphorylation	Biological Process
A0A1D8N6I8	GO:0006624	vacuolar protein processing	Biological Process
A0A1D8N6I8	GO:0032889	regulation of vacuole fusion, non-autophagic	Biological Process
A0A1D8NAR4			
A0A1H6PS55			
A0A1D8NNK5	GO:0000973	posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery	Biological Process
A0A1D8NNK5	GO:0003690	double-stranded DNA binding	Molecular Function
A0A1D8NNK5	GO:0003723	RNA binding	Molecular Function
A0A1D8NNK5	GO:0005643	nuclear pore	Cellular Component
A0A1D8NNK5	GO:0006368	transcription elongation from RNA polymerase II promoter	Biological Process
A0A1D8NNK5	GO:0016973	poly(A)+ mRNA export from nucleus	Biological Process
A0A1D8NNK5	GO:0035327	transcriptionally active chromatin	Cellular Component
A0A1D8NNK5	GO:0070390	transcription export complex 2	Cellular Component
A0A1D8NNK5	GO:0071033	nuclear retention of pre-mRNA at the site of transcription	Biological Process
A0A1H6PZ82	GO:0016021	integral component of membrane	Cellular Component
A0A1H6Q0C4	GO:0016021	integral component of membrane	Cellular Component
A0A1H6Q0C4	GO:0055085	transmembrane transport	Biological Process
A0A1D8N6H7			
A0A1D8NNY3	GO:0005576	extracellular region	Cellular Component
A0A1D8NNY3	GO:0006078	(1->6)-beta-D-glucan biosynthetic process	Biological Process
A0A1D8NNY3	GO:0031505	fungal-type cell wall organization	Biological Process
A0A1D8NNY3	GO:0042546	cell wall biogenesis	Biological Process
A0A1D8NNY3	GO:0050896	response to stimulus	Biological Process
A0A1D8NNX6			
A0A1H6PT00			
A0A1D8NAT6			
A0A1D8NER7	GO:0019825	oxygen binding	Molecular Function
A0A1D8NER7	GO:0020037	heme binding	Molecular Function
A0A1D8NBY3	GO:0000045	autophagosome assembly	Biological Process
A0A1D8NBY3	GO:0000407	phagophore assembly site	Cellular Component
