genes	Goterms	Annotation GO Category
A0A1D8NKB8	"RNA phosphodiester bond hydrolysis, endonucleolytic"	Biological Process
A0A1H6PVL3	transaminase activity	Molecular Function
A0A1H6PVL3	biosynthetic process	Biological Process
A0A1H6PVL3	pyridoxal phosphate binding	Molecular Function
A0A1D8N889	cytoplasmic dynein complex	Cellular Component
A0A1D8N889	"ATP-dependent microtubule motor activity, plus-end-directed"	Molecular Function
A0A1D8N889	transport along microtubule	Biological Process
A0A1D8N889	dynein light chain binding	Molecular Function
A0A1D8N889	dynein heavy chain binding	Molecular Function
A0A1D8N889	"positive regulation of ATP-dependent microtubule motor activity, plus-end-directed"	Biological Process
A0A1D8NA47		
A0A1D8NIG5	ATP binding	Molecular Function
A0A1D8NIG5	plasma membrane	Cellular Component
A0A1D8NIG5	integral component of membrane	Cellular Component
A0A1D8NIG5	"ATPase activity, coupled to transmembrane movement of substances"	Molecular Function
A0A1D8NIG5	transmembrane transport	Biological Process
A0A1D8NL80	hydrolase activity	Molecular Function
A0A1D8NFR0		
A0A1D8NG12		
A0A1D8NI90		
A0A1D8N3C1		
A0A1H6PV26		
A0A1D8NNY8	proteasome assembly	Biological Process
A0A1D8NNY8	proteasome binding	Molecular Function
A0A1H6Q5H9	endoplasmic reticulum membrane	Cellular Component
A0A1H6Q5H9	integral component of membrane	Cellular Component
A0A1D8N6U7		
A0A1D8NGX2	integral component of membrane	Cellular Component
A0A1D8NGX2	myosin binding	Molecular Function
A0A1D8NNQ3	nuclear chromatin	Cellular Component
A0A1D8NNQ3	RNA polymerase II proximal promoter sequence-specific DNA binding	Molecular Function
A0A1D8NNQ3	"proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific"	Molecular Function
A0A1D8NNQ3	asparaginase activity	Molecular Function
A0A1D8NNQ3	cytoplasm	Cellular Component
A0A1D8NNQ3	asparagine catabolic process	Biological Process
A0A1D8NNQ3	MBF transcription complex	Cellular Component
A0A1D8NNQ3	positive regulation of transcription by RNA polymerase II	Biological Process
A0A1D8NNQ3	positive regulation of transcription involved in G1/S transition of mitotic cell cycle	Biological Process
A0A1D8N727		
A0A1D8NA78	hydrolase activity	Molecular Function
A0A1D8NDK8	ferroxidase activity	Molecular Function
A0A1D8NDK8	iron ion transmembrane transporter activity	Molecular Function
A0A1D8NDK8	copper ion binding	Molecular Function
A0A1D8NDK8	iron assimilation by reduction and transport	Biological Process
A0A1D8NDK8	high-affinity iron permease complex	Cellular Component
A0A1D8NDK8	iron ion transmembrane transport	Biological Process
A0A1D8NDK8	oxidation-reduction process	Biological Process
A0A1H6PSW5	anaphase-promoting complex	Cellular Component
A0A1H6PSW5	ubiquitin-dependent protein catabolic process	Biological Process
A0A1H6PSW5	protein ubiquitination	Biological Process
A0A1H6PSW5	ubiquitin protein ligase binding	Molecular Function
A0A1H6PSW5	ubiquitin protein ligase activity	Molecular Function
A0A1D8NPU4	structural constituent of ribosome	Molecular Function
A0A1D8NPU4	mitochondrial large ribosomal subunit	Cellular Component
A0A1D8NPU4	translation	Biological Process
A0A1D8N9S7	integral component of membrane	Cellular Component
A0A1D8NCX3		
A0A1D8NE14		
A0A1H6PQX3		
A0A1H6PI41	P-body	Cellular Component
A0A1H6PI41	nucleic acid binding	Molecular Function
A0A1H6PI41	poly(A)-specific ribonuclease activity	Molecular Function
A0A1H6PI41	negative regulation of translation	Biological Process
A0A1H6PI41	CCR4-NOT core complex	Cellular Component
A0A1H6PI41	exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay	Biological Process
A0A1H6PI41	"RNA phosphodiester bond hydrolysis, exonucleolytic"	Biological Process
A0A1D8NNT2		
A0A1D8NLL3	integral component of membrane	Cellular Component
A0A1D8NAP9		
A0A1D8NGY2	thioredoxin-disulfide reductase activity	Molecular Function
A0A1D8NGY2	cytoplasm	Cellular Component
A0A1D8NGY2	protein disulfide oxidoreductase activity	Molecular Function
A0A1D8NGY2	"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor"	Molecular Function
A0A1D8NGY2	cellular response to oxidative stress	Biological Process
A0A1D8NGY2	cell redox homeostasis	Biological Process
A0A1D8NGY2	protein-disulfide reductase activity	Molecular Function
A0A1D8NGY2	oxidation-reduction process	Biological Process
A0A1D8NGY2	cellular oxidant detoxification	Biological Process
A0A1D8N8Z4	metabolic process	Biological Process
A0A1D8N8Z4	lyase activity	Molecular Function
A0A1D8N6N0	structural constituent of ribosome	Molecular Function
A0A1D8N6N0	translation	Biological Process
A0A1D8N6N0	cytosolic large ribosomal subunit	Cellular Component
A0A1D8NH38	nucleotide binding	Molecular Function
A0A1D8NH38	3'-5'-exoribonuclease activity	Molecular Function
A0A1D8NH38	nuclear exosome (RNase complex)	Cellular Component
A0A1D8NH38	"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	Biological Process
A0A1D8NH38	posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery	Biological Process
A0A1D8NH38	nucleic acid binding	Molecular Function
A0A1D8NH38	nucleolus	Cellular Component
A0A1D8NH38	U1 snRNA 3'-end processing	Biological Process
A0A1D8NH38	U4 snRNA 3'-end processing	Biological Process
A0A1D8NH38	U5 snRNA 3'-end processing	Biological Process
A0A1D8NH38	nuclear polyadenylation-dependent rRNA catabolic process	Biological Process
A0A1D8NH38	nuclear polyadenylation-dependent snoRNA catabolic process	Biological Process
A0A1D8NH38	nuclear polyadenylation-dependent snRNA catabolic process	Biological Process
A0A1D8NH38	nuclear polyadenylation-dependent tRNA catabolic process	Biological Process
A0A1D8NH38	nuclear polyadenylation-dependent CUT catabolic process	Biological Process
A0A1D8NH38	nuclear polyadenylation-dependent antisense transcript catabolic process	Biological Process
A0A1D8NH38	nuclear polyadenylation-dependent mRNA catabolic process	Biological Process
A0A1D8NH38	histone mRNA catabolic process	Biological Process
A0A1D8NH38	nuclear retention of pre-mRNA with aberrant 3'-ends at the site of transcription	Biological Process
A0A1D8NH38	polyadenylation-dependent snoRNA 3'-end processing	Biological Process
A0A1H6Q0N5		
A0A1D8N5I9	nuclear chromatin	Cellular Component
A0A1D8N5I9	RNA polymerase II proximal promoter sequence-specific DNA binding	Molecular Function
A0A1D8N5I9	"proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific"	Molecular Function
A0A1D8N5I9	asparaginase activity	Molecular Function
A0A1D8N5I9	cytoplasm	Cellular Component
A0A1D8N5I9	asparagine catabolic process	Biological Process
A0A1D8N5I9	MBF transcription complex	Cellular Component
A0A1D8N5I9	positive regulation of transcription by RNA polymerase II	Biological Process
A0A1D8N5I9	positive regulation of transcription involved in G1/S transition of mitotic cell cycle	Biological Process
A0A1D8NAS1	"DNA-binding transcription factor activity, RNA polymerase II-specific"	Molecular Function
A0A1D8NAS1	nucleus	Cellular Component
A0A1D8NAS1	regulation of transcription by RNA polymerase II	Biological Process
A0A1D8NAS1	zinc ion binding	Molecular Function
A0A1D8NCC3		
A0A1D8N7A8		
A0A1D8NDV5		
A0A1D8NJE5	catalytic activity	Molecular Function
A0A1D8NFD6		
A0A1D8NMT1		
A0A1H6PQQ4	nucleus	Cellular Component
A0A1H6PQQ4	cytoplasm	Cellular Component
A0A1H6PQQ4	regulation of microtubule-based process	Biological Process
A0A1H6PNB5	SAGA complex	Cellular Component
A0A1H6PNB5	P-body	Cellular Component
A0A1H6PNB5	posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery	Biological Process
A0A1H6PNB5	chromatin binding	Molecular Function
A0A1H6PNB5	transcription coactivator activity	Molecular Function
A0A1H6PNB5	protein binding	Molecular Function
A0A1H6PNB5	nuclear pore	Cellular Component
A0A1H6PNB5	transcription elongation from RNA polymerase II promoter	Biological Process
A0A1H6PNB5	enzyme activator activity	Molecular Function
A0A1H6PNB5	histone deubiquitination	Biological Process
A0A1H6PNB5	poly(A)+ mRNA export from nucleus	Biological Process
A0A1H6PNB5	regulation of protein localization	Biological Process
A0A1H6PNB5	histone H3-K79 methylation	Biological Process
A0A1H6PNB5	positive regulation of catalytic activity	Biological Process
A0A1H6PNB5	positive regulation of transcription by RNA polymerase II	Biological Process
A0A1H6PNB5	histone H3-K4 methylation	Biological Process
A0A1H6PNB5	transcription export complex 2	Cellular Component
A0A1H6PNB5	nuclear retention of pre-mRNA at the site of transcription	Biological Process
A0A1H6PNB5	DUBm complex	Cellular Component
A0A1D8NMH0	amino acid transmembrane transport	Biological Process
A0A1D8NMH0	amino acid transmembrane transporter activity	Molecular Function
A0A1D8NMH0	integral component of membrane	Cellular Component
A0A1D8NJ04	transcription coactivator activity	Molecular Function
A0A1D8NJ04	nucleus	Cellular Component
A0A1D8NJ04	zinc ion binding	Molecular Function
A0A1D8NJ04	"positive regulation of transcription, DNA-templated"	Biological Process
A0A1D8NL74		
A0A1D8N3J4	microtubule cytoskeleton organization	Biological Process
A0A1D8N3J4	actin binding	Molecular Function
A0A1D8N3J4	structural molecule activity	Molecular Function
A0A1D8N3J4	cytosol	Cellular Component
A0A1D8N3J4	Arp2/3 protein complex	Cellular Component
A0A1D8N3J4	receptor-mediated endocytosis	Biological Process
A0A1D8N3J4	actin cortical patch	Cellular Component
A0A1D8N3J4	Arp2/3 complex-mediated actin nucleation	Biological Process
A0A1D8N5E8	4-alpha-glucanotransferase activity	Molecular Function
A0A1D8N5E8	"amylo-alpha-1,6-glucosidase activity"	Molecular Function
A0A1D8N5E8	glycogen biosynthetic process	Biological Process
A0A1D8N5E8	glycogen catabolic process	Biological Process
A0A1D8N5N0	nucleotide-excision repair factor 2 complex	Cellular Component
A0A1D8N5N0	structural constituent of cytoskeleton	Molecular Function
A0A1D8N5N0	calcium ion binding	Molecular Function
A0A1D8N5N0	microtubule nucleation	Biological Process
A0A1D8N5N0	identical protein binding	Molecular Function
A0A1D8N5N0	proteasome-mediated ubiquitin-dependent protein catabolic process	Biological Process
A0A1D8N5N0	regulation of kinase activity	Biological Process
A0A1D8N5N0	cell division	Biological Process
A0A1D8N5N0	half bridge of mitotic spindle pole body	Cellular Component
A0A1D8N5N0	transcription export complex 2	Cellular Component
A0A1D8N5N0	mitotic spindle pole body duplication	Biological Process
A0A1D8NP75	lysophospholipase activity	Molecular Function
A0A1D8NP75	phospholipid catabolic process	Biological Process
A0A1D8N7B5	nucleic acid binding	Molecular Function
A0A1D8N7B5	ATP binding	Molecular Function
A0A1D8N5H8	integral component of plasma membrane	Cellular Component
A0A1D8N5H8	amino acid transport	Biological Process
A0A1D8N5H8	cation transmembrane transporter activity	Molecular Function
A0A1D8N5H8	L-amino acid transmembrane transporter activity	Molecular Function
A0A1D8N5H8	antiporter activity	Molecular Function
A0A1D8N5H8	transmembrane transport	Biological Process
A0A1D8N9I0	protein dimerization activity	Molecular Function
A0A1D8NA60		
A0A1D8NB76		
A0A1D8NE99		
A0A1D8NKR4	integral component of membrane	Cellular Component
A0A1D8NH80		
A0A1D8NP02		
A0A1D8NKE5		
A0A1D8NCI6	homoserine O-acetyltransferase activity	Molecular Function
A0A1D8NCI6	cytoplasm	Cellular Component
A0A1D8NCI6	methionine biosynthetic process	Biological Process
A0A1D8NCI6	homoserine metabolic process	Biological Process
A0A1D8NII0		
A0A1H6PT82	regulation of cyclin-dependent protein serine/threonine kinase activity	Biological Process
A0A1H6PT82	protein kinase binding	Molecular Function
A0A1D8NIQ6		
A0A1D8NMZ9	intracellular part	Cellular Component
A0A1D8NMZ9	protein dimerization activity	Molecular Function
A0A1D8NMZ9	regulation of cellular process	Biological Process
A0A1D8NMZ9	cellular response to stimulus	Biological Process
A0A1H6PU84		
A0A1H6PXV3	protein farnesyltransferase activity	Molecular Function
A0A1H6PXV3	protein farnesyltransferase complex	Cellular Component
A0A1H6PXV3	protein farnesylation	Biological Process
A0A1D8N9N6	carbohydrate:proton symporter activity	Molecular Function
A0A1D8N9N6	glucose transmembrane transporter activity	Molecular Function
A0A1D8N9N6	integral component of membrane	Cellular Component
A0A1D8N9N6	glucose import	Biological Process
A0A1D8N9N6	proton transmembrane transport	Biological Process
A0A1H6PWS4	dodecenoyl-CoA delta-isomerase activity	Molecular Function
A0A1H6PWS4	peroxisome	Cellular Component
A0A1H6PWS4	metabolic process	Biological Process
A0A1D8N7S1	"hydrolase activity, hydrolyzing O-glycosyl compounds"	Molecular Function
A0A1D8N7S1	carbohydrate metabolic process	Biological Process
A0A1D8NHR6	thioredoxin-disulfide reductase activity	Molecular Function
A0A1D8NHR6	glycerol ether metabolic process	Biological Process
A0A1D8NHR6	protein disulfide oxidoreductase activity	Molecular Function
A0A1D8NHR6	"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor"	Molecular Function
A0A1D8NHR6	cellular response to oxidative stress	Biological Process
A0A1D8NHR6	cytoplasmic part	Cellular Component
A0A1D8NHR6	cell redox homeostasis	Biological Process
A0A1D8NHR6	protein-disulfide reductase activity	Molecular Function
A0A1D8NHR6	oxidation-reduction process	Biological Process
A0A1D8NHR6	cellular oxidant detoxification	Biological Process
A0A1D8NM76	RNA polymerase I activity	Molecular Function
A0A1D8NM76	RNA polymerase I complex	Cellular Component
A0A1D8NM76	transcription by RNA polymerase I	Biological Process
A0A1H6Q9U3	sulfonate dioxygenase activity	Molecular Function
A0A1H6Q9U3	taurine dioxygenase activity	Molecular Function
A0A1H6Q9U3	cytoplasm	Cellular Component
A0A1H6Q9U3	membrane	Cellular Component
A0A1H6Q9U3	sulfur compound catabolic process	Biological Process
A0A1H6Q9U3	oxidation-reduction process	Biological Process
A0A1D8N511		
A0A1D8N753	integral component of membrane	Cellular Component
A0A1D8NIM6		
A0A1D8N902	RNA binding	Molecular Function
A0A1D8N902	cytoplasmic stress granule	Cellular Component
A0A1D8N902	regulation of cytoplasmic mRNA processing body assembly	Biological Process
A0A1D8N902	stress granule assembly	Biological Process
A0A1D8NDW3	fungal-type vacuole	Cellular Component
A0A1D8NDW3	serine-type carboxypeptidase activity	Molecular Function
A0A1D8NDW3	protein catabolic process in the vacuole	Biological Process
A0A1D8NDW3	phytochelatin biosynthetic process	Biological Process
A0A1D8NDW3	proteolysis involved in cellular protein catabolic process	Biological Process
A0A1D8NAY9		
A0A1D8N374		
A0A1D8NBF5	regulation of transcription by RNA polymerase II	Biological Process
A0A1D8NBF5	elongin complex	Cellular Component
A0A1D8NCK6	nucleus	Cellular Component
A0A1D8NCK6	"transcription, DNA-templated"	Biological Process
A0A1D8NN61		
A0A1D8NCC1	integral component of membrane	Cellular Component
A0A1D8NCC1	protein localization to Golgi apparatus	Biological Process
A0A1D8NCC1	sterol regulatory element binding protein cleavage	Biological Process
A0A1D8NCC1	Dsc E3 ubiquitin ligase complex	Cellular Component
A0A1D8NCC1	regulation of protein glycosylation	Biological Process
A0A1D8NGA1	fungal-type vacuole membrane	Cellular Component
A0A1D8NGA1	autophagy of mitochondrion	Biological Process
A0A1D8NGA1	protein serine/threonine kinase activity	Molecular Function
A0A1D8NGA1	ATP binding	Molecular Function
A0A1D8NGA1	protein phosphorylation	Biological Process
A0A1D8NGA1	protein transport	Biological Process
A0A1D8NGA1	macroautophagy	Biological Process
A0A1D8NGA1	phagophore assembly site membrane	Cellular Component
A0A1D8NMQ5		
A0A1H6PU74	vesicle-mediated transport	Biological Process
A0A1H6PU74	"protein binding, bridging"	Molecular Function
A0A1D8NMD6	amidase activity	Molecular Function
A0A1D8NNH4	threonine-type endopeptidase activity	Molecular Function
A0A1D8NNH4	nucleus	Cellular Component
A0A1D8NNH4	proteasomal ubiquitin-independent protein catabolic process	Biological Process
A0A1D8NNH4	"proteasome core complex, beta-subunit complex"	Cellular Component
A0A1D8NNH4	proteasome storage granule	Cellular Component
A0A1D8NNH4	proteasome-mediated ubiquitin-dependent protein catabolic process	Biological Process
A0A1D8NC06	cytoplasm	Cellular Component
A0A1D8NC06	zinc ion binding	Molecular Function
A0A1D8NC06	L-methionine salvage from S-adenosylmethionine	Biological Process
A0A1D8NC06	L-methionine salvage from methylthioadenosine	Biological Process
A0A1D8NC06	methylthioribulose 1-phosphate dehydratase activity	Molecular Function
A0A1D8N8P0	"regulation of alternative mRNA splicing, via spliceosome"	Biological Process
A0A1D8N8P0	mRNA 3'-splice site recognition	Biological Process
A0A1D8N8P0	RNA binding	Molecular Function
A0A1D8N8P0	U2 snRNP	Cellular Component
A0A1D8N8P0	U2-type prespliceosome	Cellular Component
A0A1D8N8P0	catalytic step 2 spliceosome	Cellular Component
A0A1D8NFN9		
A0A1D8NL00		
A0A1D8NMB0		
A0A1D8NHY5	mitochondrion	Cellular Component
A0A1D8NHY5	lipoate biosynthetic process	Biological Process
A0A1D8NHY5	protein lipoylation	Biological Process
A0A1D8NHY5	lipoate synthase activity	Molecular Function
A0A1D8NHY5	metal ion binding	Molecular Function
A0A1D8NHY5	"4 iron, 4 sulfur cluster binding"	Molecular Function
A0A1H6PRA8		
A0A1D8NBI9	transport	Biological Process
A0A1D8NBI9	vacuolar acidification	Biological Process
A0A1D8NBI9	membrane	Cellular Component
A0A1D8NBI9	RAVE complex	Cellular Component
A0A1D8NBI9	vacuolar proton-transporting V-type ATPase complex assembly	Biological Process
A0A1D8NDN3		
A0A1D8NHR4	integral component of membrane	Cellular Component
A0A1D8NC29		
A0A1D8NJZ7	fungal-type vacuole	Cellular Component
A0A1D8NJZ7	ATP binding	Molecular Function
A0A1D8NJZ7	vacuolar membrane	Cellular Component
A0A1D8NJZ7	integral component of plasma membrane	Cellular Component
A0A1D8NJZ7	cellular process	Biological Process
A0A1D8NJZ7	peptide-transporting ATPase activity	Molecular Function
A0A1D8NJZ7	amide transport	Biological Process
A0A1D8NJZ7	transmembrane transport	Biological Process
A0A1D8NQ38	"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen"	Molecular Function
A0A1D8NQ38	tryptophan catabolic process to kynurenine	Biological Process
A0A1D8NQ38	heme binding	Molecular Function
A0A1D8NQ38	filamentous growth of a population of unicellular organisms in response to chemical stimulus	Biological Process
A0A1D8NQ38	metal ion binding	Molecular Function
A0A1H6QAD8		
A0A1D8ND86		
A0A1D8NDA5		
A0A1D8NKL9	nucleus	Cellular Component
A0A1D8NKL9	"regulation of transcription, DNA-templated"	Biological Process
A0A1D8NKL9	metal ion binding	Molecular Function
A0A1D8NKL9	histone demethylase activity (H3-K36 specific)	Molecular Function
A0A1D8NKL9	oxidation-reduction process	Biological Process
A0A1D8NKL9	histone H3-K36 demethylation	Biological Process
A0A1D8NFE9	integral component of membrane	Cellular Component
A0A1D8NFE9	transmembrane transport	Biological Process
A0A1D8NQF1		
A0A1D8N9Z9		
A0A1D8NHT4	oxidoreductase activity	Molecular Function
A0A1D8NHT4	oxidation-reduction process	Biological Process
A0A1D8NNU8		
A0A1D8NKS4	integral component of membrane	Cellular Component
A0A1D8N7N5	mitochondrial genome maintenance	Biological Process
A0A1D8N7N5	ATP binding	Molecular Function
A0A1D8N7N5	replication fork	Cellular Component
A0A1D8N7N5	mitochondrion	Cellular Component
A0A1D8N7N5	DNA replication	Biological Process
A0A1D8N7N5	DNA repair	Biological Process
A0A1D8N7N5	DNA recombination	Biological Process
A0A1D8N7N5	telomerase inhibitor activity	Molecular Function
A0A1D8N7N5	negative regulation of telomere maintenance via telomerase	Biological Process
A0A1D8N7N5	DNA duplex unwinding	Biological Process
A0A1D8N7N5	ATP-dependent 5'-3' DNA helicase activity	Molecular Function
A0A1D8N7N5	nuclear chromosome part	Cellular Component
A0A1D8N7N5	G-quadruplex DNA unwinding	Biological Process
A0A1D8N7N5	G-quadruplex DNA binding	Molecular Function
A0A1D8N7N5	negative regulation of telomerase activity	Biological Process
A0A1D8NCH4	snoRNA guided rRNA pseudouridine synthesis	Biological Process
A0A1D8NCH4	snRNA pseudouridine synthesis	Biological Process
A0A1D8NCH4	box H/ACA snoRNP complex	Cellular Component
A0A1D8NCH4	box H/ACA snoRNA binding	Molecular Function
A0A1D8NDT0	ribosomal small subunit assembly	Biological Process
A0A1D8NDT0	mRNA binding	Molecular Function
A0A1D8NDT0	structural constituent of ribosome	Molecular Function
A0A1D8NDT0	mitochondrial small ribosomal subunit	Cellular Component
A0A1D8NDT0	translation	Biological Process
A0A1D8NDT0	rRNA binding	Molecular Function
A0A1D8NKW9		
A0A1D8NB68		
A0A1D8NCX8		
A0A1D8NEG3	acyl binding	Molecular Function
A0A1D8NEG3	acyl carrier activity	Molecular Function
A0A1D8NEG3	ribosomal large subunit export from nucleus	Biological Process
A0A1D8NEG3	nucleic acid binding	Molecular Function
A0A1D8NEG3	nucleus	Cellular Component
A0A1D8NEG3	cytosol	Cellular Component
A0A1D8NEG3	fatty acid biosynthetic process	Biological Process
A0A1D8NEG3	zinc ion binding	Molecular Function
A0A1D8NEG3	lipid A biosynthetic process	Biological Process
A0A1D8NEG3	"preribosome, large subunit precursor"	Cellular Component
A0A1D8NEG3	phosphopantetheine binding	Molecular Function
A0A1D8NEG3	ribosomal large subunit binding	Molecular Function
A0A1D8NGN3		
A0A1H6PT21	nuclear chromatin	Cellular Component
A0A1H6PT21	DNA-directed DNA polymerase activity	Molecular Function
A0A1H6PT21	nuclear replication fork	Cellular Component
A0A1H6PT21	protein heterodimerization activity	Molecular Function
A0A1H6PT21	DNA biosynthetic process	Biological Process
A0A1H6PT21	mitotic DNA replication	Biological Process
A0A1D8NAX7		
A0A1D8N742	nucleic acid binding	Molecular Function
A0A1D8N742	cytosolic large ribosomal subunit	Cellular Component
A0A1D8N742	"preribosome, large subunit precursor"	Cellular Component
A0A1D8N742	ribosomal large subunit biogenesis	Biological Process
A0A1D8N8R1		
A0A1D8NB12		
A0A1D8NGN4	mitochondrial inner membrane	Cellular Component
A0A1D8NGN4	inner mitochondrial membrane organization	Biological Process
A0A1D8NGN4	integral component of membrane	Cellular Component
A0A1H6PS64	binding	Molecular Function
A0A1H6PS64	nucleus	Cellular Component
A0A1H6PS64	cellular process	Biological Process
A0A1H6PS64	intracellular organelle part	Cellular Component
A0A1H6PJP5	monooxygenase activity	Molecular Function
A0A1H6PJP5	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	Molecular Function
A0A1H6PJP5	oxidation-reduction process	Biological Process
A0A1D8N4V4		
A0A1D8N9B6	integral component of membrane	Cellular Component
A0A1D8NFE7	integral component of plasma membrane	Cellular Component
A0A1D8NFE7	siderophore transmembrane transporter activity	Molecular Function
A0A1D8NFE7	iron assimilation by chelation and transport	Biological Process
A0A1D8NFE7	siderophore transmembrane transport	Biological Process
A0A1D8NG82	single-stranded DNA endodeoxyribonuclease activity	Molecular Function
A0A1D8NG82	nucleotide-excision repair factor 1 complex	Cellular Component
A0A1D8NG82	meiotic mismatch repair	Biological Process
A0A1D8NG82	damaged DNA binding	Molecular Function
A0A1D8NG82	single-stranded DNA binding	Molecular Function
A0A1D8NG82	"nucleotide-excision repair, DNA incision, 5'-to lesion"	Biological Process
A0A1D8NG82	mitotic recombination	Biological Process
A0A1D8NG82	ERCC4-ERCC1 complex	Cellular Component
A0A1D8NG82	UV-damage excision repair	Biological Process
A0A1D8NFV8	ATP binding	Molecular Function
A0A1D8NFV8	nucleus	Cellular Component
A0A1D8NFV8	"regulation of transcription, DNA-templated"	Biological Process
A0A1D8NFV8	histone binding	Molecular Function
A0A1D8NFV8	positive regulation of cellular process	Biological Process
A0A1D8NNH3		
A0A1H6Q510	spermine biosynthetic process	Biological Process
A0A1H6Q510	pantothenate biosynthetic process	Biological Process
A0A1H6Q510	spermine synthase activity	Molecular Function
A0A1D8NJ16	tRNA binding	Molecular Function
A0A1D8NJ16	tRNA 5'-leader removal	Biological Process
A0A1D8NJ16	nucleus	Cellular Component
A0A1D8NJ16	cytoplasm	Cellular Component
A0A1D8NJ16	tRNA 3'-end processing	Biological Process
A0A1D8NJ16	tRNA folding	Biological Process
A0A1D8NJ16	ribonucleoprotein complex	Cellular Component
A0A1D8NDW9		
A0A1D8N8H4	3-methyl-2-oxobutanoate hydroxymethyltransferase activity	Molecular Function
A0A1D8N8H4	methyltransferase activity	Molecular Function
A0A1D8N8H4	pantothenate biosynthetic process	Biological Process
A0A1D8N8H4	methylation	Biological Process
A0A1H6Q094	integral component of membrane	Cellular Component
A0A1D8NFB3	mitochondrial inner membrane	Cellular Component
A0A1D8NFB3	magnesium ion transmembrane transporter activity	Molecular Function
A0A1D8NFB3	integral component of membrane	Cellular Component
A0A1D8NFB3	mitochondrial magnesium ion transmembrane transport	Biological Process
A0A1D8NFC8	ribosomal large subunit export from nucleus	Biological Process
A0A1D8NFC8	"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	Biological Process
A0A1D8NFC8	"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	Biological Process
A0A1D8NFC8	"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	Biological Process
A0A1D8NFC8	mRNA binding	Molecular Function
A0A1D8NFC8	nucleolus	Cellular Component
A0A1D8NFC8	intracellular mRNA localization	Biological Process
A0A1D8NFC8	"preribosome, large subunit precursor"	Cellular Component
A0A1D8NFC8	ribosomal large subunit biogenesis	Biological Process
A0A1D8NFC8	identical protein binding	Molecular Function
A0A1D8NFC8	mRNA transport	Biological Process
A0A1H6PT87	aspartic-type endopeptidase activity	Molecular Function
A0A1H6PT87	proteolysis	Biological Process
A0A1H6PT87	fungal-type cell wall organization	Biological Process
A0A1H6PT87	anchored component of plasma membrane	Cellular Component
A0A1D8NPJ0		
A0A1D8N4T1		
A0A1D8NCD8		
A0A1H6Q943	translation elongation factor activity	Molecular Function
A0A1H6Q943	GTPase activity	Molecular Function
A0A1H6Q943	protein binding	Molecular Function
A0A1H6Q943	GTP binding	Molecular Function
A0A1H6Q943	cytosol	Cellular Component
A0A1H6Q943	ribosome	Cellular Component
A0A1H6Q943	rRNA binding	Molecular Function
A0A1H6Q943	positive regulation of translational elongation	Biological Process
A0A1H6Q943	maintenance of translational fidelity	Biological Process
A0A1D8N5V2	mitochondrial respiratory chain complex I	Cellular Component
A0A1D8N5V2	response to oxidative stress	Biological Process
A0A1D8N5V2	NADH dehydrogenase (ubiquinone) activity	Molecular Function
A0A1D8N5V2	electron transfer activity	Molecular Function
A0A1D8N5V2	electron transport chain	Biological Process
A0A1D8N9V0		
A0A1D8NMW0	integral component of membrane	Cellular Component
A0A1D8N505	nucleic acid binding	Molecular Function
A0A1D8NK40		
A0A1D8N5B8		
A0A1D8NG78	response to stress	Biological Process
A0A1D8NPR3		
A0A1D8NAS7		
A0A1D8N794	RNA binding	Molecular Function
A0A1D8N794	nucleus	Cellular Component
A0A1D8N794	transferase activity	Molecular Function
A0A1D8N794	tRNA methylation	Biological Process
A0A1D8N794	tRNA (m1A) methyltransferase complex	Cellular Component
A0A1D8N631	ATP-dependent peptidase activity	Molecular Function
A0A1D8N631	metalloendopeptidase activity	Molecular Function
A0A1D8N631	ATP binding	Molecular Function
A0A1D8N631	mitochondrial inner membrane	Cellular Component
A0A1D8N631	protein quality control for misfolded or incompletely synthesized proteins	Biological Process
A0A1D8N631	mitochondrion organization	Biological Process
A0A1D8NDW0	nucleus	Cellular Component
A0A1H6PWI1	integral component of membrane	Cellular Component
A0A1D8NG07	mitochondrial inner membrane	Cellular Component
A0A1D8NG07	protein transport	Biological Process
A0A1D8NG07	integral component of membrane	Cellular Component
A0A1H6Q5X7	membrane	Cellular Component
A0A1D8N8D1	cell adhesion	Biological Process
A0A1H6Q1C6	basic amino acid transmembrane transporter activity	Molecular Function
