"ensembl_gene_id","name_1006"
"YHR046C","inositol phosphate dephosphorylation"
"YHR046C","phosphatidylinositol phosphorylation"
"YKR071C","iron-sulfur cluster assembly"
"YKR071C","apoptotic process"
"YKR071C","negative regulation of apoptotic process"
"YKR071C","hydrogen peroxide-mediated programmed cell death"
"YOR016C","vesicle-mediated transport"
"YOR016C","protein transport"
"YOR016C","ER to Golgi vesicle-mediated transport"
"YOR016C","transport"
"YGR063C","chromatin silencing"
"YGR063C","regulation of transcription-coupled nucleotide-excision repair"
"YGR063C","positive regulation of transcription elongation from RNA polymerase I promoter"
"YGR063C","regulation of transcription, DNA-templated"
"YGR063C","mRNA splicing, via spliceosome"
"YGR063C","positive regulation of transcription elongation from RNA polymerase II promoter"
"YGR063C","chromosome segregation"
"YGR063C","intracellular mRNA localization"
"YGR063C","transcription from RNA polymerase II promoter"
"YGR063C","7-methylguanosine mRNA capping"
"YGR063C","chromatin organization"
"YGR063C","transcription from RNA polymerase I promoter"
"YGR063C","positive regulation of DNA-templated transcription, elongation"
"YGR063C","regulation of rRNA processing"
"YGR063C","negative regulation of transcription elongation from RNA polymerase I promoter"
"YML065W","pre-replicative complex assembly involved in nuclear cell cycle DNA replication"
"YML065W","DNA replication initiation"
"YML065W","chromatin silencing at silent mating-type cassette"
"YML065W","DNA replication"
"YML065W","obsolete ATP catabolic process"
"YPR005C","positive regulation of transcription from RNA polymerase II promoter"
"YPR005C","response to salt stress"
"YAR003W","regulation of transcription, DNA-templated"
"YAR003W","telomere maintenance"
"YAR003W","chromatin silencing at telomere"
"YAR003W","histone H3-K4 methylation"
"YGR223C","piecemeal microautophagy of nucleus"
"YHR021W-A","fungal-type cell wall organization"
"YHR021W-A","cell wall organization"
"YFL062W","biological_process"
"YMR267W","aerobic respiration"
"YMR267W","phosphate-containing compound metabolic process"
"YPL093W","ribosomal subunit export from nucleus"
"YPL093W","rRNA processing"
"YPL093W","ribosome biogenesis"
"YPL093W","ribosomal large subunit biogenesis"
"YPL093W","assembly of large subunit precursor of preribosome"
"YJR034W","mitochondrial respiratory chain complex IV assembly"
"YNL077W","protein folding"
"YNL077W","biological_process"
"YNL077W","protein sumoylation"
"YNL077W","positive regulation of ATPase activity"
"YPL160W","leucyl-tRNA aminoacylation"
"YPL160W","tRNA aminoacylation for protein translation"
"YPL160W","translation"
"YPL160W","DNA replication initiation"
"YPL160W","regulation of TOR signaling"
"YGL185C","metabolic process"
"YGL185C","oxidation-reduction process"
"YDR456W","potassium ion transport"
"YDR456W","vacuolar acidification"
"YDR456W","regulation of pH"
"YDR456W","sodium ion transport"
"YDR456W","cation transport"
"YDR456W","ion transport"
"YDR456W","transmembrane transport"
"YDR456W","transport"
"YDR456W","cellular monovalent inorganic cation homeostasis"
"YDR456W","potassium ion transmembrane transport"
"YDR456W","sodium ion transmembrane transport"
"YKL175W","cellular zinc ion homeostasis"
"YKL175W","zinc II ion transport"
"YKL175W","metal ion transport"
"YKL175W","ion transport"
"YKL175W","transmembrane transport"
"YKL175W","transport"
"YKL175W","zinc II ion transmembrane transport"
"YGL190C","obsolete cytokinesis after mitosis checkpoint"
"YGL190C","protein dephosphorylation"
"YGL190C","signal transduction"
"YGL190C","negative regulation of exit from mitosis"
"YGL190C","cell cycle"
"YGL190C","regulation of catalytic activity"
"YGL190C","positive regulation of protein localization to nucleus"
"YGL190C","positive regulation of G2/M transition of mitotic cell cycle"
"YGL190C","positive regulation of transcription by transcription factor localization"
"YGL190C","regulation of mitotic cell cycle spindle assembly checkpoint"
"YMR262W","biological_process"
"YOR101W","signal transduction"
"YOR101W","small GTPase mediated signal transduction"
"YOR101W","replicative cell aging"
"YOR101W","protein localization to bud neck"
"YOR101W","adenylate cyclase-activating G-protein coupled receptor signaling pathway"
"YOR101W","positive regulation of adenylate cyclase activity"
"YGL005C","protein localization by the Cvt pathway"
"YGL005C","protein transport"
"YGL005C","intra-Golgi vesicle-mediated transport"
"YGL005C","transport"
"YNL125C","transmembrane transport"
"YNL125C","transport"
"YBL019W","base-excision repair"
"YBL019W","cellular response to DNA damage stimulus"
"YBL019W","DNA repair"
"YBL019W","DNA catabolic process, endonucleolytic"
"YBL019W","DNA catabolic process, exonucleolytic"
"YBR043C","drug transmembrane transport"
"YBR043C","transmembrane transport"
"YBR043C","transport"
"YBR043C","polyamine homeostasis"
"YBR043C","ascospore wall assembly"
"YBR043C","polyamine transmembrane transport"
"YDL231C","protein transport"
"YDL231C","endocytosis"
"YDL231C","transport"
"YML101C","biological_process"
"YKL037W","autophagy"
"YKL037W","autophagy of mitochondrion"
"YOL094C","obsolete ATP catabolic process"
"YOL094C","DNA replication"
"YOL094C","leading strand elongation"
"YOL094C","mismatch repair"
"YOL094C","sister chromatid cohesion"
"YMR077C","intralumenal vesicle formation"
"YMR077C","ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway"
"YMR077C","late endosome to vacuole transport"
"YMR077C","protein transport"
"YMR077C","transport"
"YMR077C","vacuolar transport"
"YPR007C","synaptonemal complex assembly"
"YPR007C","reciprocal meiotic recombination"
"YPR007C","meiotic sister chromatid cohesion"
"YPR007C","protein localization to chromosome, centromeric region"
"YIL067C","biological_process"
"YMR108W","isoleucine biosynthetic process"
"YMR108W","valine biosynthetic process"
"YMR108W","branched-chain amino acid biosynthetic process"
"YJL033W","rRNA processing"
"YJL033W","obsolete ATP catabolic process"
"YKL179C","Golgi vesicle transport"
"YKL179C","intra-Golgi vesicle-mediated transport"
"YKL179C","transport"
"YPL126W","positive regulation of transcription from RNA polymerase I promoter"
"YPL126W","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"YPL126W","rRNA processing"
"YPL126W","ribosome biogenesis"
"YPL126W","transcription, DNA-templated"
"YEL041W","phosphorylation"
"YEL041W","metabolic process"
"YEL041W","NADP biosynthetic process"
"YEL041W","NAD metabolic process"
"YGL208W","signal transduction"
"YGL208W","invasive growth in response to glucose limitation"
"YGL208W","replicative cell aging"
"YGL208W","regulation of protein complex assembly"
"YGL208W","protein phosphorylation"
"YGL208W","cellular response to glucose starvation"
"YLL036C","protein ubiquitination"
"YLL036C","DNA repair"
"YLL036C","generation of catalytic spliceosome for first transesterification step"
"YLL036C","protein K63-linked ubiquitination"
"YNL113W","transcription, DNA-templated"
"YNL113W","ribosome biogenesis"
"YNL113W","tRNA transcription from RNA polymerase III promoter"
"YNL113W","transcription from RNA polymerase I promoter"
"YKR099W","reciprocal meiotic recombination"
"YKR099W","histidine biosynthetic process"
"YKR099W","purine nucleobase biosynthetic process"
"YKR099W","transcription, DNA-templated"
"YKR099W","regulation of transcription, DNA-templated"
"YKR099W","transcription from RNA polymerase II promoter"
"YKR099W","positive regulation of transcription from RNA polymerase II promoter"
"YGL025C","negative regulation of transcription from RNA polymerase II promoter"
"YGL025C","regulation of transcription from RNA polymerase II promoter"
"YGL025C","RNA polymerase II transcriptional preinitiation complex assembly"
"YGL025C","positive regulation of transcription from RNA polymerase II promoter"
"YBR171W","filamentous growth"
"YBR171W","posttranslational protein targeting to membrane, translocation"
"YDL005C","RNA polymerase II transcriptional preinitiation complex assembly"
"YDL005C","negative regulation of transcription from RNA polymerase II promoter"
"YDL005C","positive regulation of transcription from RNA polymerase II promoter"
"YDL005C","transcription, DNA-templated"
"YDL005C","regulation of transcription, DNA-templated"
"YNL031C","chromatin assembly or disassembly"
"YNL031C","nucleosome assembly"
"YNL031C","sexual sporulation resulting in formation of a cellular spore"
"YNL031C","rRNA transcription"
"YNL031C","global genome nucleotide-excision repair"
"YDL056W","regulation of transcription involved in G1/S transition of mitotic cell cycle"
"YDL056W","positive regulation of transcription, DNA-templated"
"YDL056W","negative regulation of transcription from RNA polymerase II promoter"
"YDL056W","transcription, DNA-templated"
"YDL056W","regulation of transcription, DNA-templated"
"YDL056W","positive regulation of transcription involved in G1/S transition of mitotic cell cycle"
"YML120C","positive regulation of apoptotic process"
"YML120C","NADH oxidation"
"YML120C","chronological cell aging"
"YML120C","oxidation-reduction process"
"YML120C","mitochondrial electron transport, NADH to ubiquinone"
"YOR384W","ion transport"
"YOR384W","electron transport chain"
"YOR384W","biological_process"
"YOR384W","oxidation-reduction process"
"YOR384W","transport"
"YLL021W","positive regulation of signal transduction"
"YLL021W","pseudohyphal growth"
"YLL021W","regulation of cell shape"
"YLL021W","positive regulation of actin cytoskeleton reorganization"
"YLL021W","regulation of protein localization"
"YLL021W","budding cell apical bud growth"
"YLL021W","establishment of cell polarity"
"YLL021W","bipolar cellular bud site selection"
"YLL021W","regulation of termination of mating projection growth"
"YLL021W","regulation of initiation of mating projection growth"
"YLL021W","invasive filamentous growth"
"YLL021W","mating projection assembly"
"YGR048W","cytoplasm protein quality control by the ubiquitin-proteasome system"
"YGR048W","ubiquitin-dependent protein catabolic process"
"YGR048W","ubiquitin-dependent ERAD pathway"
"YGR048W","proteasome-mediated ubiquitin-dependent protein catabolic process"
"YGR048W","nonfunctional rRNA decay"
"YGR048W","positive regulation of protein localization to nucleus"
"YGR048W","retrograde protein transport, ER to cytosol"
"YGR048W","ribosome-associated ubiquitin-dependent protein catabolic process"
"YGR048W","ER-associated misfolded protein catabolic process"
"YOL149W","deadenylation-dependent decapping of nuclear-transcribed mRNA"
"YOL149W","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
"YOL149W","mRNA processing"
"YOL149W","positive regulation of catalytic activity"
"YML129C","negative regulation of mitochondrial translation"
"YML129C","mitochondrial respiratory chain complex IV assembly"
"YBR220C","biological_process"
"YBR220C","transport"
"YBR220C","acetyl-CoA transport"
"YPL058C","transport"
"YPL058C","organic acid transport"
"YOL154W","biological_process"
"YBR227C","protein refolding"
"YER165W","mRNA processing"
"YER165W","mRNA transport"
"YER165W","negative regulation of catalytic activity"
"YER165W","regulation of nuclear-transcribed mRNA poly(A) tail shortening"
"YER165W","regulation of translational initiation"
"YNR056C","vitamin transport"
"YNR056C","biotin biosynthetic process"
"YNR056C","amino acid transmembrane transport"
"YNR056C","transport"
"YNL327W","cytokinesis"
"YNL327W","cell division"
"YNL327W","cell cycle"
"YNL327W","mitotic nuclear division"
"YNL327W","metabolic process"
"YNL327W","cell separation after cytokinesis"
"YOR130C","arginine biosynthetic process"
"YOR130C","cellular amino acid biosynthetic process"
"YOR130C","transport"
"YOR130C","mitochondrial ornithine transport"
"YOR130C","L-ornithine transmembrane transport"
"YJL181W","biological_process"
"YER016W","positive regulation of microtubule polymerization"
"YER016W","mitotic sister chromatid cohesion"
"YER016W","nuclear migration along microtubule"
"YER016W","mitotic spindle assembly checkpoint"
"YER016W","negative regulation of microtubule depolymerization"
"YER016W","microtubule depolymerization"
"YER016W","microtubule nucleation"
"YER016W","cell division"
"YER016W","cell cycle"
"YER016W","mitotic nuclear division"
"YPL099C","biological_process"
"YPL099C","mitochondrial proton-transporting ATP synthase complex assembly"
"YNL242W","autophagy of peroxisome"
"YNL242W","piecemeal microautophagy of nucleus"
"YNL242W","autophagosome assembly"
"YNL242W","protein localization by the Cvt pathway"
"YNL242W","autophagy"
"YNL242W","autophagy of mitochondrion"
"YNL242W","protein transport"
"YNL242W","transport"
"YNL242W","late nucleophagy"
"YDR365W-B","transposition, RNA-mediated"
"YDR365W-B","DNA recombination"
"YDR365W-B","metabolic process"
"YDR365W-B","proteolysis"
"YDR365W-B","DNA integration"
"YDR365W-B","transposition"
"YDR365W-B","viral procapsid maturation"
"YDR365W-B","DNA biosynthetic process"
"YDR365W-B","viral release from host cell"
"YDR365W-B","RNA-dependent DNA biosynthetic process"
"YDR365W-B","RNA phosphodiester bond hydrolysis"
"YLR099W-A","biological_process"
"YLR099W-A","mitochondrial outer membrane translocase complex assembly"
"YLR099W-A","protein import into mitochondrial outer membrane"
"YMR058W","iron assimilation by reduction and transport"
"YMR058W","response to copper ion"
"YMR058W","iron ion homeostasis"
"YMR058W","high-affinity iron ion transmembrane transport"
"YMR058W","ion transport"
"YMR058W","oxidation-reduction process"
"YMR058W","transport"
"YMR058W","arsenate ion transmembrane transport"
"YNL297C","Golgi to endosome transport"
"YNL297C","protein targeting to vacuole"
"YNL297C","protein transport"
"YNL297C","endocytosis"
"YNL297C","transport"
"YNL297C","positive regulation of GTPase activity"
"YAL018C","biological_process"
"YAL018C","ascospore wall assembly"
"YOL078W","regulation of cell growth"
"YOL078W","establishment or maintenance of actin cytoskeleton polarity"
"YOL078W","negative regulation of Ras protein signal transduction"
"YOL078W","TOR signaling"
"YOL078W","fungal-type cell wall organization"
"YEL002C","protein N-linked glycosylation"
"YEL002C","cell cycle"
"YEL002C","protein N-linked glycosylation via asparagine"
"YEL002C","mitotic cell cycle"
"YJL156C","protein processing"
"YJL156C","response to amino acid"
"YCL032W","signal transduction"
"YCL032W","pheromone-dependent signal transduction involved in conjugation with cellular fusion"
"YCL032W","signal transduction involved in filamentous growth"
"YCL032W","MAPK cascade involved in osmosensory signaling pathway"
"YCL032W","cellular response to heat"
"YCL032W","osmosensory signaling pathway via Sho1 osmosensor"
"YCL032W","cell cycle arrest"
"YCL032W","regulation of protein kinase activity"
"YMR166C","transmembrane transport"
"YMR166C","transport"
"YNL146C-A","biological_process"
"YDR034C-A","biological_process"
"YPL050C","protein N-linked glycosylation"
"YPL050C","cell wall mannoprotein biosynthetic process"
"YPL050C","mannosylation"
"YDR510W","protein sumoylation"
"YPL277C","biological_process"
"YLR142W","proline catabolic process"
"YLR142W","glutamate biosynthetic process"
"YLR142W","proline catabolic process to glutamate"
"YPL257W","cell cycle"
"YPL257W","biological_process"
"YLR104W","ubiquitin-dependent ERAD pathway"
"YNL222W","mRNA 3'-end processing"
"YNL222W","transcription elongation from RNA polymerase II promoter"
"YNL222W","mRNA processing"
"YNL222W","peptidyl-tyrosine dephosphorylation"
"YNL222W","mRNA cleavage"
"YNL222W","termination of RNA polymerase II transcription"
"YNL222W","transcriptional start site selection at RNA polymerase II promoter"
"YNL222W","termination of RNA polymerase II transcription, poly(A)-coupled"
"YNL222W","transcription antitermination"
"YNL222W","transcription initiation from RNA polymerase II promoter"
"YNL222W","termination of RNA polymerase II transcription, exosome-dependent"
"YNL222W","dephosphorylation of RNA polymerase II C-terminal domain"
"YNL222W","snoRNA transcription"
"YKR051W","biological_process"
"YLR291C","regulation of translational initiation"
"YLR291C","translational initiation"
"YLR291C","cellular metabolic process"
"YLR291C","translation"
"YLR291C","regulation of translation"
"YLR291C","regulation of catalytic activity"
"YLR291C","positive regulation of GTPase activity"
"YBR293W","basic amino acid transport"
"YBR293W","amino acid transport"
"YBR293W","transmembrane transport"
"YBR293W","transport"
"YBR293W","drug transmembrane transport"
"YLR412W","biological_process"
"YLR412W","microtubule-based process"
"YFR040W","G1/S transition of mitotic cell cycle"
"YNR067C","obsolete cytokinesis, completion of separation"
"YNR067C","cell wall macromolecule catabolic process"
"YNR067C","metabolic process"
"YNL074C","response to drug"
"YBR021W","uracil transport"
"YBR021W","nucleobase transport"
"YBR021W","transmembrane transport"
"YBR021W","transport"
"YML021C","base-excision repair"
"YML021C","metabolic process"
"YML021C","cellular response to DNA damage stimulus"
"YML021C","DNA repair"
"YER038C","DNA recombination"
"YER038C","cellular response to DNA damage stimulus"
"YER038C","DNA repair"
"YNL044W","ER to Golgi vesicle-mediated transport"
"YHR007C-A","biological_process"
"YER060W-A","nucleobase transport"
"YER060W-A","transmembrane transport"
"YER060W-A","transport"
"YER060W-A","cytosine transport"
"YER060W-A","purine-containing compound transmembrane transport"
"YER173W","DNA repair"
"YER173W","reciprocal meiotic recombination"
"YER173W","obsolete ATP catabolic process"
"YER173W","nucleotide-excision repair"
"YER173W","cell cycle"
"YER173W","DNA damage checkpoint"
"YOR190W","carbohydrate metabolic process"
"YOR190W","ascospore formation"
"YOR190W","cell wall organization"
"YML048W","protein localization to cell surface"
"YML048W","protein folding"
"YBR130C","mating type switching"
"YBR130C","endoplasmic reticulum inheritance"
"YBR130C","intracellular mRNA localization"
"YBR130C","mRNA transport"
"YPR072W","nuclear-transcribed mRNA poly(A) tail shortening"
"YPR072W","transcription elongation from RNA polymerase II promoter"
"YPR072W","protein ubiquitination"
"YPR072W","regulation of transcription from RNA polymerase II promoter"
"YPR072W","transcription, DNA-templated"
"YPR072W","regulation of transcription, DNA-templated"
"YPR072W","positive regulation of transcription elongation from RNA polymerase II promoter"
"YPR072W","deadenylation-independent decapping of nuclear-transcribed mRNA"
"YFR012W-A","biological_process"
"YHR048W","drug transport"
"YHR048W","proton transport"
"YHR048W","ion transport"
"YHR048W","transmembrane transport"
"YHR048W","transport"
"YHL006C","recombinational repair"
"YHL006C","maintenance of rDNA"
"YHL006C","DNA recombinase assembly"
"YHL034C","negative regulation of translation"
"YHL034C","negative regulation of translation in response to stress"
"YDR418W","cytoplasmic translation"
"YDR418W","ribosomal large subunit assembly"
"YDR418W","translation"
"YLR183C","cellular response to DNA damage stimulus"
"YIR024C","biological_process"
"YIR024C","mitochondrial proton-transporting ATP synthase complex assembly"
"YCR038C","pseudohyphal growth"
"YCR038C","regulation of small GTPase mediated signal transduction"
"YCR038C","axial cellular bud site selection"
"YCR038C","bipolar cellular bud site selection"
"YCR038C","small GTPase mediated signal transduction"
"YCR038C","cellular bud site selection"
"YOL155C","fungal-type cell wall organization"
"YOL155C","metabolic process"
"YIL009C-A","DNA duplex unwinding"
"YIL009C-A","telomere maintenance via telomerase"
"YIL009C-A","obsolete ATP catabolic process"
"YIL009C-A","obsolete GTP catabolic process"
"YJR040W","chloride transport"
"YJR040W","cellular copper ion homeostasis"
"YJR040W","regulation of ion transmembrane transport"
"YJR040W","cellular iron ion homeostasis"
"YJR040W","ion transport"
"YJR040W","transmembrane transport"
"YJR040W","transport"
"YJR040W","regulation of anion transport"
"YJL037W","ascospore wall assembly"
"YOR059C","lipid catabolic process"
"YOR059C","lipid metabolic process"
"YOR059C","biological_process"
"YOR059C","lipid homeostasis"
"YMR325W","response to stress"
"YGR271W","cytoplasmic translation"
"YGR271W","regulation of translation"
"YGR271W","defense response to virus"
"YGR173W","cytoplasmic translation"
"YNR002C","nitrogen utilization"
"YNR002C","ion transport"
"YNR002C","ammonium transport"
"YNR002C","transport"
"YNR002C","ammonium transmembrane transport"
"YIL158W","cell cycle"
"YIL158W","biological_process"
"YBR086C","protein localization to plasma membrane"
"YBR086C","endoplasmic reticulum membrane organization"
"YBR086C","regulation of phosphatidylinositol dephosphorylation"
"YLR361C-A","biological_process"
"YOR027W","protein folding"
"YOR027W","negative regulation of catalytic activity"
"YER048W-A","iron-sulfur cluster assembly"
"YDR210W-B","transposition, RNA-mediated"
"YDR210W-B","DNA recombination"
"YDR210W-B","metabolic process"
"YDR210W-B","proteolysis"
"YDR210W-B","DNA integration"
"YDR210W-B","transposition"
"YDR210W-B","viral procapsid maturation"
"YDR210W-B","DNA biosynthetic process"
"YDR210W-B","viral release from host cell"
"YDR210W-B","RNA-dependent DNA biosynthetic process"
"YDR210W-B","RNA phosphodiester bond hydrolysis"
"YHR164C","meiotic DNA double-strand break processing"
"YHR164C","DNA-dependent DNA replication"
"YHR164C","lagging strand elongation"
"YHR164C","telomere maintenance"
"YHR164C","DNA replication"
"YHR164C","DNA repair"
"YHR164C","replicative cell aging"
"YHR164C","cellular response to DNA damage stimulus"
"YHR164C","obsolete ATP catabolic process"
"YHR164C","DNA strand renaturation"
"YHR164C","DNA duplex unwinding"
"YHR164C","DNA catabolic process, endonucleolytic"
"YHR164C","DNA replication, Okazaki fragment processing"
"YHR164C","DNA double-strand break processing"
"YGR278W","RNA metabolic process"
"YGR278W","mRNA splicing, via spliceosome"
"YGR278W","RNA splicing"
"YGR278W","mRNA processing"
"Q0085","ATP biosynthetic process"
"Q0085","ATP synthesis coupled proton transport"
"Q0085","proton transport"
"Q0085","ion transport"
"Q0085","transport"
"YKL204W","regulation of growth"
"YKL204W","negative regulation of translation"
"YKL204W","regulation of translation"
"YKL204W","deadenylation-dependent decapping of nuclear-transcribed mRNA"
"YKL204W","mRNA catabolic process"
"YDR462W","mitochondrial translation"
"YMR273C","chromatin silencing"
"YMR273C","obsolete cytokinesis after mitosis checkpoint"
"YMR273C","regulation of protein localization"
"YMR273C","mRNA transport"
"YMR273C","mRNA export from nucleus"
"YMR273C","establishment of cell polarity"
"YMR273C","transport"
"YMR273C","cell aging"
"YMR273C","regulation of catalytic activity"
"YMR273C","positive regulation of G2/M transition of mitotic cell cycle"
"YMR273C","cell wall organization"
"YJL162C","protein folding"
"YJL162C","biological_process"
"YMR175W-A","biological_process"
"YLL054C","biological_process"
"YLL054C","transcription, DNA-templated"
"YLL054C","regulation of transcription, DNA-templated"
"YLL054C","regulation of transcription from RNA polymerase II promoter"
"YLL054C","transcription from RNA polymerase II promoter"
"YDL055C","cell wall mannoprotein biosynthetic process"
"YDL055C","protein glycosylation"
"YDL055C","cell cycle"
"YDL055C","GDP-mannose biosynthetic process"
"YDL055C","biosynthetic process"
"YPR080W","tRNA export from nucleus"
"YPR080W","translational elongation"
"YFL017W-A","mRNA splicing, via spliceosome"
"YOL019W","biological_process"
"YGL127C","regulation of transcription, DNA-templated"
"YGL127C","DNA repair"
"YGL127C","meiotic sister chromatid segregation"
"YGL127C","transcription from RNA polymerase II promoter"
"YGL127C","DNA recombination"
"YGL127C","meiotic gene conversion"
"YLR266C","regulation of transcription, DNA-templated"
"YLR266C","transcription, DNA-templated"
"YLR266C","transcription from RNA polymerase II promoter"
"YLR266C","positive regulation of transcription from RNA polymerase II promoter in response to stress"
"YHL033C","cytoplasmic translation"
"YHL033C","ribosome biogenesis"
"YHL033C","maturation of LSU-rRNA"
"YKR076W","glutathione metabolic process"
"YKR076W","fungal-type cell wall organization"
"YKR076W","cell wall organization"
"YJR130C","methionine biosynthetic process"
"YJR130C","transsulfuration"
"YJR130C","sulfur compound metabolic process"
"YEL007W","biological_process"
"YMR285C","rRNA processing"
"YMR285C","RNA phosphodiester bond hydrolysis, endonucleolytic"
"YBR104W","mitochondrial transport"
"YBR104W","transmembrane transport"
"YBR104W","transport"
"YBR104W","organic acid transport"
"YPL263C","biological_process"
"YER096W","ascospore formation"
"YER096W","chitin biosynthetic process"
"YER096W","positive regulation of catalytic activity"
"YER096W","cell wall organization"
"YIL128W","methionine metabolic process"
"YIL128W","nucleotide-excision repair"
"YIL128W","cellular response to DNA damage stimulus"
"YIL128W","transcription, DNA-templated"
"YIL128W","DNA repair"
"YIL128W","transcription from RNA polymerase II promoter"
"YIL128W","iron-sulfur cluster assembly"
"YIL128W","DNA metabolic process"
"YIL128W","response to organic substance"
"YIL128W","response to UV"
"YDR311W","transcription, DNA-templated"
"YDR311W","transcription from RNA polymerase II promoter"
"YDR311W","phosphorylation of RNA polymerase II C-terminal domain"
"YDR311W","nucleotide-excision repair"
"YDR311W","transcription from RNA polymerase I promoter"
"YKL088W","coenzyme A biosynthetic process"
"YKL088W","response to salt stress"
"YJL046W","cellular protein modification process"
"YJL046W","protein lipoylation"
"YLR228C","positive regulation of sterol import by positive regulation of transcription from RNA polymerase II promoter"
"YLR228C","positive regulation of ergosterol biosynthetic process by positive regulation of transcription from RNA polymerase II promoter"
"YLR228C","transcription, DNA-templated"
"YLR228C","regulation of transcription, DNA-templated"
"YER053C-A","biological_process"
"YKL056C","cytoplasmic translation"
"YKL056C","cellular response to oxidative stress"
"YPL037C","'de novo' cotranslational protein folding"
"YPL037C","protein transport"
"YPL037C","transcription, DNA-templated"
"YPL037C","regulation of transcription, DNA-templated"
"YPL037C","transport"
"YPL037C","posttranslational protein targeting to endoplasmic reticulum membrane"
"YDR459C","protein palmitoylation"
"YOR357C","protein transport"
"YOR357C","late endosome to Golgi transport"
"YOR357C","protein localization"
"YNR004W","7-methylguanosine cap hypermethylation"
"YNL192W","cell budding"
"YNL192W","chitin biosynthetic process"
"YNL192W","obsolete cytokinesis, completion of separation"
"YNL192W","cell wall organization"
"YGL068W","translation"
"YGL068W","cytoplasmic translation"
"YGL068W","aerobic respiration"
"YKL096C-B","biological_process"
"YDL157C","biological_process"
"YOR007C","response to heat"
"YOR007C","posttranslational protein targeting to endoplasmic reticulum membrane"
"YJL029C","retrograde transport, endosome to Golgi"
"YJL029C","Golgi to vacuole transport"
"YJL029C","protein transport"
"YJL029C","transport"
"YBR105C","negative regulation of gluconeogenesis"
"YBR105C","proteasome-mediated ubiquitin-dependent protein catabolic process"
"YBR105C","protein targeting to vacuole"
"YBR105C","vesicle-mediated transport"
"YBR105C","protein catabolic process in the vacuole"
"YBR105C","protein transport"
"YBR105C","transport"
"YBR105C","vesicle fusion with vacuole"
"YDL013W","protein ubiquitination"
"YDL013W","protein sumoylation"
"YDL013W","regulation of transcription, DNA-templated"
"YDL013W","cellular response to DNA damage stimulus"
"YDL013W","telomere maintenance"
"YDL013W","DNA repair"
"YDL013W","transcription, DNA-templated"
"YJR052W","obsolete ATP catabolic process"
"YJR052W","protein ubiquitination involved in ubiquitin-dependent protein catabolic process"
"YJR052W","nucleotide-excision repair, DNA damage recognition"
"YGL200C","protein retention in ER lumen"
"YGL200C","vesicle organization"
"YGL200C","vesicle-mediated transport"
"YGL200C","protein transport"
"YGL200C","ER to Golgi vesicle-mediated transport"
"YGL200C","transport"
"YNL194C","ascospore formation"
"YDR260C","protein ubiquitination"
"YDR260C","mitotic nuclear division"
"YDR260C","cell division"
"YDR260C","ascospore wall assembly"
"YDR260C","regulation of mitotic metaphase/anaphase transition"
"YDR260C","anaphase-promoting complex-dependent catabolic process"
"YPL012W","ribosome biogenesis"
"YPL012W","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"YBL047C","endoplasmic reticulum unfolded protein response"
"YBL047C","endocytosis"
"YBL047C","positive regulation of cytokinesis"
"YKR001C","protein retention in Golgi apparatus"
"YKR001C","peroxisome fission"
"YKR001C","obsolete GTP catabolic process"
"YKR001C","vacuolar transport"
"YKR001C","protein targeting to vacuole"
"YKR001C","meiotic nuclear division"
"YKR001C","peroxisome organization"
"YKR001C","endocytosis"
"YKR001C","cell division"
"YKR001C","cell cycle"
"YKR001C","actin cytoskeleton organization"
"YKR001C","lipid tube assembly"
"YKR001C","meiotic cell cycle"
"YNR072W","glucose transport"
"YNR072W","transmembrane transport"
"YNR072W","fructose transport"
"YNR072W","mannose transport"
"YNR072W","hexose transport"
"YLR157W-E","biological_process"
"YBR154C","transcription, DNA-templated"
"YBR154C","ribosome biogenesis"
"YBR154C","transcription from RNA polymerase II promoter"
"YBR154C","transcription, RNA-templated"
"YBR154C","tRNA transcription from RNA polymerase III promoter"
"YBR154C","transcription from RNA polymerase I promoter"
"YBR154C","transcription from RNA polymerase III promoter"
"YPL156C","cell redox homeostasis"
"YKL048C","positive regulation of protein autophosphorylation"
"YKL048C","protein autophosphorylation"
"YKL048C","cell morphogenesis"
"YKL048C","glucose metabolic process"
"YKL048C","pseudohyphal growth"
"YKL048C","axial cellular bud site selection"
"YKL048C","budding cell bud growth"
"YKL048C","protein phosphorylation"
"YKL048C","response to osmotic stress"
"YKL048C","response to drug"
"YKL048C","phosphorylation"
"YKL048C","cytokinesis"
"YKL048C","cell cycle"
"YKL048C","obsolete cytokinesis checkpoint"
"YJL020C","actin cytoskeleton organization"
"YJL020C","cytoskeleton organization"
"YPL105C","nuclear pore distribution"
"YLR251W","ethanol metabolic process"
"YGR113W","chromosome segregation"
"YGR113W","regulation of microtubule polymerization or depolymerization"
"YGR113W","mitotic spindle organization in nucleus"
"YGR113W","cell division"
"YGR113W","cell cycle"
"YGR113W","mitotic nuclear division"
"YGR113W","attachment of spindle microtubules to kinetochore"
"YGR113W","positive regulation of microtubule polymerization"
"YGR113W","positive regulation of attachment of spindle microtubules to kinetochore"
"YGL008C","transmembrane transport"
"YGL008C","proton transport"
