genes	Goterm
KMXK_0B07950	cytoplasmic translation
KMXK_0B08130	cytoplasmic translation
KMXK_0C00720	cytoplasmic translation
KMXK_0C01990	cytoplasmic translation
KMXK_0C02640	cytoplasmic translation
KMXK_0C05420	cytoplasmic translation
KMXK_0C06630	cytoplasmic translation
KMXK_0C07190	cytoplasmic translation
KMXK_0D00530	cytoplasmic translation
KMXK_0D00960	cytoplasmic translation
KMXK_0D01140	cytoplasmic translation
KMXK_0D01440	cytoplasmic translation
KMXK_0D02170	cytoplasmic translation
KMXK_0D03520	cytoplasmic translation
KMXK_0D04150	cytoplasmic translation
KMXK_0D04270	cytoplasmic translation
KMXK_0D04650	cytoplasmic translation
KMXK_0D04740	cytoplasmic translation
KMXK_0D05050	cytoplasmic translation
KMXK_0D05850	cytoplasmic translation
KMXK_0D06060	cytoplasmic translation
KMXK_0D06100	cytoplasmic translation
KMXK_0E00150	cytoplasmic translation
KMXK_0E01760	cytoplasmic translation
KMXK_0E01990	cytoplasmic translation
KMXK_0E02060	cytoplasmic translation
KMXK_0E02140	cytoplasmic translation
KMXK_0E02660	cytoplasmic translation
KMXK_0E02670	cytoplasmic translation
KMXK_0E02810	cytoplasmic translation
KMXK_0E02930	cytoplasmic translation
KMXK_0E03070	cytoplasmic translation
KMXK_0E03280	cytoplasmic translation
KMXK_0E04750	cytoplasmic translation
KMXK_0E05030	cytoplasmic translation
KMXK_0E05330	cytoplasmic translation
KMXK_0E05560	cytoplasmic translation
KMXK_0E05880	cytoplasmic translation
KMXK_0F00270	cytoplasmic translation
KMXK_0F00350	cytoplasmic translation
KMXK_0F00600	cytoplasmic translation
KMXK_0F00730	cytoplasmic translation
KMXK_0F00860	cytoplasmic translation
KMXK_0F01170	cytoplasmic translation
KMXK_0F01250	cytoplasmic translation
KMXK_0F01670	cytoplasmic translation
KMXK_0F02600	cytoplasmic translation
KMXK_0F03600	cytoplasmic translation
KMXK_0F05120	cytoplasmic translation
KMXK_0G01050	cytoplasmic translation
KMXK_0G02240	cytoplasmic translation
KMXK_0G02300	cytoplasmic translation
KMXK_0G02660	cytoplasmic translation
KMXK_0G02810	cytoplasmic translation
KMXK_0G03710	cytoplasmic translation
KMXK_0G04170	cytoplasmic translation
KMXK_0H00360	cytoplasmic translation
KMXK_0H00650	cytoplasmic translation
KMXK_0H01050	cytoplasmic translation
KMXK_0H01460	cytoplasmic translation
KMXK_0H01530	cytoplasmic translation
KMXK_0H01910	cytoplasmic translation
KMXK_0H02650	cytoplasmic translation
KMXK_0H03100	cytoplasmic translation
KMXK_0H03540	cytoplasmic translation
KMXK_0G03420	cytosine metabolic process
KMXK_0H01860	cytosine transport
KMXK_0A04890	cytoskeleton organization
KMXK_0E05410	cytoskeleton organization
KMXK_0F03320	cytoskeleton organization
KMXK_0F04330	cytoskeleton organization
KMXK_0H02990	cytoskeleton organization
KMXK_0C04540	cytosol to ER transport
KMXK_0A05480	cytosolic transport
KMXK_0H00600	cytosolic transport
KMXK_0A02820	D-arabinose catabolic process
KMXK_0A02820	D-arabitol catabolic process to xylulose 5-phosphate
KMXK_0A03690	D-gluconate metabolic process
KMXK_0B07410	D-leucine catabolic process
KMXK_0A06980	D-ribose metabolic process
KMXK_0B02380	D-serine metabolic process
KMXK_0B07410	D-tyrosine catabolic process
KMXK_0A01570	D-xylose catabolic process
KMXK_0B06330	D-xylose catabolic process
KMXK_0C00180	D-xylose catabolic process
KMXK_0G01850	D-xylose catabolic process
KMXK_0B06490	deadenylation-dependent decapping of nuclear-transcribed mRNA
KMXK_0D02100	deadenylation-dependent decapping of nuclear-transcribed mRNA
KMXK_0F05520	deadenylation-dependent decapping of nuclear-transcribed mRNA
KMXK_0H02480	deadenylation-dependent decapping of nuclear-transcribed mRNA
KMXK_0E03230	deadenylation-independent decapping of nuclear-transcribed mRNA
KMXK_0H01750	deadenylation-independent decapping of nuclear-transcribed mRNA
KMXK_0A03460	defense response to virus
KMXK_0D03310	"dehydro-D-arabinono-1,4-lactone biosynthetic process"
KMXK_0H02610	"dehydro-D-arabinono-1,4-lactone biosynthetic process"
KMXK_0E05610	deoxycytidine catabolic process
KMXK_0C02010	deoxyribonucleoside diphosphate metabolic process
KMXK_0B02220	deoxyribonucleoside triphosphate biosynthetic process
KMXK_0C02010	deoxyribonucleotide biosynthetic process
KMXK_0F04980	deoxyribonucleotide biosynthetic process
KMXK_0H01680	deoxyribonucleotide biosynthetic process
KMXK_0A00110	dephosphorylation
KMXK_0A01350	dephosphorylation
KMXK_0A01790	dephosphorylation
KMXK_0A03990	dephosphorylation
KMXK_0A05580	dephosphorylation
KMXK_0B08440	dephosphorylation
KMXK_0C01520	dephosphorylation
KMXK_0C01600	dephosphorylation
KMXK_0C02230	dephosphorylation
KMXK_0C06420	dephosphorylation
KMXK_0D00170	dephosphorylation
KMXK_0D01480	dephosphorylation
KMXK_0D05490	dephosphorylation
KMXK_0E00110	dephosphorylation
KMXK_0E01880	dephosphorylation
KMXK_0E01980	dephosphorylation
KMXK_0E02610	dephosphorylation
KMXK_0E05530	dephosphorylation
KMXK_0F01110	dephosphorylation
KMXK_0F02380	dephosphorylation
KMXK_0F02960	dephosphorylation
KMXK_0F04870	dephosphorylation
KMXK_0F04970	dephosphorylation
KMXK_0G01620	dephosphorylation
KMXK_0A02640	dephosphorylation of RNA polymerase II C-terminal domain
KMXK_0C01350	dephosphorylation of RNA polymerase II C-terminal domain
KMXK_0C01430	dephosphorylation of RNA polymerase II C-terminal domain
KMXK_0C02140	dephosphorylation of RNA polymerase II C-terminal domain
KMXK_0E06100	dephosphorylation of RNA polymerase II C-terminal domain
KMXK_0F00570	detection of glucose
KMXK_0B03850	detoxification of cadmium ion
KMXK_0C01570	detoxification of cadmium ion
KMXK_0A01970	development of symbiont in host
KMXK_0A07530	development of symbiont in host
KMXK_0F00420	development of symbiont in host
KMXK_0D02120	diadenosine polyphosphate catabolic process
KMXK_0A07580	dicarboxylic acid transport
KMXK_0C01170	dihydrofolate biosynthetic process
KMXK_0B07920	dihydrofolate metabolic process
KMXK_0E00420	dimethylallyl diphosphate biosynthetic process
KMXK_0A02040	dipeptide transport
KMXK_0F01550	dipeptide transport
KMXK_0H03770	dipeptide transport
KMXK_0E04610	dITP catabolic process
KMXK_0A04950	division septum assembly
KMXK_0B04520	division septum assembly
KMXK_0C05070	division septum assembly
KMXK_0D02340	division septum assembly
KMXK_0E06190	division septum assembly
KMXK_0F05620	division septum assembly
KMXK_0G01080	division septum assembly
KMXK_0H03260	division septum assembly
KMXK_0A01240	DNA amplification
KMXK_0B06790	DNA amplification
KMXK_0D05970	DNA amplification
KMXK_0F01950	DNA amplification
KMXK_0H00710	DNA amplification
KMXK_0E03950	DNA catabolic process
KMXK_0A05340	"DNA catabolic process, endonucleolytic"
KMXK_0A06630	"DNA catabolic process, endonucleolytic"
KMXK_0B00830	"DNA catabolic process, endonucleolytic"
KMXK_0B02880	"DNA catabolic process, endonucleolytic"
KMXK_0C05630	"DNA catabolic process, endonucleolytic"
KMXK_0C05640	"DNA catabolic process, endonucleolytic"
KMXK_0D03000	"DNA catabolic process, endonucleolytic"
KMXK_0E01800	"DNA catabolic process, endonucleolytic"
KMXK_0E04980	"DNA catabolic process, endonucleolytic"
KMXK_0C03580	"DNA catabolic process, exonucleolytic"
KMXK_0C05630	"DNA catabolic process, exonucleolytic"
KMXK_0C01900	DNA conformation change
KMXK_0A06370	DNA damage checkpoint
KMXK_0B01430	DNA damage checkpoint
KMXK_0B02220	DNA damage checkpoint
KMXK_0B06600	DNA damage checkpoint
KMXK_0C01430	DNA damage checkpoint
KMXK_0C02850	DNA damage checkpoint
KMXK_0C04100	DNA damage checkpoint
KMXK_0D06030	DNA damage checkpoint
KMXK_0E00140	DNA damage checkpoint
KMXK_0E00590	DNA damage checkpoint
KMXK_0G03510	DNA damage checkpoint
KMXK_0H02110	DNA damage checkpoint
KMXK_0H02110	DNA damage induced protein phosphorylation
KMXK_0C04120	"DNA damage response, detection of DNA damage"
KMXK_0B00440	DNA dealkylation involved in DNA repair
KMXK_0B06520	DNA dealkylation involved in DNA repair
KMXK_0B03870	DNA double-strand break processing
KMXK_0A01310	DNA duplex unwinding
KMXK_0A05860	DNA duplex unwinding
KMXK_0A06900	DNA duplex unwinding
KMXK_0B01920	DNA duplex unwinding
KMXK_0B07190	DNA duplex unwinding
KMXK_0C01390	DNA duplex unwinding
KMXK_0C01650	DNA duplex unwinding
KMXK_0C01660	DNA duplex unwinding
KMXK_0C02870	DNA duplex unwinding
KMXK_0C04130	DNA duplex unwinding
KMXK_0D03450	DNA duplex unwinding
KMXK_0E00480	DNA duplex unwinding
KMXK_0E01790	DNA duplex unwinding
KMXK_0E03710	DNA duplex unwinding
KMXK_0E05650	DNA duplex unwinding
KMXK_0G01780	DNA duplex unwinding
KMXK_0H02160	DNA duplex unwinding
KMXK_0H03840	DNA duplex unwinding
KMXK_0B01450	DNA integration
KMXK_0C05550	DNA integration
KMXK_0C01680	DNA integrity checkpoint
KMXK_0E03260	DNA ligation involved in DNA repair
KMXK_0G00430	DNA ligation involved in DNA repair
KMXK_0A06570	DNA metabolic process
KMXK_0C00650	DNA metabolic process
KMXK_0D00820	DNA metabolic process
KMXK_0D01650	DNA metabolic process
KMXK_0D06160	DNA metabolic process
KMXK_0E04200	DNA metabolic process
KMXK_0D05770	DNA methylation
KMXK_0D06030	DNA protection
KMXK_0D05970	DNA recombinase assembly
KMXK_0A02700	DNA recombination
KMXK_0B02880	DNA recombination
KMXK_0B04430	DNA recombination
KMXK_0B07900	DNA recombination
KMXK_0C01070	DNA recombination
KMXK_0C04260	DNA recombination
KMXK_0D01590	DNA recombination
KMXK_0D01620	DNA recombination
KMXK_0E03260	DNA recombination
KMXK_0E04740	DNA recombination
KMXK_0G00180	DNA recombination
KMXK_0G00430	DNA recombination
KMXK_0G02500	DNA recombination
KMXK_0A01790	DNA repair
KMXK_0A01980	DNA repair
KMXK_0A02330	DNA repair
KMXK_0A02650	DNA repair
KMXK_0A02770	DNA repair
KMXK_0A03000	DNA repair
KMXK_0A04640	DNA repair
KMXK_0A06040	DNA repair
KMXK_0A06370	DNA repair
KMXK_0A07520	DNA repair
KMXK_0A07680	DNA repair
KMXK_0A08280	DNA repair
KMXK_0B01300	DNA repair
KMXK_0B01810	DNA repair
KMXK_0B01870	DNA repair
KMXK_0B01920	DNA repair
KMXK_0B02190	DNA repair
KMXK_0B02220	DNA repair
KMXK_0B02800	DNA repair
KMXK_0B02880	DNA repair
KMXK_0B02920	DNA repair
KMXK_0B04430	DNA repair
KMXK_0B04540	DNA repair
KMXK_0B04610	DNA repair
KMXK_0B06910	DNA repair
KMXK_0C01660	DNA repair
KMXK_0C04630	DNA repair
KMXK_0C04980	DNA repair
KMXK_0C05450	DNA repair
KMXK_0C06880	DNA repair
KMXK_0C07190	DNA repair
KMXK_0C07270	DNA repair
KMXK_0D00490	DNA repair
KMXK_0D00710	DNA repair
KMXK_0D01590	DNA repair
KMXK_0D02850	DNA repair
KMXK_0D03240	DNA repair
KMXK_0D04830	DNA repair
KMXK_0E00620	DNA repair
KMXK_0E01240	DNA repair
KMXK_0E01670	DNA repair
KMXK_0E03710	DNA repair
KMXK_0E04740	DNA repair
KMXK_0E04980	DNA repair
KMXK_0E05340	DNA repair
KMXK_0E05530	DNA repair
KMXK_0E05560	DNA repair
KMXK_0E05650	DNA repair
KMXK_0F00340	DNA repair
KMXK_0F02770	DNA repair
KMXK_0F03450	DNA repair
KMXK_0F04530	DNA repair
KMXK_0G00320	DNA repair
KMXK_0G00880	DNA repair
KMXK_0G01100	DNA repair
KMXK_0G01780	DNA repair
KMXK_0G02130	DNA repair
KMXK_0G02680	DNA repair
KMXK_0H00490	DNA repair
KMXK_0H01240	DNA repair
KMXK_0H01520	DNA repair
KMXK_0H02110	DNA repair
KMXK_0H02160	DNA repair
KMXK_0H02530	DNA repair
KMXK_0H03330	DNA repair
KMXK_0H04070	DNA repair
KMXK_0H04450	DNA repair
KMXK_0B01590	DNA replication
KMXK_0B02440	DNA replication
KMXK_0B07220	DNA replication
KMXK_0C02010	DNA replication
KMXK_0C02610	DNA replication
KMXK_0E00540	DNA replication
KMXK_0E04980	DNA replication
KMXK_0G00430	DNA replication
KMXK_0H01680	DNA replication
KMXK_0H02110	DNA replication
KMXK_0A07520	DNA replication checkpoint
KMXK_0A08280	DNA replication checkpoint
KMXK_0C00470	DNA replication checkpoint
KMXK_0C01430	DNA replication checkpoint
KMXK_0D03240	DNA replication checkpoint
KMXK_0G02420	DNA replication checkpoint
KMXK_0A00910	DNA replication initiation
KMXK_0A01310	DNA replication initiation
KMXK_0A07360	DNA replication initiation
KMXK_0B01270	DNA replication initiation
KMXK_0B01430	DNA replication initiation
KMXK_0B01790	DNA replication initiation
KMXK_0B02010	DNA replication initiation
KMXK_0B02220	DNA replication initiation
KMXK_0B02700	DNA replication initiation
KMXK_0B06990	DNA replication initiation
KMXK_0C00580	DNA replication initiation
KMXK_0C01390	DNA replication initiation
KMXK_0C02990	DNA replication initiation
KMXK_0C07210	DNA replication initiation
KMXK_0D01120	DNA replication initiation
KMXK_0D01360	DNA replication initiation
KMXK_0D01930	DNA replication initiation
KMXK_0E01730	DNA replication initiation
KMXK_0F00410	DNA replication initiation
KMXK_0F03230	DNA replication initiation
KMXK_0G02420	DNA replication initiation
KMXK_0H02640	DNA replication initiation
KMXK_0H02900	DNA replication initiation
KMXK_0H03170	DNA replication initiation
KMXK_0A07370	DNA replication proofreading
KMXK_0B06590	DNA replication proofreading
KMXK_0A01500	DNA replication-dependent nucleosome assembly
KMXK_0A02420	DNA replication-dependent nucleosome assembly
KMXK_0B00800	DNA replication-dependent nucleosome assembly
KMXK_0F05650	DNA replication-dependent nucleosome assembly
KMXK_0A01470	DNA replication-independent nucleosome assembly
KMXK_0A01500	DNA replication-independent nucleosome assembly
KMXK_0A06090	DNA replication-independent nucleosome assembly
KMXK_0D05130	DNA replication-independent nucleosome assembly
KMXK_0E01580	DNA replication-independent nucleosome assembly
KMXK_0F05650	DNA replication-independent nucleosome assembly
KMXK_0B02800	DNA replication-independent nucleosome organization
KMXK_0C05450	DNA replication-independent nucleosome organization
KMXK_0E01670	DNA replication-independent nucleosome organization
KMXK_0H03330	DNA replication-independent nucleosome organization
KMXK_0A05340	"DNA replication, Okazaki fragment processing"
KMXK_0E03800	"DNA replication, Okazaki fragment processing"
KMXK_0E06030	"DNA replication, Okazaki fragment processing"
KMXK_0A01240	"DNA replication, removal of RNA primer"
KMXK_0A06960	"DNA replication, removal of RNA primer"
KMXK_0B06590	"DNA replication, removal of RNA primer"
KMXK_0C01970	"DNA replication, removal of RNA primer"
KMXK_0C05640	"DNA replication, removal of RNA primer"
KMXK_0F00390	"DNA replication, removal of RNA primer"
KMXK_0F00410	"DNA replication, synthesis of RNA primer"
KMXK_0G02420	"DNA replication, synthesis of RNA primer"
KMXK_0H03170	"DNA replication, synthesis of RNA primer"
KMXK_0A00910	DNA strand elongation involved in DNA replication
KMXK_0A05910	DNA strand elongation involved in DNA replication
KMXK_0B02700	DNA strand elongation involved in DNA replication
KMXK_0C01390	DNA strand elongation involved in DNA replication
KMXK_0C02990	DNA strand elongation involved in DNA replication
KMXK_0C07210	DNA strand elongation involved in DNA replication
KMXK_0G02170	DNA strand elongation involved in DNA replication
KMXK_0A05340	DNA strand renaturation
KMXK_0B06790	DNA strand renaturation
KMXK_0C04130	DNA strand renaturation
KMXK_0D05080	DNA strand renaturation
KMXK_0D05970	DNA strand renaturation
KMXK_0E06030	DNA strand renaturation
KMXK_0H00710	DNA strand renaturation
KMXK_0A03850	DNA topological change
KMXK_0A04830	DNA topological change
KMXK_0A05910	DNA topological change
KMXK_0B05950	DNA topological change
KMXK_0D02300	DNA topological change
KMXK_0D04200	DNA topological change
KMXK_0E03350	DNA topological change
KMXK_0E05060	DNA topological change
KMXK_0F01930	DNA topological change
KMXK_0G02170	DNA topological change
KMXK_0G01720	DNA transport
KMXK_0A00910	DNA unwinding involved in DNA replication
KMXK_0A03850	DNA unwinding involved in DNA replication
KMXK_0A04830	DNA unwinding involved in DNA replication
KMXK_0B02700	DNA unwinding involved in DNA replication
KMXK_0C02990	DNA unwinding involved in DNA replication
KMXK_0D01590	DNA unwinding involved in DNA replication
KMXK_0D04200	DNA unwinding involved in DNA replication
KMXK_0E03350	DNA unwinding involved in DNA replication
KMXK_0E05060	DNA unwinding involved in DNA replication
KMXK_0F01630	DNA unwinding involved in DNA replication
KMXK_0G02170	DNA unwinding involved in DNA replication
KMXK_0H01410	DNA unwinding involved in DNA replication
KMXK_0A03000	DNA-dependent DNA replication
KMXK_0B02230	DNA-dependent DNA replication
KMXK_0B02800	DNA-dependent DNA replication
KMXK_0B02880	DNA-dependent DNA replication
KMXK_0B06460	DNA-dependent DNA replication
KMXK_0B07160	DNA-dependent DNA replication
KMXK_0B08330	DNA-dependent DNA replication
KMXK_0C01680	DNA-dependent DNA replication
KMXK_0C04500	DNA-dependent DNA replication
KMXK_0C05450	DNA-dependent DNA replication
KMXK_0C05660	DNA-dependent DNA replication
KMXK_0C06650	DNA-dependent DNA replication
KMXK_0E00870	DNA-dependent DNA replication
KMXK_0E01670	DNA-dependent DNA replication
KMXK_0E02460	DNA-dependent DNA replication
KMXK_0F03560	DNA-dependent DNA replication
KMXK_0G00310	DNA-dependent DNA replication
KMXK_0H03440	DNA-dependent DNA replication
KMXK_0A07250	DNA-dependent DNA replication maintenance of fidelity
KMXK_0B05160	DNA-dependent DNA replication maintenance of fidelity
KMXK_0E01910	DNA-dependent DNA replication maintenance of fidelity
KMXK_0A04790	"DNA-templated transcription, elongation"
KMXK_0B04220	"DNA-templated transcription, elongation"
KMXK_0A05980	"DNA-templated transcription, initiation"
KMXK_0C07140	"DNA-templated transcription, initiation"
KMXK_0F04410	"DNA-templated transcription, initiation"
KMXK_0G01260	"DNA-templated transcription, initiation"
KMXK_0A04790	"DNA-templated transcription, termination"
KMXK_0A06110	"DNA-templated transcription, termination"
KMXK_0B01330	"DNA-templated transcription, termination"
KMXK_0B06270	"DNA-templated transcription, termination"
KMXK_0B06450	"DNA-templated transcription, termination"
KMXK_0C03910	"DNA-templated transcription, termination"
KMXK_0E00900	"DNA-templated transcription, termination"
KMXK_0G03210	"DNA-templated transcription, termination"
KMXK_0A05290	DNA-templated transcriptional open complex formation
KMXK_0G01440	DNA-templated transcriptional open complex formation
KMXK_0D01500	dolichol-linked oligosaccharide biosynthetic process
KMXK_0E01510	dolichol-linked oligosaccharide biosynthetic process
KMXK_0E06050	dolichol-linked oligosaccharide biosynthetic process
KMXK_0F05220	dolichol-linked oligosaccharide biosynthetic process
KMXK_0H02000	dolichol-linked oligosaccharide biosynthetic process
KMXK_0B05400	donor selection
KMXK_0C02620	donor selection
KMXK_0A05180	double-strand break repair
KMXK_0B00320	double-strand break repair
KMXK_0B05860	double-strand break repair
KMXK_0B07900	double-strand break repair
KMXK_0D00430	double-strand break repair
KMXK_0D00880	double-strand break repair
KMXK_0E00140	double-strand break repair
KMXK_0E05510	double-strand break repair
KMXK_0F00410	double-strand break repair
KMXK_0F02480	double-strand break repair
KMXK_0F04510	double-strand break repair
KMXK_0G01060	double-strand break repair
KMXK_0A00910	double-strand break repair via break-induced replication
KMXK_0A01240	double-strand break repair via break-induced replication
KMXK_0A01290	double-strand break repair via break-induced replication
KMXK_0A05570	double-strand break repair via break-induced replication
KMXK_0A05860	double-strand break repair via break-induced replication
KMXK_0A07220	double-strand break repair via break-induced replication
KMXK_0B02230	double-strand break repair via break-induced replication
KMXK_0B02700	double-strand break repair via break-induced replication
KMXK_0B05950	double-strand break repair via break-induced replication
KMXK_0B06460	double-strand break repair via break-induced replication
KMXK_0B07190	double-strand break repair via break-induced replication
KMXK_0B08330	double-strand break repair via break-induced replication
KMXK_0C01390	double-strand break repair via break-induced replication
KMXK_0C02990	double-strand break repair via break-induced replication
KMXK_0C07210	double-strand break repair via break-induced replication
KMXK_0D01930	double-strand break repair via break-induced replication
KMXK_0D05970	double-strand break repair via break-induced replication
KMXK_0E01790	double-strand break repair via break-induced replication
KMXK_0E02460	double-strand break repair via break-induced replication
KMXK_0H02900	double-strand break repair via break-induced replication
KMXK_0A02760	double-strand break repair via homologous recombination
KMXK_0A03850	double-strand break repair via homologous recombination
KMXK_0A04830	double-strand break repair via homologous recombination
KMXK_0A06110	double-strand break repair via homologous recombination
KMXK_0B00290	double-strand break repair via homologous recombination
KMXK_0B03650	double-strand break repair via homologous recombination
KMXK_0C00580	double-strand break repair via homologous recombination
KMXK_0C00800	double-strand break repair via homologous recombination
KMXK_0D04200	double-strand break repair via homologous recombination
KMXK_0D04760	double-strand break repair via homologous recombination
KMXK_0E03350	double-strand break repair via homologous recombination
KMXK_0E05060	double-strand break repair via homologous recombination
KMXK_0F01950	double-strand break repair via homologous recombination
KMXK_0F02310	double-strand break repair via homologous recombination
KMXK_0H00730	double-strand break repair via homologous recombination
KMXK_0A05570	double-strand break repair via nonhomologous end joining
KMXK_0A05860	double-strand break repair via nonhomologous end joining
KMXK_0A05880	double-strand break repair via nonhomologous end joining
KMXK_0A06960	double-strand break repair via nonhomologous end joining
KMXK_0A07160	double-strand break repair via nonhomologous end joining
KMXK_0A07220	double-strand break repair via nonhomologous end joining
KMXK_0A07370	double-strand break repair via nonhomologous end joining
KMXK_0B01230	double-strand break repair via nonhomologous end joining
KMXK_0B05450	double-strand break repair via nonhomologous end joining
KMXK_0C00290	double-strand break repair via nonhomologous end joining
KMXK_0C00800	double-strand break repair via nonhomologous end joining
KMXK_0C01070	double-strand break repair via nonhomologous end joining
KMXK_0C01650	double-strand break repair via nonhomologous end joining
KMXK_0C05640	double-strand break repair via nonhomologous end joining
KMXK_0D03320	double-strand break repair via nonhomologous end joining
KMXK_0D04170	double-strand break repair via nonhomologous end joining
KMXK_0F03080	double-strand break repair via nonhomologous end joining
KMXK_0G00850	double-strand break repair via nonhomologous end joining
KMXK_0G02420	double-strand break repair via nonhomologous end joining
KMXK_0B04390	double-strand break repair via single-strand annealing
KMXK_0D05970	double-strand break repair via single-strand annealing
KMXK_0F04450	double-strand break repair via single-strand annealing
KMXK_0G03620	double-strand break repair via single-strand annealing
KMXK_0H00710	double-strand break repair via single-strand annealing
KMXK_0B06790	"double-strand break repair via single-strand annealing, removal of nonhomologous ends"
KMXK_0F01950	"double-strand break repair via single-strand annealing, removal of nonhomologous ends"
KMXK_0D02670	drug export
KMXK_0D02690	drug export
KMXK_0G01830	drug export
KMXK_0A04650	drug transmembrane transport
KMXK_0C04300	drug transmembrane transport
KMXK_0D01170	drug transmembrane transport
KMXK_0D02670	drug transmembrane transport
KMXK_0D02690	drug transmembrane transport
KMXK_0D02730	drug transmembrane transport
KMXK_0E02360	drug transmembrane transport
KMXK_0F00170	drug transmembrane transport
KMXK_0G01830	drug transmembrane transport
KMXK_0G01840	drug transmembrane transport
KMXK_0A01850	drug transport
KMXK_0D02680	drug transport
KMXK_0E04670	drug transport
KMXK_0E02290	dTDP biosynthetic process
KMXK_0A04240	dTMP biosynthetic process
KMXK_0B07650	dTMP biosynthetic process
KMXK_0A04240	dTTP biosynthetic process
KMXK_0E02290	dTTP biosynthetic process
KMXK_0E02290	dUDP biosynthetic process
KMXK_0B07650	dUMP biosynthetic process
KMXK_0E04610	dUMP biosynthetic process
KMXK_0E04610	dUTP catabolic process
KMXK_0A07060	early endosome to Golgi transport
KMXK_0C02720	early endosome to Golgi transport
KMXK_0C04030	early endosome to Golgi transport
KMXK_0C06470	early endosome to Golgi transport
KMXK_0D04710	early endosome to Golgi transport
KMXK_0D06470	early endosome to Golgi transport
KMXK_0E05040	early endosome to Golgi transport
KMXK_0G01020	early endosome to Golgi transport
KMXK_0H00510	early endosome to Golgi transport
KMXK_0A01130	early endosome to late endosome transport
KMXK_0B03580	eisosome assembly
KMXK_0C01050	eisosome assembly
KMXK_0E04860	eisosome assembly
KMXK_0G01590	eisosome assembly
KMXK_0G02720	eisosome assembly
KMXK_0F00330	embryo development
KMXK_0A07060	endocytic recycling
KMXK_0B04230	endocytic recycling
KMXK_0E01260	endocytic recycling
KMXK_0F02250	endocytic recycling
KMXK_0H00510	endocytic recycling
KMXK_0A01230	endocytosis
KMXK_0A02300	endocytosis
KMXK_0A03130	endocytosis
KMXK_0A04040	endocytosis
KMXK_0A04400	endocytosis
KMXK_0A04430	endocytosis
KMXK_0A04930	endocytosis
KMXK_0A05240	endocytosis
KMXK_0A06130	endocytosis
KMXK_0A06410	endocytosis
KMXK_0A06700	endocytosis
KMXK_0A07060	endocytosis
KMXK_0A07130	endocytosis
KMXK_0A07540	endocytosis
KMXK_0A07930	endocytosis
KMXK_0B00400	endocytosis
KMXK_0B01130	endocytosis
KMXK_0B02790	endocytosis
KMXK_0B03580	endocytosis
KMXK_0B05260	endocytosis
KMXK_0B05710	endocytosis
KMXK_0B05930	endocytosis
KMXK_0B07910	endocytosis
KMXK_0C00770	endocytosis
KMXK_0C02420	endocytosis
KMXK_0C02930	endocytosis
KMXK_0C03150	endocytosis
KMXK_0C03820	endocytosis
KMXK_0C06250	endocytosis
KMXK_0D00350	endocytosis
KMXK_0D02800	endocytosis
KMXK_0D03850	endocytosis
KMXK_0E01200	endocytosis
KMXK_0E01260	endocytosis
KMXK_0E02090	endocytosis
KMXK_0E02280	endocytosis
KMXK_0E03730	endocytosis
KMXK_0E05690	endocytosis
KMXK_0E05910	endocytosis
KMXK_0E06140	endocytosis
KMXK_0F01420	endocytosis
KMXK_0F01840	endocytosis
KMXK_0F03340	endocytosis
KMXK_0G00490	endocytosis
KMXK_0G01290	endocytosis
KMXK_0G02220	endocytosis
KMXK_0G02280	endocytosis
KMXK_0G03340	endocytosis
KMXK_0G04220	endocytosis
KMXK_0H00490	endocytosis
KMXK_0H00960	endocytosis
KMXK_0H01920	endocytosis
KMXK_0H02330	endocytosis
KMXK_0H02540	endocytosis
KMXK_0H02580	endocytosis
KMXK_0A04620	"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
KMXK_0A05970	"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
KMXK_0A07670	"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
KMXK_0B01380	"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
KMXK_0B01720	"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
KMXK_0B03360	"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
KMXK_0B06770	"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
KMXK_0C03020	"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
KMXK_0C04770	"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
KMXK_0C04900	"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
KMXK_0D00250	"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
KMXK_0D02510	"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
